image,min_side_640,max_side_640,min_side_native,size_bin,v_inst,v_bg,dv,a_contrast,blur_var
train/IMG_0000.jpg,30.42,35.0,97.3,16-32px,74.9,159.5,-84.7,5.59,1305.4
train/IMG_0000.jpg,40.42,44.17,129.3,32-64px,97.1,128.6,-31.4,0.34,1721.5
train/IMG_0000.jpg,24.58,28.75,78.7,16-32px,106.1,141.1,-35.0,1.25,1052.4
train/IMG_0000.jpg,22.92,23.75,73.3,16-32px,84.0,89.8,-5.8,0.04,748.1
train/IMG_0000.jpg,21.67,46.67,69.3,16-32px,48.7,118.0,-69.2,1.02,210.7
train/IMG_0000.jpg,14.17,18.33,45.3,<16px,83.8,90.2,-6.4,1.11,313.5
train/IMG_0000.jpg,13.75,26.25,44.0,<16px,102.8,136.5,-33.8,7.44,719.1
train/IMG_0000.jpg,27.08,30.0,86.7,16-32px,82.8,85.8,-3.0,3.06,2093.2
train/IMG_0000.jpg,19.58,27.08,62.7,16-32px,36.4,85.1,-48.7,1.4,490.1
train/IMG_0000.jpg,16.25,25.42,52.0,16-32px,42.6,83.5,-40.9,1.81,768.6
train/IMG_0000.jpg,25.83,29.58,82.7,16-32px,63.0,74.3,-11.3,6.4,1071.6
train/IMG_0000.jpg,26.25,26.67,84.0,16-32px,88.0,75.0,13.0,5.21,1781.5
train/IMG_0000.jpg,20.0,20.83,64.0,16-32px,23.7,47.2,-23.5,0.16,154.5
train/IMG_0000.jpg,19.17,20.42,61.3,16-32px,25.8,38.3,-12.5,0.81,105.9
train/IMG_0000.jpg,15.0,17.92,48.0,<16px,18.7,53.0,-34.3,3.29,91.7
train/IMG_0000.jpg,17.5,19.58,56.0,16-32px,24.4,43.2,-18.9,1.37,340.7
train/IMG_0000.jpg,39.17,42.92,125.3,32-64px,90.1,82.6,7.5,9.66,893.6
train/IMG_0000.jpg,55.0,57.08,176.0,32-64px,156.9,104.3,52.6,3.91,1246.0
train/IMG_0000.jpg,33.75,40.42,108.0,32-64px,116.9,117.0,-0.1,0.83,1321.2
train/IMG_0000.jpg,35.83,36.25,114.7,32-64px,29.1,87.2,-58.1,2.1,1954.0
train/IMG_0000.jpg,48.33,50.42,154.7,32-64px,79.0,71.5,7.5,3.86,511.8
train/IMG_0000.jpg,18.75,19.17,60.0,16-32px,43.3,114.1,-70.8,4.81,380.4
train/IMG_0000.jpg,15.83,17.08,50.7,<16px,39.0,114.6,-75.6,2.55,336.1
train/IMG_0000.jpg,9.58,11.67,30.7,<16px,115.0,63.3,51.7,4.81,25.4
train/IMG_0000.jpg,8.33,11.25,26.7,<16px,129.4,130.4,-1.0,2.51,25.6
train/IMG_0000.jpg,7.92,8.33,25.3,<16px,124.4,88.6,35.8,4.21,7.3
train/IMG_0000.jpg,6.25,9.17,20.0,<16px,84.9,89.0,-4.1,1.1,6.7
train/IMG_0000.jpg,7.5,9.58,24.0,<16px,75.3,72.9,2.4,2.76,4.9
train/IMG_0000.jpg,7.92,7.92,25.3,<16px,111.5,130.3,-18.7,2.09,25.3
train/IMG_0000.jpg,8.75,11.67,28.0,<16px,154.8,167.7,-12.8,6.72,62.7
train/IMG_0000.jpg,10.42,12.5,33.3,<16px,199.0,166.2,32.9,3.54,137.3
