model,epoch,train_recall,train_ap50,train_ap,last20_ap,median_epoch_s,global_ap,fine_ap,global_tiny,fine_tiny,global_bg,fine_bg,global_r90,trustedmask_r90
V10_00_geometry_anchor_seed42,266,77.788,84.406,71.829,71.30155,20.579999999999927,68.13247192907286,77.40522913087509,29,98,174,493,76.5490943755958,80.743565300286
V10_01_tiny_anchor_seed42,289,75.519,84.28,71.611,71.21705,22.25,67.68422711832876,76.73789697608335,31,91,130,368,75.97712106768351,79.88560533841755
V10_02_balanced_decoder_seed42,272,76.885,84.142,71.324,70.6538,23.029999999999745,67.67286369840664,75.94672072440292,35,97,159,428,76.64442326024785,80.26692087702574
V10_03_contrast_stem_seed42,272,75.767,84.811,71.94500000000001,71.31830000000001,22.949999999999818,68.55472367802061,76.79873999303905,32,88,141,365,77.40705433746426,80.55290753098188
V10_04_detail_transport_seed42,289,76.037,84.978,71.952,71.3399,30.670000000000073,68.42485663545361,77.25006535686593,40,100,137,386,77.21639656816015,81.12488083889419
V10_05_structure_pair_seed42,257,76.92999999999999,84.827,72.124,71.4529,24.090000000000146,68.6752782177373,76.64532591370664,35,97,164,419,77.40705433746426,79.7902764537655
V10_06_structure_balanced_seed42,241,75.5,84.429,71.54899999999999,71.10925,23.559999999999945,68.1759413542298,76.54843175923894,34,96,168,387,75.69113441372735,79.50428979980934
V10_07_visibility_supervision_seed42,274,75.596,84.237,71.463,70.7819,23.359999999999673,68.07910942652471,76.36676920904492,33,92,140,369,75.78646329837942,79.59961868446139
V10_08_complete_seed42,289,73.577,83.895,71.113,70.6402,24.239999999999952,68.0042948775281,76.78179726165651,33,94,138,381,75.88179218303146,81.50619637750238
V10_09_complete_cosine_seed42,267,75.596,84.319,71.34700000000001,70.726,24.00400000000002,68.11314082359267,77.18493638000021,33,93,146,373,77.1210676835081,81.22020972354623
