model,params,gflops,pretrained_coverage,unfused_median_ms,unfused_p90_ms,fused_median_ms,fused_p90_ms
00_reference,2842803,10.355763199999998,0.9841946741015043,163.40485000000047,167.38989999999987,153.78425000000018,154.93169999999878
01_repcontext_backbone,2858931,10.36928,0.9783246706421518,163.94179999999992,168.04750000000013,155.90145,158.0069999999978
02_lska_backbone,2916019,10.4131072,0.959619587959712,169.5064500000001,170.8449999999999,156.3305499999963,158.85320000000291
03_train_aux_head,2915526,10.355763199999998,0.959653952615273,162.8341500000019,165.43300000000016,153.23830000000171,154.77839999999787
04_lite_head,2747302,9.4395136,0.9603925986637281,152.03545000000318,155.3759000000028,142.27120000000326,144.113499999996
05_fpn_only_neck,2192499,9.534105599999998,0.97951184256941,154.2989499999976,159.19080000000463,143.54939999999772,145.03209999999456
06_asym_pan_neck,2316211,9.9326464,0.9806069954211617,156.69619999999895,159.34129999999413,149.94455000000073,152.23710000000779
07_lska_asym_pan,2389427,9.9899904,0.9507328100768824,156.8269499999957,157.91579999999783,151.0561999999993,152.8952999999973
08_citrus_swift_full,2293926,9.073740800000001,0.9208262125307051,144.66230000000735,157.3958000000033,139.63059999999672,141.09469999999646
09_dense_topology_control,2930707,10.7834048,0.9547316250232,185.55274999999227,186.91379999999924,178.21184999999673,179.36079999999777
