series,name,epochs_observed,mask_ap,mask_ap50,peak_epoch,path,yaml_candidates
A_baselines,001_1_yolov8-seg_adamw,300,0.61675,0.79269,277.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\001_1_yolov8-seg_adamw\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\001_1_yolov8-seg.yaml
A_baselines,001_2_yolov9c-seg_adamw,300,0.68173,0.8373,222.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\001_2_yolov9c-seg_adamw\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\001_2_yolov9c-seg.yaml
A_baselines,001_3_yolo11-seg_adamw,300,0.62076,0.78635,252.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\001_3_yolo11-seg_adamw\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\001_3_yolo11-seg.yaml
A_baselines,001_4_yolo12-seg_adamw,300,0.61466,0.78975,250.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\001_4_yolo12-seg_adamw\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\001_4_yolo12-seg.yaml
A_baselines,001_5_yolo26-seg_adamw,300,0.5964,0.76301,282.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\001_5_yolo26-seg_adamw\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\001_5_yolo26-seg.yaml
A_baselines,002_1_yolo11-starnet_s1,300,0.59781,0.772,290.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\002_1_yolo11-starnet_s1\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\current\002_yolo11-seg-starnet-official-s1.yaml | E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\002_yolo11-seg-starnet-official-s1.yaml
A_baselines,002_2_yolo11-starnet_s2,300,0.59489,0.76186,258.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\002_2_yolo11-starnet_s2\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\current\002_yolo11-seg-starnet-official-s2.yaml | E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\002_yolo11-seg-starnet-official-s2.yaml
A_baselines,003_1_yolo11-mobilenetv4,300,0.58844,0.758,227.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\003_1_yolo11-mobilenetv4\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\current\003_yolo11-seg-mobilenetv4.yaml | E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\003_yolo11-seg-mobilenetv4.yaml
A_baselines,004_1_yolo11-mano(attn),300,0.61488,0.78802,245.0,E:\mastercode\1_SEVER\results\A_baselines\old_data_runs\004_1_yolo11-mano(attn)\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\current\004_yolo11-seg-mano.yaml | E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\004_yolo11-seg-mano.yaml
B_series,B09_recall_balanced,300,0.61361,0.79278,258.0,E:\mastercode\1_SEVER\results\B_series\B09_recall_balanced\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\09_b09_recall_balanced_final.yaml
B_series,B00_reference,287,0.61396,0.7828,187.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B00_reference\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\00_b00_yolo11n_reference.yaml
B_series,B01_lite_head,300,0.61643,0.79289,263.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B01_lite_head\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\01_b01_lite_head_reference.yaml
B_series,B02_context_lite,300,0.6148,0.78835,183.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B02_context_lite\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\02_b02_repcontext_lite.yaml
B_series,B03_scale_lite,300,0.61235,0.78663,258.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B03_scale_lite\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\03_b03_scalefusion_lite.yaml
B_series,B04_topology_lite,300,0.61361,0.78276,258.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B04_topology_lite\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\04_b04_topology_lite.yaml
B_series,B05_context_scale,300,0.61153,0.78572,258.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B05_context_scale\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\05_b05_context_scale_lite.yaml
B_series,B06_context_topology,255,0.61862,0.80182,155.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B06_context_topology\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\06_b06_context_topology_lite.yaml
B_series,B07_scale_topology,300,0.6101,0.78609,155.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B07_scale_topology\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\07_b07_scale_topology_lite.yaml
B_series,B08_full_factorial,300,0.60755,0.78221,148.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B08_full_factorial\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\08_b08_full_factorial.yaml
B_series,B09_recall_balanced,58,0.59196,0.77694,55.0,E:\mastercode\1_SEVER\results\B_series\CITRUS_B_V2_SCREEN_50EP\B09_recall_balanced\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\09_b09_recall_balanced_final.yaml
Best_models_showcase_20260901,G00_official_baseline,300,0.67031,0.8325,87.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\01_current_pareto\G00_official_baseline\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\G_0830_series\00_g00_official_control.yaml
Best_models_showcase_20260901,T04_accuracy_champion,195,0.67367,0.82957,95.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\01_current_pareto\T04_accuracy_champion\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\T_series\04_t04_l06_lska_topology.yaml
Best_models_showcase_20260901,T05_lightweight_candidate,285,0.66526,0.8207,185.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\01_current_pareto\T05_lightweight_candidate\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\T_series\05_t05_s04_lite_head.yaml
Best_models_showcase_20260901,G02_bilateral_backbone,300,0.67241,0.82051,86.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\G02_bilateral_backbone\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\G_0830_series\02_g02_bilateral_backbone.yaml
Best_models_showcase_20260901,T02_g10_retest,240,0.67115,0.83319,140.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\T02_g10_retest\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\T_series\02_t02_g10_hybrid.yaml
Best_models_showcase_20260901,T03_moce_lska_retest,186,0.67178,0.83106,86.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\T03_moce_lska_retest\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\T_series\03_t03_n02_moce_lska.yaml
Best_models_showcase_20260901,T08_shape_semantic,297,0.6714,0.82358,146.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\02_current_ablation\T08_shape_semantic\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\T_series\08_t08_d06_shape_semantic_full.yaml
Best_models_showcase_20260901,F14_sppf_lska,300,0.67599,0.82868,196.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\F14_sppf_lska\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F14_yolo11-seg-sppf-lska.yaml
Best_models_showcase_20260901,F57_hco,256,0.67373,0.83684,156.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\F57_hco\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F57_yolo11-seg-hco.yaml
Best_models_showcase_20260901,G10_hybrid,300,0.67681,0.83824,208.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\G10_hybrid\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\G_series\10_yolo11n-seg-hybrid-lska-carafe-bifpn-p2b.yaml
Best_models_showcase_20260901,N02_moce_lska,300,0.67341,0.82642,179.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\N02_moce_lska\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\N_series\02_moce_lska_carafe_p2b.yaml
Best_models_showcase_20260901,YOLOv9c_absolute_score,300,0.68173,0.8373,222.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\03_historical_reference\YOLOv9c_absolute_score\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\A_baselines\legacy\001_2_yolov9c-seg.yaml
Best_models_showcase_20260901,B06_context_topology_lite,255,0.61862,0.80182,155.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\04_grouped_clean_signals\B06_context_topology_lite\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\B_series\06_b06_context_topology_lite.yaml
Best_models_showcase_20260901,S04_lite_head,300,0.61501,0.78993,258.0,E:\mastercode\1_SEVER\results\Best_models_showcase_20260901\04_grouped_clean_signals\S04_lite_head\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\S_series\04_lite_head.yaml
F_series,F01_yolo11-seg-p2_300ep,1,0.0,0.0,1.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F01_yolo11-seg-p2_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F01_yolo11-seg-p2.yaml
F_series,F02_yolo11-seg-p2-spd_300ep,1,0.0,0.0,1.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F02_yolo11-seg-p2-spd_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F02_yolo11-seg-p2-spd.yaml
F_series,F03_yolo11-seg-spdconv_300ep,300,0.66309,0.81844,269.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F03_yolo11-seg-spdconv_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F03_yolo11-seg-spdconv.yaml
F_series,F04_yolo11-seg-hwd_300ep,300,0.66515,0.82348,207.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F04_yolo11-seg-hwd_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F04_yolo11-seg-hwd.yaml
F_series,F05_yolo11-seg-c3k2faster_300ep,300,0.66906,0.82791,253.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F05_yolo11-seg-c3k2faster_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F05_yolo11-seg-c3k2faster.yaml
F_series,F06_yolo11-seg-c3k2wt_300ep,300,0.66788,0.82558,220.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F06_yolo11-seg-c3k2wt_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F06_yolo11-seg-c3k2wt.yaml
F_series,F07_yolo11-seg-c3k2dwr_300ep,300,0.6602,0.82102,276.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F07_yolo11-seg-c3k2dwr_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F07_yolo11-seg-c3k2dwr.yaml
F_series,F08_yolo11-seg-ema_300ep,300,0.65949,0.81754,220.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F08_yolo11-seg-ema_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F08_yolo11-seg-ema.yaml
F_series,F09_yolo11-seg-simam_300ep,300,0.66221,0.82655,212.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F09_yolo11-seg-simam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F09_yolo11-seg-simam.yaml
F_series,F10_yolo11-seg-cbam_300ep,300,0.66313,0.82237,294.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F10_yolo11-seg-cbam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F10_yolo11-seg-cbam.yaml
F_series,F11_yolo11-seg-coordatt_300ep,300,0.66903,0.83088,217.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F11_yolo11-seg-coordatt_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F11_yolo11-seg-coordatt.yaml
F_series,F12_yolo11-seg-ela_300ep,300,0.66195,0.82195,255.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F12_yolo11-seg-ela_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F12_yolo11-seg-ela.yaml
F_series,F13_yolo11-seg-caa_300ep,300,0.6618,0.82343,255.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F13_yolo11-seg-caa_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F13_yolo11-seg-caa.yaml
F_series,F14_yolo11-seg-sppf-lska_300ep,300,0.67599,0.82868,196.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F14_yolo11-seg-sppf-lska_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F14_yolo11-seg-sppf-lska.yaml
F_series,F15_yolo11-seg-rfb_300ep,300,0.67018,0.82338,224.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F15_yolo11-seg-rfb_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F15_yolo11-seg-rfb.yaml
F_series,F16_yolo11-seg-bifpn_300ep,293,0.66821,0.83107,173.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F16_yolo11-seg-bifpn_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F16_yolo11-seg-bifpn.yaml
F_series,F17_yolo11-seg-carafe_300ep,300,0.6717,0.8261,240.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F17_yolo11-seg-carafe_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F17_yolo11-seg-carafe.yaml
F_series,F19_yolo11-seg-dfem_300ep,300,0.65739,0.81683,260.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F19_yolo11-seg-dfem_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F19_yolo11-seg-dfem.yaml
F_series,F20_yolo11-seg-dfem-p2p3_300ep,300,0.65199,0.82475,261.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F20_yolo11-seg-dfem-p2p3_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F20_yolo11-seg-dfem-p2p3.yaml
F_series,F21_yolo11-seg-liam_300ep,300,0.66247,0.81866,248.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F21_yolo11-seg-liam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F21_yolo11-seg-liam.yaml
F_series,F22_yolo11-seg-csfg_300ep,265,0.66163,0.82855,160.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F22_yolo11-seg-csfg_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F22_yolo11-seg-csfg.yaml
