epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.175,2.20179,4.02189,3.23405,1.658,0,0.01043,0.57579,0.1834,0.08539,0.00212,0.11725,0.01836,0.00531,1.85664,32.787,3.44952,1.44677,0,0.000325581,0.000325581,0.0677674
2,24.7952,1.41565,2.46809,1.74057,1.10949,0,0.1228,0.35844,0.23454,0.12716,0.00588,0.01716,0.00034,9e-05,2.1744,24.9141,3.45547,1.40094,0,0.00065674,0.00065674,0.0347653
3,35.794,1.22155,2.0654,1.32603,1.02738,0,0.79128,0.49874,0.58178,0.38512,0.76794,0.47664,0.53656,0.28336,1.30176,4.03484,1.33561,1.09131,0,0.000985699,0.000985699,0.00176089
4,46.611,1.14531,1.83348,1.21648,0.99782,0,0.83636,0.48723,0.58198,0.42171,0.7819,0.43061,0.48894,0.2281,1.08102,3.664,1.41045,1.03506,0,0.0009901,0.0009901,0.0009901
5,57.4043,1.06874,1.71826,1.11657,0.97569,0,0.83962,0.58889,0.68136,0.50698,0.81768,0.57579,0.652,0.4373,0.95034,2.36051,1.27953,0.98416,0,0.0009868,0.0009868,0.0009868
6,68.4444,1.0357,1.6243,1.06518,0.96506,0,0.82989,0.58598,0.6682,0.50406,0.823,0.58067,0.64968,0.43684,0.85982,2.52798,1.76905,0.95765,0,0.0009835,0.0009835,0.0009835
7,79.2748,1.00277,1.54644,1.02093,0.95951,0,0.80744,0.50906,0.62135,0.48306,0.80593,0.5081,0.61758,0.42731,0.8744,1.97423,1.3395,0.9595,0,0.0009802,0.0009802,0.0009802
8,89.7292,0.98143,1.47759,0.9729,0.94493,0,0.85258,0.61196,0.71757,0.55058,0.84911,0.61153,0.71076,0.519,0.84024,1.62915,1.06487,0.94995,0,0.0009769,0.0009769,0.0009769
9,100.515,0.92185,1.37595,0.92558,0.93844,0,0.83894,0.60343,0.69836,0.54746,0.8547,0.58878,0.69568,0.5283,0.7893,1.6394,1.02902,0.93205,0,0.0009736,0.0009736,0.0009736
10,111.732,0.90681,1.35538,0.91337,0.92892,0,0.80191,0.63584,0.71826,0.56498,0.8068,0.6368,0.71661,0.55031,0.79691,1.3919,1.17057,0.93024,0,0.0009703,0.0009703,0.0009703
11,122.489,0.91716,1.3835,0.91304,0.92811,0,0.84885,0.60534,0.69996,0.54148,0.8475,0.60924,0.69547,0.5123,0.81771,1.39478,1.45868,0.93407,0,0.000967,0.000967,0.000967
12,133.42,0.89825,1.37511,0.88075,0.91991,0,0.8628,0.64156,0.72192,0.57073,0.85742,0.64252,0.71996,0.54771,0.77822,1.31615,0.84382,0.92532,0,0.0009637,0.0009637,0.0009637
13,144.096,0.87447,1.28406,0.86245,0.91699,0,0.8597,0.65423,0.74613,0.59294,0.86481,0.65858,0.74704,0.57003,0.76153,1.26349,0.81775,0.92136,0,0.0009604,0.0009604,0.0009604
14,155.246,0.88962,1.31533,0.86495,0.92323,0,0.86,0.65587,0.74922,0.60034,0.86376,0.65273,0.74935,0.58269,0.73767,1.20482,0.78323,0.90556,0,0.0009571,0.0009571,0.0009571
15,166.498,0.87604,1.29206,0.85455,0.91518,0,0.83557,0.65014,0.7423,0.5985,0.82974,0.65491,0.73805,0.56244,0.74138,1.45089,0.79191,0.9124,0,0.0009538,0.0009538,0.0009538
16,177.406,0.85107,1.24064,0.82707,0.91121,0,0.85218,0.66254,0.75036,0.5993,0.8468,0.66393,0.75043,0.58009,0.73821,1.26965,0.78494,0.90886,0,0.0009505,0.0009505,0.0009505
