epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6617,2.12119,4.03157,3.20686,1.607,0,0.00967,0.53384,0.00713,0.0026,0.00131,0.07245,0.00012,2e-05,2.44947,14.5621,3.74615,1.49744,0,0.000325581,0.000325581,0.0677674
2,23.9545,1.50077,2.63099,1.77458,1.14747,0,0.63194,0.08675,0.0695,0.03826,0.625,0.0858,0.06988,0.02902,2.15929,6.56235,4.22027,1.61821,0,0.00065674,0.00065674,0.0347653
3,34.8662,1.28811,2.17232,1.39996,1.05082,0,0.63145,0.25357,0.28717,0.22123,0.63145,0.25357,0.28503,0.20593,1.21552,2.97472,2.32564,1.08341,0,0.000985699,0.000985699,0.00176089
4,45.2334,1.18999,1.93166,1.2672,1.0137,0,0.8481,0.51954,0.61839,0.4472,0.85321,0.51192,0.61121,0.42184,1.02167,2.40284,1.18793,1.00871,0,0.0009901,0.0009901,0.0009901
5,56.2255,1.11606,1.77703,1.17965,0.98941,0,0.86453,0.54752,0.65986,0.47961,0.86494,0.54332,0.64713,0.42215,0.98665,2.18562,1.49403,1.00046,0,0.0009868,0.0009868,0.0009868
6,66.8771,1.07163,1.68987,1.11461,0.98048,0,0.76896,0.54909,0.61895,0.46193,0.77392,0.54823,0.6218,0.44632,0.94683,1.71328,2.17116,0.97905,0,0.0009835,0.0009835,0.0009835
7,77.3643,1.05531,1.60125,1.08252,0.97041,0,0.83763,0.56339,0.65741,0.49654,0.80659,0.5796,0.65804,0.4559,0.91537,1.6925,1.32789,0.97044,0,0.0009802,0.0009802,0.0009802
8,87.7222,0.99986,1.52339,1.01416,0.95321,0,0.80898,0.61964,0.70017,0.53767,0.80898,0.61964,0.69767,0.52095,0.85961,1.48742,0.94718,0.95039,0,0.0009769,0.0009769,0.0009769
9,98.1867,0.96602,1.44055,0.97981,0.94729,0,0.88698,0.6082,0.71448,0.55048,0.89314,0.61201,0.72159,0.52502,0.8356,1.5371,0.92145,0.95254,0,0.0009736,0.0009736,0.0009736
10,108.723,0.9422,1.41767,0.95519,0.94109,0,0.87914,0.57102,0.68242,0.53379,0.87591,0.57483,0.68334,0.51956,0.82302,1.43747,1.24632,0.94103,0,0.0009703,0.0009703,0.0009703
