epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3891,1.24762,2.34433,2.05938,1.04963,0,0.00259,0.14299,0.00043,0.00012,0,0,0,0,3.65001,62.938,3.96491,2.37199,0,0.000325581,0.000325581,0.0677674
2,23.4996,1.01616,1.62271,1.25038,0.96175,0,0.23778,0.65396,0.59543,0.43403,0.17712,0.48713,0.4253,0.19856,1.00175,8.46404,2.83923,0.98148,0,0.00065674,0.00065674,0.0347653
3,33.7776,0.99646,1.57805,1.10775,0.94326,0,0.82355,0.58151,0.6626,0.49716,0.82756,0.57865,0.65542,0.47498,0.9227,1.73176,1.30066,0.94428,0,0.000985699,0.000985699,0.00176089
4,43.9162,0.97988,1.47074,1.02674,0.93833,0,0.49697,0.56149,0.38737,0.29172,0.49626,0.56053,0.38373,0.27944,0.88264,1.8626,1.58148,0.95565,0,0.0009901,0.0009901,0.0009901
5,54.282,0.92886,1.39356,0.96533,0.9276,0,0.88816,0.62631,0.71705,0.55466,0.89213,0.62536,0.71739,0.53717,0.81448,1.44441,1.03849,0.9405,0,0.0009868,0.0009868,0.0009868
6,64.4631,0.92132,1.36039,0.93191,0.92603,0,0.81304,0.59284,0.68968,0.54087,0.81133,0.59485,0.68434,0.51325,0.80785,1.41177,1.53601,0.92744,0,0.0009835,0.0009835,0.0009835
7,74.4866,0.89288,1.30532,0.90135,0.91945,0,0.84294,0.63441,0.71139,0.5559,0.84424,0.64061,0.71875,0.53957,0.80652,1.34474,1.29935,0.93969,0,0.0009802,0.0009802,0.0009802
8,84.5131,0.88393,1.25914,0.8589,0.91099,0,0.87372,0.62658,0.73239,0.58193,0.87514,0.62806,0.73192,0.55733,0.77412,1.30955,0.95534,0.92601,0,0.0009769,0.0009769,0.0009769
9,94.6437,0.84438,1.1988,0.84606,0.90648,0,0.87205,0.64919,0.75904,0.59151,0.87272,0.65014,0.76018,0.56725,0.77295,1.37916,0.91922,0.92625,0,0.0009736,0.0009736,0.0009736
10,105.046,0.83665,1.20972,0.81958,0.90638,0,0.88199,0.64156,0.74398,0.58745,0.88461,0.64347,0.74359,0.56789,0.74649,1.38192,0.84146,0.91856,0,0.0009703,0.0009703,0.0009703
11,114.855,0.84883,1.24912,0.83315,0.90766,0,0.8593,0.65014,0.75253,0.59909,0.8593,0.65014,0.75074,0.57011,0.73162,1.21015,0.83433,0.90632,0,0.000967,0.000967,0.000967
12,124.954,0.84444,1.23456,0.80507,0.89929,0,0.83901,0.67565,0.75484,0.59664,0.84019,0.6766,0.75369,0.57467,0.7504,1.20195,0.78165,0.91304,0,0.0009637,0.0009637,0.0009637
13,134.768,0.82551,1.13471,0.78702,0.89908,0,0.88395,0.67532,0.7629,0.61241,0.87775,0.67493,0.76012,0.59249,0.73671,1.17046,0.75281,0.91242,0,0.0009604,0.0009604,0.0009604
14,144.636,0.83566,1.16348,0.78221,0.90151,0,0.8944,0.67779,0.76984,0.61502,0.8963,0.67684,0.76826,0.60059,0.72036,1.18177,0.76219,0.90022,0,0.0009571,0.0009571,0.0009571
15,154.936,0.81941,1.14947,0.77386,0.89732,0,0.88769,0.67812,0.77725,0.62329,0.88365,0.67684,0.77433,0.5888,0.71534,1.18376,0.75849,0.90189,0,0.0009538,0.0009538,0.0009538
16,164.879,0.80844,1.10514,0.74952,0.89557,0,0.88368,0.65014,0.74056,0.59402,0.88238,0.64919,0.73965,0.57365,0.70766,1.08866,0.81801,0.90025,0,0.0009505,0.0009505,0.0009505
17,174.598,0.81312,1.13239,0.75099,0.89731,0,0.88654,0.65777,0.74911,0.61036,0.88375,0.653,0.74002,0.57613,0.70183,1.1578,0.75751,0.89365,0,0.0009472,0.0009472,0.0009472
18,184.194,0.78608,1.13331,0.73394,0.88299,0,0.91109,0.67874,0.77532,0.62745,0.91215,0.68298,0.77692,0.60872,0.69793,1.13396,0.80011,0.88957,0,0.0009439,0.0009439,0.0009439
19,194.119,0.82231,1.14831,0.7523,0.89707,0,0.90069,0.67441,0.78052,0.6273,0.90049,0.67286,0.77786,0.59892,0.70434,1.15057,0.69157,0.89889,0,0.0009406,0.0009406,0.0009406
20,203.843,0.82211,1.10934,0.74714,0.90159,0,0.85821,0.66931,0.75173,0.6129,0.86065,0.67122,0.75233,0.58283,0.68737,1.15524,0.86718,0.89898,0,0.0009373,0.0009373,0.0009373
21,214.172,0.79502,1.11022,0.71723,0.89254,0,0.86267,0.70067,0.776,0.62764,0.86298,0.69971,0.7782,0.60814,0.69101,1.12219,0.90835,0.89524,0,0.000934,0.000934,0.000934
22,224.379,0.7865,1.10605,0.74253,0.89097,0,0.88237,0.70796,0.79153,0.634,0.87643,0.70319,0.78342,0.5993,0.68318,1.08061,0.7383,0.89311,0,0.0009307,0.0009307,0.0009307
23,234.104,0.76671,1.06748,0.69464,0.88528,0,0.87545,0.69876,0.78745,0.63462,0.87591,0.69978,0.78709,0.61291,0.66149,1.12001,0.70429,0.87875,0,0.0009274,0.0009274,0.0009274
24,244.384,0.78778,1.0952,0.71833,0.88697,0,0.85692,0.71367,0.78356,0.63153,0.85921,0.71558,0.78396,0.60825,0.68517,1.10206,0.96512,0.88996,0,0.0009241,0.0009241,0.0009241
25,254.435,0.79432,1.11326,0.69669,0.87923,0,0.88185,0.70543,0.78876,0.63861,0.88543,0.70829,0.79085,0.61301,0.66585,1.06923,0.74974,0.88736,0,0.0009208,0.0009208,0.0009208
26,264.26,0.76633,1.04549,0.69896,0.89102,0,0.91962,0.69801,0.79739,0.63971,0.91719,0.6969,0.7876,0.59974,0.69909,1.17311,0.66966,0.89224,0,0.0009175,0.0009175,0.0009175
27,274.185,0.75797,1.0396,0.69107,0.88669,0,0.91746,0.68879,0.7908,0.64014,0.91633,0.69209,0.78923,0.6143,0.68307,1.12054,0.75069,0.89084,0,0.0009142,0.0009142,0.0009142
28,283.841,0.77493,1.07098,0.67624,0.87803,0,0.9075,0.68255,0.78294,0.63228,0.90603,0.68013,0.77454,0.58906,0.66251,1.17581,0.71563,0.8909,0,0.0009109,0.0009109,0.0009109
29,293.552,0.76634,1.0389,0.68238,0.8824,0,0.94019,0.68934,0.79985,0.64839,0.94025,0.68827,0.79714,0.62769,0.66134,1.03774,0.64698,0.87843,0,0.0009076,0.0009076,0.0009076
30,303.51,0.77414,1.05011,0.68919,0.87937,0,0.915,0.70734,0.79517,0.63887,0.90959,0.70829,0.79266,0.61454,0.67828,1.07045,0.66618,0.88974,0,0.0009043,0.0009043,0.0009043
31,313.041,0.77416,1.06356,0.68422,0.87864,0,0.9028,0.67588,0.7717,0.62002,0.90407,0.67684,0.77069,0.59846,0.6872,1.09834,0.72475,0.8947,0,0.000901,0.000901,0.000901
32,322.897,0.7459,1.03044,0.67425,0.87963,0,0.92544,0.69399,0.79892,0.65281,0.92962,0.6925,0.79897,0.62044,0.66809,1.02731,0.6656,0.88205,0,0.0008977,0.0008977,0.0008977
33,332.389,0.7577,1.06481,0.67401,0.87876,0,0.9116,0.69781,0.79965,0.64699,0.91554,0.70067,0.79791,0.61404,0.67169,1.07064,0.63217,0.88459,0,0.0008944,0.0008944,0.0008944
34,342.437,0.76158,1.04421,0.67096,0.87564,0,0.89666,0.68652,0.78595,0.64699,0.88718,0.69876,0.78548,0.61816,0.66165,0.97533,0.65582,0.88472,0,0.0008911,0.0008911,0.0008911
35,351.973,0.74468,1.03262,0.65582,0.87787,0,0.89435,0.72069,0.79908,0.65315,0.89729,0.71625,0.7954,0.6249,0.65135,1.08441,0.65458,0.88041,0,0.0008878,0.0008878,0.0008878
36,362.449,0.74844,1.00811,0.65762,0.87346,0,0.8707,0.73182,0.79746,0.65404,0.86957,0.73086,0.79378,0.61782,0.65487,1.13688,0.66179,0.87908,0,0.0008845,0.0008845,0.0008845
37,372.111,0.75325,1.01163,0.65932,0.88094,0,0.89354,0.70543,0.80132,0.64828,0.89373,0.70448,0.79849,0.61067,0.658,1.03264,0.74251,0.8796,0,0.0008812,0.0008812,0.0008812
38,381.539,0.73238,0.98031,0.64686,0.87344,0,0.88635,0.71401,0.79309,0.65452,0.88747,0.71421,0.78958,0.61679,0.63174,1.0038,0.67127,0.87859,0,0.0008779,0.0008779,0.0008779
