epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.091,1.28756,2.54758,2.17642,1.10719,0,0.001,0.01144,0.00501,0.0025,0.00017,0.00191,0,0,3.23143,29.7464,3.88015,2.03207,0,0.000325581,0.000325581,0.0677674
2,23.4495,1.05636,1.6655,1.28182,0.97936,0,0.04966,0.47378,0.19444,0.09586,0.04516,0.43089,0.16849,0.07547,1.74971,5.73583,3.52868,1.26585,0,0.00065674,0.00065674,0.0347653
3,34.2468,1.006,1.59888,1.11652,0.95424,0,0.78561,0.55005,0.63765,0.48329,0.78561,0.55005,0.63779,0.45652,0.95023,1.9739,1.29932,0.96019,0,0.000985699,0.000985699,0.00176089
4,44.6174,0.99527,1.51384,1.05014,0.94504,0,0.84848,0.61924,0.71026,0.5482,0.84643,0.61678,0.68649,0.49361,0.87644,2.33173,0.95984,0.94763,0,0.0009901,0.0009901,0.0009901
5,55.4752,0.94724,1.40212,0.99345,0.93276,0,0.83513,0.5698,0.67707,0.5318,0.83094,0.56694,0.66704,0.4825,0.82653,1.76393,1.10855,0.93707,0,0.0009868,0.0009868,0.0009868
6,65.6475,0.93376,1.37074,0.94763,0.92847,0,0.8295,0.59363,0.68015,0.53795,0.83524,0.59581,0.67922,0.48604,0.80098,1.65429,1.45665,0.92746,0,0.0009835,0.0009835,0.0009835
7,75.8114,0.89674,1.31018,0.90503,0.91965,0,0.75588,0.58913,0.67588,0.53424,0.75588,0.58913,0.67356,0.50479,0.8201,1.65289,1.99957,0.94004,0,0.0009802,0.0009802,0.0009802
8,85.763,0.88906,1.26812,0.88393,0.91469,0,0.70205,0.54719,0.54714,0.44263,0.69999,0.54433,0.54272,0.40858,0.78622,1.57014,1.24238,0.92424,0,0.0009769,0.0009769,0.0009769
9,95.7065,0.85411,1.21835,0.8654,0.90961,0,0.83694,0.65682,0.73854,0.58728,0.83815,0.65777,0.74228,0.5633,0.75517,1.28066,0.9514,0.91903,0,0.0009736,0.0009736,0.0009736
10,106.395,0.83854,1.23929,0.82577,0.90957,0,0.88273,0.64728,0.7468,0.60371,0.88024,0.64824,0.74685,0.58172,0.73964,1.2812,0.81501,0.90683,0,0.0009703,0.0009703,0.0009703
