epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5829,1.76739,3.14812,2.41639,1.56505,0,0,0,0,0,0,0,0,0,3.48879,55.7054,4.45861,2.8071,0,0.000325581,0.000325581,0.0677674
2,24.286,1.3557,1.98389,1.4582,1.33994,0,1,0.00095,0.005,0.004,1,0.00095,0.005,0.001,1.38371,10.974,4.30523,1.61732,0,0.00065674,0.00065674,0.0347653
3,35.4812,1.23863,1.84436,1.23054,1.22293,0,0.87268,0.35284,0.53556,0.34659,0.85865,0.33008,0.46706,0.18866,1.32179,3.93755,2.78016,1.51127,0,0.000985699,0.000985699,0.00176089
4,46.3366,1.16203,1.68289,1.14453,1.17413,0,0.86075,0.55389,0.65451,0.43394,0.85927,0.55294,0.64893,0.43412,1.19568,2.22348,1.49181,1.36342,0,0.0009901,0.0009901,0.0009901
5,57.5674,1.09739,1.54714,1.0693,1.13658,0,0.84264,0.60724,0.7082,0.51025,0.84956,0.60057,0.69948,0.50681,0.99622,1.74987,1.15036,1.20854,0,0.0009868,0.0009868,0.0009868
6,68.4779,1.05498,1.50447,1.00526,1.11144,0,0.82976,0.6511,0.72902,0.53766,0.82896,0.64061,0.70936,0.51854,0.94512,1.93787,1.13312,1.17257,0,0.0009835,0.0009835,0.0009835
7,79.5213,1.0171,1.42082,0.96183,1.09566,0,0.87624,0.64538,0.73447,0.53819,0.87302,0.64442,0.73445,0.54068,0.9561,1.48111,1.0797,1.18181,0,0.0009802,0.0009802,0.0009802
8,90.2753,0.9868,1.35081,0.91773,1.08327,0,0.82992,0.62822,0.71828,0.5384,0.82923,0.62631,0.71645,0.53813,0.90108,1.38257,1.21277,1.13658,0,0.0009769,0.0009769,0.0009769
9,100.805,0.96736,1.3138,0.90404,1.06779,0,0.82631,0.65014,0.74075,0.56151,0.82898,0.65205,0.73915,0.55612,0.87719,1.36235,0.94911,1.12683,0,0.0009736,0.0009736,0.0009736
10,111.81,0.94599,1.29969,0.87383,1.05751,0,0.83839,0.66635,0.75103,0.57554,0.86148,0.65396,0.74897,0.54924,0.83461,1.41205,1.16547,1.10454,0,0.0009703,0.0009703,0.0009703
11,122.706,0.92751,1.3113,0.86488,1.03919,0,0.86811,0.6511,0.75188,0.57203,0.87969,0.64252,0.74904,0.54497,0.86815,1.42072,1.30005,1.12241,0,0.000967,0.000967,0.000967
12,133.7,0.94139,1.31505,0.84934,1.03214,0,0.83793,0.64442,0.70577,0.54305,0.84088,0.64919,0.70545,0.52491,0.84786,1.46108,1.35815,1.10213,0,0.0009637,0.0009637,0.0009637
