epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3731,3.48892,4.32879,2.70934,3.02664,0,0,0,0,0,0,0,0,0,3.83137,6.22011,4.33989,2.8717,0,0.000325581,0.000325581,0.0677674
2,23.7062,2.21882,3.02681,1.6217,2.28708,0,0.83929,0.31363,0.30858,0.19418,0.56888,0.21258,0.17766,0.04093,2.28309,4.82298,3.82991,2.29781,0,0.00065674,0.00065674,0.0347653
3,34.3171,1.91168,2.66358,1.37752,1.87691,0,0.97619,0.39078,0.60306,0.3808,0.97579,0.3843,0.57901,0.36444,1.59038,2.9198,2.2708,1.85935,0,0.000985699,0.000985699,0.00176089
4,44.46,1.65316,2.40402,1.23303,1.61781,0,0.85444,0.57007,0.65135,0.42277,0.87494,0.56339,0.64658,0.42615,1.42019,2.29231,1.35792,1.60489,0,0.0009901,0.0009901,0.0009901
5,55.1669,1.50242,2.24975,1.14888,1.44227,0,0.82634,0.59876,0.67787,0.45185,0.84798,0.59027,0.67182,0.4416,1.28811,2.1082,1.1048,1.47598,0,0.0009868,0.0009868,0.0009868
6,65.2381,1.35763,2.10368,1.06903,1.31614,0,0.84035,0.61296,0.69835,0.47026,0.83838,0.61106,0.68799,0.47172,1.1611,2.03323,1.08703,1.30074,0,0.0009835,0.0009835,0.0009835
7,75.9372,1.2851,1.97339,1.0138,1.25408,0,0.81496,0.65491,0.72149,0.51008,0.81627,0.65224,0.7116,0.48488,1.10436,2.02723,0.9695,1.24935,0,0.0009802,0.0009802,0.0009802
8,86.4272,1.22789,1.85191,0.96021,1.20741,0,0.81832,0.64347,0.72428,0.50877,0.83874,0.63463,0.71661,0.49904,1.09242,1.83508,0.94211,1.20952,0,0.0009769,0.0009769,0.0009769
9,96.648,1.18463,1.76669,0.95754,1.17254,0,0.83316,0.59199,0.6937,0.49451,0.79183,0.60918,0.68939,0.4845,1.08483,1.8008,0.96369,1.22717,0,0.0009736,0.0009736,0.0009736
10,106.992,1.15562,1.75166,0.9256,1.15092,0,0.87723,0.61983,0.71668,0.53393,0.87476,0.62059,0.71114,0.51238,0.95417,1.7939,0.8915,1.14436,0,0.0009703,0.0009703,0.0009703
11,117.372,1.10924,1.72776,0.9082,1.11916,0,0.84429,0.67195,0.75402,0.5559,0.85321,0.66494,0.74533,0.52389,0.92141,1.71566,0.85435,1.1104,0,0.000967,0.000967,0.000967
12,128.019,1.11178,1.71423,0.88876,1.09931,0,0.77051,0.61453,0.68006,0.50125,0.77171,0.61548,0.67881,0.48039,0.99506,1.75658,0.93504,1.1359,0,0.0009637,0.0009637,0.0009637
13,138.253,1.07756,1.6017,0.85314,1.09774,0,0.90062,0.61339,0.72377,0.54937,0.88989,0.61678,0.72077,0.51856,0.89414,1.72356,0.85194,1.09296,0,0.0009604,0.0009604,0.0009604
14,148.438,1.07162,1.58828,0.8607,1.0813,0,0.90605,0.67113,0.77299,0.57905,0.90715,0.66921,0.76855,0.55411,0.90172,1.59062,0.77799,1.08284,0,0.0009571,0.0009571,0.0009571
15,158.442,1.03282,1.5432,0.83518,1.06576,0,0.87738,0.69304,0.77104,0.58344,0.88167,0.69304,0.77054,0.55501,0.876,1.57311,0.77055,1.07809,0,0.0009538,0.0009538,0.0009538
16,169.011,1.00982,1.50545,0.81305,1.05949,0,0.88234,0.65586,0.75257,0.57101,0.86282,0.66349,0.7503,0.55389,0.90376,1.52613,0.80027,1.08048,0,0.0009505,0.0009505,0.0009505
17,179.103,1.0088,1.50326,0.80783,1.05358,0,0.88472,0.65872,0.75728,0.56399,0.88405,0.65968,0.74703,0.52747,0.89304,1.61926,0.80365,1.09479,0,0.0009472,0.0009472,0.0009472
18,189.022,0.98569,1.48503,0.79096,1.04055,0,0.87359,0.65777,0.75767,0.57441,0.87626,0.66156,0.76121,0.55381,0.88119,1.52281,0.80589,1.0648,0,0.0009439,0.0009439,0.0009439
19,199.382,0.99044,1.51509,0.79161,1.04005,0,0.89448,0.67398,0.77314,0.57535,0.8959,0.67398,0.77214,0.56512,0.91026,1.48604,0.7489,1.06743,0,0.0009406,0.0009406,0.0009406
20,209.188,1.00312,1.44827,0.79389,1.04879,0,0.88742,0.64626,0.74268,0.56446,0.88364,0.64442,0.74042,0.54135,0.85533,1.50136,0.8049,1.06303,0,0.0009373,0.0009373,0.0009373
21,219.973,0.98338,1.44199,0.78576,1.04353,0,0.89342,0.67923,0.78045,0.59756,0.88966,0.67637,0.77118,0.56243,0.83263,1.5414,0.7195,1.04882,0,0.000934,0.000934,0.000934
22,230.525,0.97071,1.41006,0.77949,1.03823,0,0.9029,0.69145,0.78385,0.59939,0.90344,0.69018,0.77945,0.56608,0.85367,1.43178,0.72398,1.04727,0,0.0009307,0.0009307,0.0009307
23,241.097,0.93384,1.3476,0.73777,1.01254,0,0.91159,0.68637,0.78362,0.59147,0.90906,0.68446,0.77925,0.56863,0.87371,1.40813,0.75066,1.05811,0,0.0009274,0.0009274,0.0009274
24,251.8,0.94726,1.40009,0.76514,1.02175,0,0.86486,0.65586,0.74514,0.57222,0.86486,0.65586,0.74097,0.55869,0.84637,1.42395,0.86742,1.04777,0,0.0009241,0.0009241,0.0009241
25,262.241,0.9448,1.40263,0.73558,1.00297,0,0.91386,0.6816,0.78366,0.61509,0.91715,0.67539,0.78129,0.5843,0.78964,1.36072,0.69012,1.02505,0,0.0009208,0.0009208,0.0009208
26,272.554,0.93766,1.31904,0.74771,1.02832,0,0.90843,0.68446,0.77842,0.61182,0.90716,0.68351,0.77507,0.58203,0.7916,1.35074,0.694,1.02413,0,0.0009175,0.0009175,0.0009175
27,282.965,0.90447,1.29847,0.71997,1.01271,0,0.86209,0.7032,0.77957,0.60778,0.87546,0.69021,0.77672,0.57614,0.79989,1.33176,0.75022,1.02261,0,0.0009142,0.0009142,0.0009142
28,292.943,0.91565,1.32309,0.71418,1.00171,0,0.9022,0.6947,0.79113,0.61902,0.89465,0.69618,0.78383,0.59245,0.78795,1.39121,0.69807,1.01717,0,0.0009109,0.0009109,0.0009109
29,303.222,0.90866,1.2982,0.71623,1.00058,0,0.88733,0.67398,0.77519,0.60412,0.88482,0.67207,0.77336,0.59374,0.80203,1.2924,0.70365,1.02014,0,0.0009076,0.0009076,0.0009076
