epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.411,3.39252,4.10455,2.56969,2.94447,0,0,0,0,0,0,0,0,0,3.78925,4.72028,4.25469,2.88222,0,0.000325581,0.000325581,0.0677674
2,23.5124,2.07021,2.74751,1.52833,1.97971,0,0.77174,0.27073,0.25379,0.15589,0.7663,0.26883,0.24505,0.12689,2.37866,3.98967,3.84095,2.13632,0,0.00065674,0.00065674,0.0347653
3,34.0038,1.70731,2.42647,1.25967,1.58712,0,0.93278,0.46298,0.62242,0.3863,0.93086,0.46202,0.62113,0.39868,1.50048,2.35098,1.9989,1.59407,0,0.000985699,0.000985699,0.00176089
4,44.3456,1.49014,2.20769,1.16177,1.41957,0,0.87285,0.55623,0.65529,0.4198,0.87324,0.55819,0.65895,0.43462,1.38888,2.15545,1.28276,1.44841,0,0.0009901,0.0009901,0.0009901
5,55.3738,1.37494,2.05804,1.09243,1.30353,0,0.86678,0.60629,0.70248,0.44302,0.87357,0.606,0.69983,0.45714,1.30932,1.91851,1.10674,1.42481,0,0.0009868,0.0009868,0.0009868
6,65.4359,1.25066,1.97155,1.02493,1.22756,0,0.89493,0.60088,0.7074,0.50025,0.89841,0.59857,0.70652,0.47349,1.11251,1.89007,1.03769,1.2733,0,0.0009835,0.0009835,0.0009835
7,75.7899,1.18033,1.8528,0.97546,1.18458,0,0.86572,0.62154,0.71298,0.51498,0.86552,0.61969,0.70755,0.4862,1.05925,1.8721,1.06821,1.21928,0,0.0009802,0.0009802,0.0009802
8,85.8045,1.14736,1.76143,0.93668,1.15579,0,0.88896,0.6225,0.73116,0.53326,0.89016,0.61868,0.72823,0.4873,1.02334,1.81197,0.93728,1.1805,0,0.0009769,0.0009769,0.0009769
9,96.3425,1.09162,1.67017,0.90811,1.12271,0,0.89168,0.63966,0.74267,0.5424,0.88735,0.63828,0.73682,0.50135,0.99173,1.79182,0.86986,1.14689,0,0.0009736,0.0009736,0.0009736
10,106.863,1.07642,1.6647,0.88299,1.10152,0,0.88478,0.65884,0.74743,0.55477,0.87832,0.66057,0.74667,0.54191,0.9502,1.6287,0.82417,1.12344,0,0.0009703,0.0009703,0.0009703
11,117.342,1.04036,1.6626,0.86424,1.08004,0,0.85557,0.65491,0.75026,0.56285,0.85469,0.65605,0.75174,0.53522,0.92296,1.56698,0.90276,1.1047,0,0.000967,0.000967,0.000967
12,127.424,1.034,1.64569,0.85141,1.06395,0,0.87654,0.65648,0.75681,0.57214,0.87824,0.64636,0.74918,0.53192,0.89897,1.6175,0.80984,1.10335,0,0.0009637,0.0009637,0.0009637
13,137.512,1.01051,1.52537,0.83836,1.06375,0,0.84738,0.66063,0.7449,0.56526,0.84616,0.65968,0.74284,0.52632,0.89479,1.58548,0.85692,1.08883,0,0.0009604,0.0009604,0.0009604
14,148.028,1.02176,1.53662,0.83486,1.05734,0,0.85079,0.68491,0.7599,0.57731,0.84346,0.69018,0.7613,0.56077,0.86206,1.49099,0.90807,1.06457,0,0.0009571,0.0009571,0.0009571
