epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8271,3.419,4.19183,2.79196,2.99118,0,0,0,0,0,0,0,0,0,4.13745,5.78814,4.54365,2.9116,0,0.000325581,0.000325581,0.0677674
2,23.1928,2.1991,2.95265,1.60829,2.15759,0,0.19399,0.14776,0.0844,0.03813,0.19775,0.15062,0.08683,0.04635,3.17291,4.67175,4.34035,2.34536,0,0.00065674,0.00065674,0.0347653
3,33.8643,1.86949,2.58993,1.32895,1.76774,0,0.86598,0.19711,0.45689,0.27901,0.86598,0.19711,0.44906,0.25984,1.78377,3.20752,2.45504,1.75083,0,0.000985699,0.000985699,0.00176089
4,44.2444,1.61931,2.33864,1.18562,1.53179,0,0.74421,0.502,0.5705,0.37842,0.74573,0.50326,0.5667,0.38111,1.3543,2.22727,1.33285,1.46305,0,0.0009901,0.0009901,0.0009901
5,55.0745,1.48846,2.16831,1.11571,1.40777,0,0.79583,0.59823,0.67066,0.43808,0.79963,0.60109,0.66869,0.44143,1.31688,2.14443,1.21352,1.40724,0,0.0009868,0.0009868,0.0009868
6,65.599,1.34593,2.03926,1.0388,1.29208,0,0.80459,0.58913,0.6818,0.46536,0.81957,0.58723,0.67741,0.46377,1.18205,1.97017,1.19264,1.269,0,0.0009835,0.0009835,0.0009835
7,75.5415,1.26169,1.91582,0.98609,1.22462,0,0.81029,0.6067,0.69926,0.49947,0.80216,0.61106,0.69453,0.4854,1.0648,1.88407,1.24743,1.20397,0,0.0009802,0.0009802,0.0009802
8,85.8271,1.18528,1.80508,0.93371,1.17198,0,0.81593,0.62726,0.70318,0.49471,0.81934,0.61773,0.69963,0.48276,1.08633,1.92953,0.93075,1.17602,0,0.0009769,0.0009769,0.0009769
9,95.7618,1.16583,1.71688,0.91954,1.15252,0,0.88681,0.61201,0.72732,0.51569,0.88882,0.60915,0.72437,0.50275,1.07317,1.75113,0.92735,1.19919,0,0.0009736,0.0009736,0.0009736
10,106.259,1.12078,1.69019,0.88345,1.12877,0,0.8674,0.66063,0.73878,0.5498,0.87283,0.65872,0.73771,0.53036,0.93599,1.65286,0.82998,1.12086,0,0.0009703,0.0009703,0.0009703
11,116.803,1.08554,1.68273,0.87701,1.11167,0,0.85614,0.65872,0.74484,0.5435,0.86016,0.65674,0.74428,0.52325,0.99401,1.664,0.84926,1.13713,0,0.000967,0.000967,0.000967
12,126.928,1.08837,1.68751,0.87238,1.08334,0,0.82501,0.59199,0.68353,0.524,0.83388,0.58858,0.68223,0.48904,0.92614,1.67306,0.97088,1.11115,0,0.0009637,0.0009637,0.0009637
13,136.937,1.05102,1.55171,0.83505,1.08054,0,0.89566,0.64061,0.73941,0.55869,0.89285,0.64156,0.74106,0.53716,0.90623,1.53323,0.80637,1.0992,0,0.0009604,0.0009604,0.0009604
14,147.468,1.03056,1.56356,0.83012,1.06318,0,0.87865,0.66635,0.75496,0.57574,0.88374,0.66063,0.74954,0.5484,0.86963,1.51409,0.77776,1.06601,0,0.0009571,0.0009571,0.0009571
15,158.353,1.00126,1.51308,0.80551,1.05345,0,0.90714,0.66122,0.76274,0.57827,0.90449,0.65901,0.76047,0.56411,0.90102,1.54393,0.81964,1.07816,0,0.0009538,0.0009538,0.0009538
16,168.692,0.99156,1.48689,0.78654,1.04991,0,0.86326,0.65968,0.75277,0.57187,0.8614,0.65777,0.74643,0.55391,0.88895,1.47093,0.76594,1.07252,0,0.0009505,0.0009505,0.0009505
17,178.844,0.99568,1.49179,0.79064,1.04772,0,0.86784,0.68732,0.769,0.58255,0.86543,0.68541,0.76847,0.55254,0.8523,1.4689,0.81424,1.0504,0,0.0009472,0.0009472,0.0009472
18,188.684,0.98721,1.47571,0.78165,1.03311,0,0.90746,0.65436,0.75646,0.57012,0.90067,0.65491,0.75493,0.54352,0.88704,1.41581,0.76405,1.0668,0,0.0009439,0.0009439,0.0009439
19,198.602,0.97605,1.48084,0.77118,1.02895,0,0.89068,0.68446,0.77567,0.58888,0.89587,0.68637,0.77628,0.57377,0.84683,1.40925,0.74233,1.04702,0,0.0009406,0.0009406,0.0009406
20,208.944,0.98966,1.43022,0.77635,1.03873,0,0.87068,0.67112,0.75242,0.55989,0.86655,0.67112,0.75187,0.55095,0.90321,1.49511,0.75392,1.06733,0,0.0009373,0.0009373,0.0009373
21,219.438,0.9613,1.41868,0.75603,1.03347,0,0.88061,0.67684,0.7625,0.57606,0.88015,0.67779,0.76135,0.5624,0.87912,1.55776,0.80498,1.05232,0,0.000934,0.000934,0.000934
