epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1751,3.33514,4.04266,2.64357,3.05799,0,0,0,0,0,0,0,0,0,3.99126,5.72937,4.28915,2.93473,0,0.000325581,0.000325581,0.0677674
2,23.3698,2.21853,2.87174,1.63985,2.22637,0,0,0,0,0,0,0,0,0,3.61992,5.31209,4.24707,2.64775,0,0.00065674,0.00065674,0.0347653
3,34.0758,1.85827,2.54112,1.3592,1.78293,0,0.61931,0.53384,0.52534,0.24633,0.53344,0.53861,0.48984,0.21151,2.32736,3.59684,2.62281,2.0158,0,0.000985699,0.000985699,0.00176089
4,44.2613,1.6077,2.28002,1.21338,1.54766,0,0.87913,0.56857,0.65387,0.44354,0.87859,0.56721,0.64757,0.4398,1.34744,2.27536,1.40543,1.54869,0,0.0009901,0.0009901,0.0009901
5,55.2552,1.44717,2.13387,1.1298,1.42207,0,0.83509,0.56481,0.65291,0.44372,0.83374,0.56435,0.64977,0.44076,1.23463,2.03798,1.1306,1.44362,0,0.0009868,0.0009868,0.0009868
6,65.9484,1.32252,2.02473,1.05022,1.3092,0,0.8271,0.59199,0.67413,0.46224,0.83137,0.58747,0.6681,0.44414,1.16458,2.14284,1.53555,1.34207,0,0.0009835,0.0009835,0.0009835
7,76.3683,1.26233,1.88531,1.00295,1.25274,0,0.81146,0.63182,0.70464,0.50165,0.81711,0.63032,0.70165,0.47431,1.05147,1.94256,1.27075,1.25676,0,0.0009802,0.0009802,0.0009802
8,86.9168,1.21644,1.78324,0.95966,1.21233,0,0.85862,0.64156,0.7317,0.53115,0.84148,0.64633,0.72554,0.50331,1.04498,1.87245,0.93626,1.2138,0,0.0009769,0.0009769,0.0009769
9,96.9366,1.16628,1.71972,0.94079,1.16965,0,0.84171,0.67418,0.7438,0.54194,0.83933,0.67227,0.7377,0.51493,0.98657,1.75404,0.90676,1.17232,0,0.0009736,0.0009736,0.0009736
10,107.651,1.1342,1.67685,0.90444,1.13756,0,0.84018,0.65586,0.73038,0.54053,0.83415,0.653,0.7243,0.52215,0.96321,1.68138,0.99706,1.14712,0,0.0009703,0.0009703,0.0009703
