epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3959,3.43564,4.05069,2.72364,2.96053,0,0,0,0,0,0,0,0,0,3.77783,5.83616,4.14031,2.89902,0,0.000325581,0.000325581,0.0677674
2,23.6135,2.11752,2.80942,1.56796,2.04801,0,0.63636,0.12011,0.10676,0.04765,0.33333,0.06292,0.03641,0.0057,2.77369,5.08072,4.03159,2.3785,0,0.00065674,0.00065674,0.0347653
3,34.2307,1.77942,2.50696,1.303,1.6562,0,0.92352,0.23022,0.53002,0.31074,0.89293,0.2226,0.48123,0.2259,1.71048,3.60141,2.37834,1.66617,0,0.000985699,0.000985699,0.00176089
4,44.7611,1.53012,2.27098,1.1758,1.45825,0,0.70322,0.53765,0.58142,0.38841,0.69951,0.53289,0.5733,0.39596,1.31909,2.15554,1.37775,1.40996,0,0.0009901,0.0009901,0.0009901
5,55.4277,1.42226,2.15857,1.11136,1.3595,0,0.87253,0.60035,0.70071,0.47915,0.86059,0.60615,0.69559,0.47098,1.19628,2.04394,1.09652,1.3371,0,0.0009868,0.0009868,0.0009868
6,65.4459,1.33693,2.05333,1.03927,1.27737,0,0.82892,0.62536,0.70502,0.49291,0.83369,0.62602,0.70549,0.48114,1.13713,1.96959,1.08345,1.25739,0,0.0009835,0.0009835,0.0009835
7,75.7551,1.23848,1.93272,0.98798,1.21629,0,0.8675,0.63108,0.72606,0.51377,0.86905,0.6263,0.72097,0.479,1.08001,2.03105,0.98588,1.23487,0,0.0009802,0.0009802,0.0009802
8,86.0684,1.18218,1.82118,0.94791,1.17251,0,0.86076,0.64825,0.73479,0.52935,0.85656,0.64347,0.72911,0.50568,1.03735,1.78709,0.94739,1.17837,0,0.0009769,0.0009769,0.0009769
9,96.7364,1.14125,1.72739,0.91678,1.1402,0,0.87332,0.63747,0.73393,0.54012,0.87353,0.63868,0.73261,0.51504,0.98622,1.7566,0.8556,1.14705,0,0.0009736,0.0009736,0.0009736
10,107.257,1.10443,1.71318,0.88938,1.11669,0,0.86346,0.67398,0.75169,0.55297,0.86319,0.67588,0.7474,0.52557,0.95055,1.73285,0.84697,1.12874,0,0.0009703,0.0009703,0.0009703
11,117.749,1.07954,1.7126,0.88364,1.0995,0,0.87686,0.66527,0.75235,0.56381,0.8795,0.66635,0.75163,0.53477,0.93014,1.6254,0.8128,1.11042,0,0.000967,0.000967,0.000967
12,128.312,1.06615,1.69642,0.86907,1.07576,0,0.78153,0.60629,0.69574,0.528,0.77553,0.6082,0.69493,0.49452,0.92549,1.65686,1.00686,1.10485,0,0.0009637,0.0009637,0.0009637
13,138.467,1.02479,1.56656,0.82686,1.07056,0,0.87893,0.64728,0.74686,0.55921,0.88002,0.64633,0.74647,0.53244,0.9281,1.56011,0.92252,1.09391,0,0.0009604,0.0009604,0.0009604
14,148.987,1.02208,1.57902,0.83973,1.05955,0,0.84214,0.6713,0.75128,0.57099,0.85772,0.6673,0.75258,0.54628,0.89027,1.53712,0.95165,1.07304,0,0.0009571,0.0009571,0.0009571
15,159.208,1.00008,1.53195,0.81717,1.04846,0,0.86249,0.70257,0.77983,0.58658,0.86186,0.70257,0.78113,0.5672,0.89398,1.49918,0.77835,1.07347,0,0.0009538,0.0009538,0.0009538
