epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1468,3.46878,4.19912,2.75775,2.98097,0,0,0,0,0,0,0,0,0,3.99401,5.44736,4.21552,2.92727,0,0.000325581,0.000325581,0.0677674
2,23.6832,2.34528,3.04084,1.67773,2.15213,0,0.31571,0.19924,0.13202,0.02664,0.01208,0.00763,6e-05,1e-05,3.37905,5.64849,3.91707,2.4978,0,0.00065674,0.00065674,0.0347653
3,34.4937,1.98334,2.69634,1.39196,1.79725,0,0.95583,0.39194,0.58757,0.30878,0.95583,0.39194,0.56698,0.2502,2.06366,3.58149,2.15898,1.86694,0,0.000985699,0.000985699,0.00176089
4,45.0351,1.71043,2.4212,1.24059,1.58182,0,0.87489,0.56,0.65232,0.4094,0.87574,0.55291,0.63697,0.41658,1.41046,2.3574,1.29777,1.50797,0,0.0009901,0.0009901,0.0009901
5,55.7642,1.5112,2.22645,1.13972,1.41733,0,0.88826,0.57674,0.68083,0.42064,0.88264,0.57579,0.6706,0.42376,1.35985,2.1238,1.12259,1.47625,0,0.0009868,0.0009868,0.0009868
6,66.4077,1.35653,2.09826,1.05374,1.30845,0,0.85841,0.58374,0.68017,0.47064,0.85841,0.58374,0.67821,0.47174,1.15747,1.95861,1.12923,1.29866,0,0.0009835,0.0009835,0.0009835
7,76.7329,1.28834,1.95716,1.02012,1.24886,0,0.83792,0.62096,0.7022,0.4878,0.83544,0.62059,0.69968,0.48835,1.1131,1.94762,1.07361,1.24802,0,0.0009802,0.0009802,0.0009802
8,87.4829,1.22419,1.85373,0.9611,1.19983,0,0.85621,0.59485,0.68371,0.47907,0.85651,0.5939,0.68042,0.46964,1.0767,1.93289,1.02027,1.20865,0,0.0009769,0.0009769,0.0009769
9,97.8135,1.18328,1.7713,0.93846,1.17077,0,0.85973,0.62631,0.72626,0.52328,0.85448,0.62536,0.72407,0.51457,1.00693,1.69022,0.94518,1.17362,0,0.0009736,0.0009736,0.0009736
10,108.497,1.13933,1.74065,0.91367,1.13831,0,0.81072,0.63298,0.70914,0.52094,0.8179,0.6294,0.70678,0.51133,1.00583,1.69272,1.13488,1.15369,0,0.0009703,0.0009703,0.0009703
11,119.09,1.09307,1.72352,0.88046,1.11304,0,0.84302,0.64442,0.73826,0.54785,0.84465,0.6479,0.73721,0.53111,0.9602,1.61759,0.90977,1.13534,0,0.000967,0.000967,0.000967
12,129.464,1.07738,1.7128,0.86413,1.08833,0,0.88589,0.65128,0.75314,0.56175,0.89926,0.63824,0.74719,0.53588,0.92337,1.60832,0.82629,1.11234,0,0.0009637,0.0009637,0.0009637
13,139.952,1.04938,1.57956,0.83915,1.0869,0,0.88403,0.65014,0.74816,0.56036,0.88201,0.65682,0.75112,0.53739,0.91053,1.52667,0.85885,1.10687,0,0.0009604,0.0009604,0.0009604
14,150.243,1.03594,1.5697,0.82484,1.06826,0,0.85083,0.67207,0.75423,0.56649,0.85056,0.68255,0.76023,0.54934,0.91061,1.5035,0.84941,1.09358,0,0.0009571,0.0009571,0.0009571
15,160.585,1.01812,1.52682,0.81774,1.0573,0,0.89928,0.65539,0.75803,0.57112,0.89731,0.65396,0.75765,0.55846,0.92011,1.55822,0.80608,1.08035,0,0.0009538,0.0009538,0.0009538
16,171.121,1.00703,1.48809,0.80865,1.05193,0,0.90484,0.67073,0.75999,0.56851,0.90486,0.6709,0.76234,0.55576,0.90414,1.51163,0.75725,1.07608,0,0.0009505,0.0009505,0.0009505
17,181.572,0.99946,1.4704,0.79592,1.04611,0,0.87823,0.68637,0.76644,0.58262,0.86845,0.68923,0.76466,0.56078,0.89086,1.47426,0.87736,1.06484,0,0.0009472,0.0009472,0.0009472
18,191.708,0.98585,1.47212,0.78653,1.03469,0,0.90156,0.6673,0.75094,0.56814,0.89628,0.66724,0.74653,0.54589,0.88687,1.39522,0.82555,1.07242,0,0.0009439,0.0009439,0.0009439
19,201.974,0.99086,1.47831,0.77566,1.03559,0,0.88982,0.69287,0.78021,0.59463,0.88955,0.69866,0.78379,0.57425,0.86067,1.42151,0.72551,1.0508,0,0.0009406,0.0009406,0.0009406
20,212.126,0.98293,1.42,0.7751,1.04094,0,0.88075,0.64442,0.74667,0.57344,0.86744,0.64538,0.74359,0.5512,0.84789,1.43103,0.80814,1.05353,0,0.0009373,0.0009373,0.0009373
21,223,0.95564,1.40931,0.75622,1.03233,0,0.90797,0.6866,0.78227,0.60332,0.89965,0.69224,0.78401,0.58209,0.82232,1.38665,0.7399,1.03796,0,0.000934,0.000934,0.000934
22,233.588,0.94996,1.39521,0.7658,1.02817,0,0.8761,0.70734,0.7836,0.60802,0.87437,0.70543,0.7773,0.57903,0.83334,1.4061,0.72762,1.03986,0,0.0009307,0.0009307,0.0009307
23,243.512,0.90937,1.33229,0.7305,1.00661,0,0.90897,0.68065,0.78325,0.60342,0.9028,0.68178,0.77805,0.58302,0.82616,1.3589,0.7272,1.04087,0,0.0009274,0.0009274,0.0009274
24,254.23,0.93402,1.36456,0.74582,1.01211,0,0.89959,0.67874,0.77326,0.60179,0.90212,0.68065,0.77212,0.57998,0.81096,1.35588,0.71345,1.03694,0,0.0009241,0.0009241,0.0009241
25,264.252,0.95817,1.38729,0.73497,1.00214,0,0.8819,0.6816,0.77039,0.59839,0.8856,0.68446,0.76865,0.57795,0.80496,1.35773,0.71934,1.0333,0,0.0009208,0.0009208,0.0009208
26,274.377,0.92945,1.30073,0.74581,1.02463,0,0.8946,0.67112,0.76644,0.60028,0.89881,0.67779,0.76393,0.57381,0.79527,1.40301,0.71505,1.02398,0,0.0009175,0.0009175,0.0009175
27,284.891,0.89465,1.28137,0.71329,1.00539,0,0.91053,0.6959,0.79284,0.60571,0.90958,0.69685,0.79184,0.59417,0.82235,1.31544,0.75061,1.02929,0,0.0009142,0.0009142,0.0009142
28,295.114,0.9197,1.30954,0.71547,0.99828,0,0.89488,0.69792,0.7836,0.60986,0.89247,0.69495,0.78065,0.58827,0.81333,1.37036,0.71841,1.03329,0,0.0009109,0.0009109,0.0009109
29,305.021,0.90317,1.28412,0.71036,1.00386,0,0.89782,0.6785,0.78035,0.61613,0.90413,0.68327,0.78119,0.59278,0.7655,1.26349,0.66979,1.01179,0,0.0009076,0.0009076,0.0009076
30,315.866,0.91565,1.28327,0.71677,0.99106,0,0.8805,0.70944,0.79021,0.62001,0.88876,0.70639,0.79189,0.59899,0.78153,1.36871,0.71286,1.01038,0,0.0009043,0.0009043,0.0009043
31,326.337,0.90611,1.30172,0.70205,0.98348,0,0.86996,0.70448,0.77845,0.6054,0.87034,0.70257,0.77975,0.59806,0.78599,1.31404,0.68234,1.0028,0,0.000901,0.000901,0.000901
32,336.661,0.88048,1.2503,0.70562,0.99025,0,0.87679,0.72355,0.79382,0.61532,0.86931,0.72736,0.79251,0.60243,0.78413,1.2921,0.72552,1.00823,0,0.0008977,0.0008977,0.0008977
33,346.937,0.90127,1.26726,0.7086,0.99605,0,0.87572,0.69862,0.77899,0.60621,0.87692,0.69957,0.77964,0.58376,0.79907,1.31205,0.69468,1.01964,0,0.0008944,0.0008944,0.0008944
34,357.435,0.87457,1.23908,0.69017,0.98484,0,0.85843,0.71401,0.78053,0.61518,0.86301,0.71783,0.78058,0.58927,0.78709,1.28293,0.68268,1.01125,0,0.0008911,0.0008911,0.0008911
35,367.282,0.8694,1.22464,0.67968,0.98262,0,0.90414,0.68446,0.78333,0.62352,0.90871,0.68827,0.78736,0.59931,0.75438,1.29187,0.72924,0.99682,0,0.0008878,0.0008878,0.0008878
