epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0096,1.10759,2.12872,1.92861,1.0062,0,0,0,0,0,0,0,0,0,1.89012,17.2293,3.92298,1.36866,0,0.000325581,0.000325581,0.0677674
2,22.852,0.96654,1.49922,1.16726,0.9481,0,0.49055,0.54433,0.50571,0.36358,0.34966,0.38799,0.33829,0.1588,1.21325,10.1613,2.9951,1.03293,0,0.00065674,0.00065674,0.0347653
3,33.7669,0.93508,1.46913,1.02464,0.93214,0,0.8481,0.60915,0.70326,0.53884,0.85286,0.60439,0.69841,0.50796,0.83193,1.93329,1.19609,0.92328,0,0.000985699,0.000985699,0.00176089
4,44.6401,0.91842,1.36702,0.9683,0.92156,0,0.87202,0.64347,0.72592,0.55392,0.86831,0.63584,0.71734,0.50792,0.8656,1.85072,1.05671,0.94657,0,0.0009901,0.0009901,0.0009901
5,55.5823,0.89319,1.31195,0.91179,0.91676,0,0.89119,0.64021,0.73625,0.57574,0.88584,0.63616,0.72411,0.50439,0.77164,1.97572,0.85924,0.90948,0,0.0009868,0.0009868,0.0009868
6,66.1564,0.89082,1.30154,0.89145,0.91688,0,0.85429,0.65491,0.75058,0.59101,0.84765,0.66158,0.7535,0.57494,0.76503,1.21276,0.92774,0.91311,0,0.0009835,0.0009835,0.0009835
7,77.0081,0.8576,1.22233,0.8519,0.90996,0,0.84078,0.65014,0.73716,0.58992,0.84196,0.64728,0.73107,0.55516,0.73917,1.41063,0.98277,0.90824,0,0.0009802,0.0009802,0.0009802
8,87.125,0.83725,1.20046,0.81084,0.89839,0,0.84358,0.64778,0.731,0.58757,0.84578,0.64728,0.72824,0.56073,0.73447,1.23711,0.85204,0.91426,0,0.0009769,0.0009769,0.0009769
9,97.5164,0.80941,1.15095,0.79686,0.89819,0,0.87511,0.66254,0.74931,0.59921,0.87391,0.6673,0.75378,0.58556,0.72137,1.16381,0.85781,0.90227,0,0.0009736,0.0009736,0.0009736
10,108.142,0.80113,1.13669,0.77016,0.89556,0,0.89727,0.66609,0.76733,0.6173,0.89729,0.6673,0.76836,0.60357,0.71799,1.1626,0.7635,0.90099,0,0.0009703,0.0009703,0.0009703
11,118.783,0.81668,1.1995,0.79183,0.89683,0,0.85139,0.67722,0.76833,0.61828,0.85521,0.67684,0.76546,0.58944,0.70801,1.17634,0.79045,0.89477,0,0.000967,0.000967,0.000967
12,128.933,0.82021,1.19108,0.76749,0.89403,0,0.89505,0.67016,0.7703,0.62942,0.89478,0.67288,0.76609,0.59845,0.69339,1.18717,0.72208,0.89389,0,0.0009637,0.0009637,0.0009637
13,139.2,0.77915,1.09303,0.73376,0.88909,0,0.89342,0.68721,0.78072,0.63436,0.89218,0.68626,0.77864,0.61231,0.69614,1.09905,0.75153,0.89152,0,0.0009604,0.0009604,0.0009604
14,149.809,0.79219,1.11924,0.73334,0.889,0,0.86139,0.69311,0.77576,0.63272,0.8602,0.69216,0.7745,0.61003,0.68388,1.10241,0.80491,0.88995,0,0.0009571,0.0009571,0.0009571
15,159.817,0.79633,1.12419,0.72826,0.88731,0,0.84852,0.71022,0.77674,0.62869,0.89806,0.67969,0.77228,0.59657,0.69688,1.2121,0.71184,0.89668,0,0.0009538,0.0009538,0.0009538
16,169.92,0.78901,1.06786,0.71926,0.89155,0,0.87316,0.67779,0.76803,0.62585,0.87439,0.67874,0.76596,0.59708,0.70272,1.15669,0.7228,0.88901,0,0.0009505,0.0009505,0.0009505
17,180.217,0.78545,1.07465,0.71242,0.88979,0,0.8529,0.68446,0.76621,0.62549,0.84933,0.6816,0.7625,0.60401,0.67923,1.14556,0.71995,0.88572,0,0.0009472,0.0009472,0.0009472
18,190.114,0.76195,1.09428,0.69404,0.87823,0,0.88242,0.71115,0.78621,0.64581,0.88583,0.71006,0.78485,0.62526,0.65456,1.1115,0.7716,0.88089,0,0.0009439,0.0009439,0.0009439
19,200.383,0.7684,1.10541,0.70065,0.88339,0,0.88781,0.69685,0.77444,0.6294,0.88616,0.6959,0.77362,0.59753,0.65676,1.14728,0.76974,0.88594,0,0.0009406,0.0009406,0.0009406
20,210.117,0.78664,1.06838,0.70117,0.89323,0,0.86329,0.70067,0.78648,0.63807,0.88096,0.69136,0.78186,0.61421,0.66446,1.10678,0.74377,0.88989,0,0.0009373,0.0009373,0.0009373
21,220.874,0.76105,1.07211,0.67927,0.88212,0,0.91445,0.70305,0.79382,0.64844,0.91692,0.70496,0.79089,0.61238,0.65409,1.1632,0.70873,0.88398,0,0.000934,0.000934,0.000934
22,231.229,0.75097,1.07603,0.68093,0.88254,0,0.90579,0.70577,0.79361,0.6529,0.90095,0.70233,0.78814,0.61629,0.65245,1.20436,0.67462,0.88504,0,0.0009307,0.0009307,0.0009307
23,241.439,0.74582,1.04232,0.66142,0.87655,0,0.90691,0.70581,0.80135,0.65485,0.90936,0.70772,0.79826,0.62419,0.64019,1.01441,0.76132,0.87634,0,0.0009274,0.0009274,0.0009274
24,251.925,0.75503,1.04944,0.67933,0.87832,0,0.90191,0.70997,0.79815,0.65506,0.90794,0.70734,0.79329,0.63085,0.64016,1.08821,0.68489,0.87917,0,0.0009241,0.0009241,0.0009241
25,262.201,0.76684,1.08805,0.6584,0.87295,0,0.89551,0.69445,0.79085,0.65534,0.89674,0.6954,0.79069,0.62895,0.63234,1.03345,0.65509,0.87733,0,0.0009208,0.0009208,0.0009208
26,272.565,0.72975,0.99631,0.66134,0.882,0,0.92272,0.68065,0.79487,0.64822,0.9202,0.68153,0.79091,0.61178,0.68117,1.06897,0.66205,0.8869,0,0.0009175,0.0009175,0.0009175
27,282.857,0.73487,1.00502,0.6535,0.88061,0,0.89116,0.71592,0.79811,0.65205,0.89819,0.70641,0.79754,0.63589,0.66974,1.02233,0.77374,0.88855,0,0.0009142,0.0009142,0.0009142
28,292.802,0.74298,1.03526,0.64292,0.87243,0,0.88349,0.72641,0.80178,0.66247,0.88001,0.72355,0.79756,0.62039,0.66079,1.05537,0.67396,0.88044,0,0.0009109,0.0009109,0.0009109
29,302.938,0.73508,1.00069,0.64547,0.87343,0,0.88104,0.70925,0.79209,0.65316,0.88281,0.70829,0.78857,0.6301,0.64949,1.01537,0.65334,0.88146,0,0.0009076,0.0009076,0.0009076
30,313.142,0.73878,1.01045,0.65261,0.87035,0,0.91325,0.7245,0.81035,0.65995,0.90604,0.71878,0.80358,0.6323,0.65621,1.01551,0.63029,0.88551,0,0.0009043,0.0009043,0.0009043
31,323.435,0.75648,1.02164,0.65105,0.87287,0,0.91108,0.69971,0.79942,0.65099,0.90837,0.69934,0.79516,0.61816,0.64616,0.9994,0.625,0.87945,0,0.000901,0.000901,0.000901
32,333.586,0.73064,0.99536,0.63558,0.87434,0,0.93569,0.7074,0.80926,0.67146,0.93576,0.70819,0.80494,0.64031,0.63416,0.96021,0.62082,0.87806,0,0.0008977,0.0008977,0.0008977
33,343.805,0.73722,1.01433,0.64007,0.87402,0,0.90167,0.69971,0.80195,0.65332,0.89752,0.70067,0.79732,0.62295,0.65777,0.98332,0.62234,0.87857,0,0.0008944,0.0008944,0.0008944
34,354.142,0.73932,1.00948,0.64015,0.87076,0,0.9123,0.71783,0.81053,0.66854,0.91108,0.71687,0.81129,0.6324,0.63388,1.07733,0.59744,0.87627,0,0.0008911,0.0008911,0.0008911
35,364.091,0.71543,0.99801,0.61495,0.87005,0,0.9101,0.70829,0.80183,0.66447,0.91378,0.71115,0.80539,0.6415,0.64689,1.07664,0.62117,0.87727,0,0.0008878,0.0008878,0.0008878
36,374.96,0.71281,0.95659,0.61455,0.86509,0,0.91271,0.71211,0.80705,0.66618,0.91149,0.71115,0.80411,0.63805,0.62451,0.99358,0.59453,0.86827,0,0.0008845,0.0008845,0.0008845
37,385.043,0.72045,0.97183,0.62503,0.87322,0,0.90863,0.71099,0.8098,0.66731,0.90645,0.71124,0.80342,0.63281,0.62066,1.04902,0.59486,0.87255,0,0.0008812,0.0008812,0.0008812
38,395.408,0.71261,0.95501,0.62087,0.86774,0,0.90165,0.69304,0.79871,0.65783,0.90041,0.69209,0.79506,0.62325,0.62006,1.01062,0.64942,0.87725,0,0.0008779,0.0008779,0.0008779
39,405.945,0.70188,0.93921,0.60348,0.86861,0,0.9074,0.72069,0.81156,0.67023,0.9067,0.72069,0.80977,0.64502,0.6406,1.00036,0.59515,0.87447,0,0.0008746,0.0008746,0.0008746
40,416.55,0.70593,0.96264,0.61379,0.86555,0,0.90829,0.727,0.81653,0.66872,0.90728,0.72757,0.81347,0.64392,0.64807,0.96696,0.58819,0.88406,0,0.0008713,0.0008713,0.0008713
41,426.887,0.70819,0.98663,0.62327,0.86993,0,0.88977,0.72335,0.81719,0.67095,0.86133,0.7388,0.81255,0.6479,0.62664,0.96203,0.59923,0.87487,0,0.000868,0.000868,0.000868
42,436.915,0.72144,0.99307,0.60771,0.86267,0,0.91681,0.70257,0.80772,0.67099,0.91571,0.70423,0.80437,0.63743,0.6225,0.98508,0.62666,0.87358,0,0.0008647,0.0008647,0.0008647
43,447.64,0.71346,0.96785,0.59633,0.86638,0,0.88902,0.72927,0.81088,0.67211,0.88902,0.72927,0.8069,0.64714,0.62823,1.02862,0.61842,0.8743,0,0.0008614,0.0008614,0.0008614
44,457.848,0.73102,0.99337,0.60867,0.87238,0,0.90029,0.71878,0.8141,0.66698,0.8925,0.71497,0.80328,0.62632,0.66338,1.01149,0.6054,0.88535,0,0.0008581,0.0008581,0.0008581
45,467.999,0.70983,0.98103,0.61335,0.87339,0,0.86233,0.75214,0.82293,0.68061,0.86375,0.75024,0.81657,0.64559,0.63294,0.95732,0.58087,0.87715,0,0.0008548,0.0008548,0.0008548
46,478.497,0.69665,0.94142,0.58816,0.8668,0,0.91792,0.70543,0.81134,0.67005,0.91916,0.70639,0.81392,0.6398,0.62723,0.96371,0.59536,0.88043,0,0.0008515,0.0008515,0.0008515
47,488.774,0.70983,0.98471,0.6062,0.86708,0,0.85793,0.71878,0.79265,0.66327,0.87473,0.70557,0.78972,0.6278,0.62477,0.98508,0.63916,0.87678,0,0.0008482,0.0008482,0.0008482
48,499.003,0.70114,0.94016,0.58165,0.86494,0,0.92508,0.72069,0.81698,0.67689,0.92331,0.71973,0.81558,0.64855,0.6377,1.00259,0.57414,0.87849,0,0.0008449,0.0008449,0.0008449
49,509.429,0.72032,1.00377,0.59815,0.86715,0,0.90632,0.71938,0.81389,0.67507,0.90393,0.72545,0.81074,0.6368,0.62685,1.00118,0.60765,0.87649,0,0.0008416,0.0008416,0.0008416
50,519.168,0.70501,0.92847,0.60512,0.868,0,0.88568,0.74643,0.81541,0.67666,0.92101,0.72259,0.81616,0.65079,0.62041,1.01997,0.56737,0.87402,0,0.0008383,0.0008383,0.0008383
51,529.769,0.70362,0.97147,0.57946,0.86285,0,0.91475,0.72623,0.81836,0.6784,0.91715,0.72814,0.82045,0.64337,0.62733,0.969,0.58763,0.87081,0,0.000835,0.000835,0.000835
52,540.154,0.70767,0.92808,0.58322,0.85786,0,0.91788,0.72545,0.82163,0.67988,0.92957,0.71592,0.81818,0.64236,0.6264,0.93558,0.56635,0.87671,0,0.0008317,0.0008317,0.0008317
53,550.63,0.689,0.92441,0.56635,0.85996,0,0.91285,0.72895,0.82245,0.68839,0.91619,0.72951,0.81951,0.65496,0.6069,0.96583,0.59098,0.87046,0,0.0008284,0.0008284,0.0008284
54,560.986,0.68782,0.93284,0.57218,0.86065,0,0.92156,0.72801,0.82419,0.68493,0.92084,0.72545,0.81915,0.65277,0.62108,0.93117,0.57917,0.87145,0,0.0008251,0.0008251,0.0008251
55,571.034,0.68016,0.91811,0.57749,0.85484,0,0.90686,0.72394,0.8121,0.67657,0.90327,0.72108,0.80891,0.63579,0.62881,0.91543,0.61626,0.87605,0,0.0008218,0.0008218,0.0008218
56,581.249,0.68592,0.92755,0.56536,0.85908,0,0.87085,0.74166,0.8161,0.67924,0.88583,0.73785,0.81681,0.6539,0.61185,0.98725,0.60496,0.86959,0,0.0008185,0.0008185,0.0008185
57,591.073,0.68115,0.9091,0.57324,0.85397,0,0.91157,0.71738,0.8087,0.67203,0.91301,0.72037,0.80848,0.6352,0.61891,1.02153,0.60219,0.87361,0,0.0008152,0.0008152,0.0008152
58,600.948,0.68163,0.92981,0.58004,0.85645,0,0.88042,0.72164,0.80429,0.66941,0.89441,0.71592,0.80281,0.63868,0.62174,1.00297,0.66487,0.86877,0,0.0008119,0.0008119,0.0008119
59,611.123,0.67119,0.89624,0.56724,0.85894,0,0.92234,0.72456,0.81985,0.6823,0.9278,0.72641,0.81596,0.64925,0.61861,0.9668,0.58726,0.87147,0,0.0008086,0.0008086,0.0008086
60,620.659,0.68146,0.90856,0.56534,0.85709,0,0.93147,0.7126,0.82635,0.6854,0.93396,0.71451,0.8228,0.65382,0.6147,0.95061,0.56436,0.87414,0,0.0008053,0.0008053,0.0008053
61,631.035,0.66349,0.89047,0.5616,0.85362,0,0.92302,0.72259,0.82728,0.68854,0.92038,0.72069,0.81768,0.65224,0.60845,0.93448,0.57959,0.87162,0,0.000802,0.000802,0.000802
62,641.284,0.65673,0.88447,0.55479,0.85627,0,0.90971,0.72927,0.826,0.68177,0.90534,0.72641,0.82339,0.66142,0.61967,0.97589,0.61166,0.87408,0,0.0007987,0.0007987,0.0007987
63,651.397,0.68186,0.90665,0.5585,0.85312,0,0.90779,0.73202,0.82279,0.68349,0.91146,0.73499,0.82167,0.65109,0.60907,0.99392,0.5874,0.87206,0,0.0007954,0.0007954,0.0007954
64,661.365,0.66846,0.87578,0.5425,0.85944,0,0.89468,0.73975,0.81636,0.67971,0.89583,0.74071,0.81271,0.64662,0.60753,0.95605,0.57035,0.86986,0,0.0007921,0.0007921,0.0007921
65,672.131,0.67007,0.90326,0.55749,0.85656,0,0.89356,0.72827,0.81809,0.68413,0.8959,0.73018,0.81666,0.64396,0.60499,1.07932,0.57098,0.87126,0,0.0007888,0.0007888,0.0007888
66,682.09,0.66304,0.88201,0.55609,0.85255,0,0.87379,0.7524,0.82596,0.69078,0.8661,0.74608,0.81576,0.63704,0.60896,1.02575,0.5549,0.87175,0,0.0007855,0.0007855,0.0007855
67,691.67,0.67251,0.89966,0.55427,0.85342,0,0.89122,0.74357,0.8208,0.6841,0.88802,0.73975,0.81488,0.6482,0.58976,0.92243,0.55051,0.86789,0,0.0007822,0.0007822,0.0007822
68,702.377,0.66707,0.88583,0.54916,0.85759,0,0.90892,0.72297,0.81873,0.68984,0.90652,0.72106,0.81529,0.65232,0.59359,0.97163,0.56404,0.8648,0,0.0007789,0.0007789,0.0007789
69,712.972,0.6795,0.90842,0.56226,0.85291,0,0.88686,0.73117,0.82004,0.68339,0.88745,0.73213,0.81441,0.64331,0.60634,1.01077,0.56177,0.86609,0,0.0007756,0.0007756,0.0007756
70,722.853,0.66055,0.8842,0.55352,0.85513,0,0.9192,0.70925,0.81061,0.67439,0.91533,0.70543,0.8037,0.64147,0.61222,1.02102,0.61437,0.86832,0,0.0007723,0.0007723,0.0007723
71,732.65,0.66273,0.8937,0.54512,0.85254,0,0.91322,0.72234,0.81646,0.68425,0.91561,0.72397,0.81475,0.64648,0.60144,0.95611,0.57698,0.86349,0,0.000769,0.000769,0.000769
72,742.681,0.64473,0.8246,0.52817,0.84871,0,0.91169,0.73812,0.82252,0.68826,0.91408,0.74031,0.82441,0.65586,0.60012,0.94925,0.59905,0.8674,0,0.0007657,0.0007657,0.0007657
73,752.812,0.66745,0.91094,0.5346,0.85214,0,0.91516,0.71211,0.81603,0.68002,0.89575,0.72736,0.81657,0.6504,0.59996,0.95152,0.6273,0.86847,0,0.0007624,0.0007624,0.0007624
74,763.324,0.65994,0.87026,0.52595,0.84825,0,0.91054,0.73403,0.82061,0.68731,0.91527,0.73785,0.82276,0.65692,0.58861,0.96212,0.55822,0.86383,0,0.0007591,0.0007591,0.0007591
75,773.981,0.65811,0.88809,0.5325,0.85012,0,0.90724,0.72641,0.81829,0.67844,0.90605,0.72545,0.81604,0.64751,0.60841,0.96003,0.56445,0.87381,0,0.0007558,0.0007558,0.0007558
76,784.347,0.65214,0.87072,0.52391,0.84808,0,0.89476,0.73759,0.82209,0.6919,0.89725,0.73257,0.81873,0.65846,0.60046,0.94233,0.57572,0.86985,0,0.0007525,0.0007525,0.0007525
77,794.87,0.66238,0.89408,0.53291,0.84785,0,0.91536,0.73197,0.82082,0.69154,0.91081,0.73403,0.82044,0.65544,0.58566,0.91846,0.54098,0.86626,0,0.0007492,0.0007492,0.0007492
78,805.112,0.64561,0.85107,0.52078,0.84895,0,0.90957,0.72927,0.81608,0.6834,0.90492,0.73308,0.81531,0.64483,0.59825,0.95146,0.54371,0.86593,0,0.0007459,0.0007459,0.0007459
79,815.414,0.65912,0.87062,0.5226,0.85189,0,0.92248,0.72069,0.82155,0.68381,0.92463,0.72164,0.81924,0.65539,0.60935,0.97796,0.54624,0.86717,0,0.0007426,0.0007426,0.0007426
80,825.617,0.66053,0.86617,0.52469,0.84942,0,0.92388,0.73117,0.8255,0.69336,0.92953,0.72927,0.82268,0.65555,0.582,0.95336,0.53796,0.86279,0,0.0007393,0.0007393,0.0007393
81,835.742,0.66621,0.87868,0.5371,0.85042,0,0.9079,0.73117,0.834,0.69806,0.88032,0.74328,0.82719,0.65737,0.59371,1.00013,0.56156,0.86889,0,0.000736,0.000736,0.000736
82,846.198,0.64492,0.86338,0.51174,0.84653,0,0.92001,0.7102,0.82678,0.68922,0.91857,0.7102,0.82337,0.65324,0.60127,0.95692,0.58862,0.87034,0,0.0007327,0.0007327,0.0007327
83,856.443,0.64741,0.84356,0.51987,0.84804,0,0.91242,0.72641,0.82063,0.69076,0.91946,0.72916,0.81778,0.65597,0.58491,0.92048,0.54469,0.86662,0,0.0007294,0.0007294,0.0007294
84,867.084,0.65455,0.86962,0.52431,0.84718,0,0.89884,0.75024,0.83727,0.697,0.89769,0.74929,0.83175,0.66555,0.58961,0.90724,0.52074,0.86778,0,0.0007261,0.0007261,0.0007261
85,878.057,0.63292,0.79877,0.50508,0.85536,0,0.90842,0.73755,0.83295,0.6952,0.93415,0.73029,0.83239,0.65175,0.59585,0.89317,0.55028,0.86754,0,0.0007228,0.0007228,0.0007228
86,889.47,0.65121,0.84626,0.50546,0.84871,0,0.93854,0.71326,0.82641,0.68922,0.94016,0.71894,0.82905,0.64988,0.60348,0.9069,0.57412,0.86997,0,0.0007195,0.0007195,0.0007195
87,900.124,0.65015,0.8772,0.52695,0.8478,0,0.93601,0.71592,0.82647,0.69278,0.94225,0.72069,0.82887,0.6592,0.57872,0.91307,0.55231,0.87007,0,0.0007162,0.0007162,0.0007162
