epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8032,1.10116,2.20441,1.92682,1.00756,0,0,0,0,0,0,0,0,0,2.02437,20.3072,3.89132,1.44938,0,0.000325581,0.000325581,0.0677674
2,24.6007,0.9694,1.52636,1.15075,0.94572,0,0.50558,0.60439,0.57651,0.43338,0.42584,0.50906,0.4552,0.26686,1.05625,10.4219,2.84888,0.97799,0,0.00065674,0.00065674,0.0347653
3,35.7884,0.94331,1.50411,1.03752,0.93486,0,0.87495,0.57364,0.68864,0.53497,0.87641,0.5746,0.68512,0.48744,0.85572,2.16968,1.37927,0.93432,0,0.000985699,0.000985699,0.00176089
4,46.5355,0.92534,1.38642,0.97471,0.92681,0,0.77262,0.57769,0.63428,0.49753,0.71862,0.53765,0.55749,0.33896,0.78437,2.73971,1.00043,0.9271,0,0.0009901,0.0009901,0.0009901
5,57.7039,0.88323,1.31177,0.90703,0.9149,0,0.86868,0.64156,0.72518,0.58061,0.86942,0.6347,0.72043,0.55022,0.73808,1.37639,0.86782,0.90547,0,0.0009868,0.0009868,0.0009868
6,68.3362,0.88136,1.3186,0.88201,0.91539,0,0.67508,0.6244,0.57038,0.4407,0.67199,0.62154,0.56557,0.42441,0.77269,1.34492,1.1802,0.91704,0,0.0009835,0.0009835,0.0009835
7,79.0949,0.86469,1.22335,0.8598,0.91125,0,0.77629,0.56816,0.63463,0.51726,0.7781,0.57197,0.63716,0.49743,0.74094,1.46405,1.85396,0.92098,0,0.0009802,0.0009802,0.0009802
8,89.539,0.83125,1.20335,0.81517,0.89646,0,0.46335,0.61156,0.38655,0.30844,0.46393,0.61582,0.38451,0.29674,0.70595,1.24387,1.73992,0.90102,0,0.0009769,0.0009769,0.0009769
9,100.215,0.80599,1.14726,0.80465,0.89569,0,0.87133,0.64553,0.7416,0.59877,0.88084,0.6368,0.73927,0.57173,0.70231,1.26258,1.0836,0.8992,0,0.0009736,0.0009736,0.0009736
10,111.125,0.80236,1.14318,0.77759,0.89521,0,0.85947,0.67633,0.76101,0.61739,0.89979,0.65055,0.75733,0.58178,0.69054,1.32147,0.75981,0.8934,0,0.0009703,0.0009703,0.0009703
11,122.007,0.81693,1.18389,0.79,0.89615,0,0.89464,0.67684,0.78467,0.63408,0.89464,0.67684,0.78206,0.60857,0.69943,1.09464,0.7161,0.89241,0,0.000967,0.000967,0.000967
12,132.872,0.80733,1.18126,0.77586,0.89082,0,0.88359,0.69399,0.77245,0.62226,0.89,0.69113,0.77295,0.60328,0.6892,1.11441,0.85789,0.89801,0,0.0009637,0.0009637,0.0009637
13,142.989,0.77025,1.08478,0.74222,0.88561,0,0.87545,0.69971,0.78713,0.63656,0.87425,0.69876,0.78421,0.61452,0.70066,1.17413,0.75494,0.89707,0,0.0009604,0.0009604,0.0009604
14,153.831,0.80258,1.128,0.74371,0.89095,0,0.89079,0.69495,0.7845,0.63427,0.8893,0.69399,0.78533,0.61918,0.69566,1.11046,0.80925,0.89804,0,0.0009571,0.0009571,0.0009571
15,164.501,0.79251,1.13686,0.73993,0.88564,0,0.88743,0.69971,0.78016,0.62419,0.88912,0.69495,0.77958,0.60082,0.70372,1.14577,0.71651,0.8961,0,0.0009538,0.0009538,0.0009538
16,175.392,0.78071,1.08254,0.71639,0.88854,0,0.88268,0.70285,0.79055,0.63754,0.88848,0.69874,0.79011,0.61674,0.69981,1.13873,0.75003,0.89229,0,0.0009505,0.0009505,0.0009505
17,186.418,0.79581,1.10085,0.72129,0.88998,0,0.87449,0.68732,0.77122,0.62204,0.88389,0.68351,0.76926,0.59775,0.70154,1.1174,0.73322,0.89223,0,0.0009472,0.0009472,0.0009472
18,197.075,0.76761,1.08779,0.70395,0.87995,0,0.8915,0.68927,0.77742,0.63791,0.89396,0.69117,0.77983,0.61059,0.65444,1.15873,0.74073,0.88191,0,0.0009439,0.0009439,0.0009439
19,207.608,0.77542,1.09252,0.70657,0.88406,0,0.88078,0.68065,0.77623,0.63898,0.88058,0.6816,0.77233,0.60845,0.64924,1.11799,0.69887,0.88446,0,0.0009406,0.0009406,0.0009406
20,217.795,0.78289,1.08726,0.70917,0.8921,0,0.86591,0.7018,0.78482,0.64542,0.8648,0.70126,0.78325,0.61861,0.65765,1.09663,0.75554,0.8855,0,0.0009373,0.0009373,0.0009373
21,228.6,0.75304,1.0639,0.68161,0.87832,0,0.88353,0.69781,0.78569,0.63894,0.88715,0.70067,0.78596,0.60913,0.65134,1.10609,0.82487,0.88957,0,0.000934,0.000934,0.000934
22,239.373,0.75575,1.08199,0.68048,0.88077,0,0.8971,0.70829,0.80078,0.64938,0.89435,0.71012,0.79999,0.61679,0.64997,1.15847,0.72529,0.88434,0,0.0009307,0.0009307,0.0009307
23,250.342,0.74552,1.04135,0.65864,0.87463,0,0.88645,0.69971,0.78777,0.64393,0.89055,0.69781,0.78418,0.61667,0.65965,1.07936,0.72473,0.87943,0,0.0009274,0.0009274,0.0009274
24,261.033,0.7681,1.05012,0.6892,0.87657,0,0.85543,0.71637,0.78531,0.64743,0.86293,0.7142,0.78736,0.62329,0.64463,1.09271,0.72677,0.87975,0,0.0009241,0.0009241,0.0009241
