epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0871,1.05318,1.95423,1.79742,0.9925,0,0,0,0,0,0,0,0,0,2.82638,24.4683,3.99757,1.85444,0,0.000325581,0.000325581,0.0677674
2,30.2636,0.96368,1.46228,1.13322,0.94661,0,0.17555,0.70925,0.64403,0.50252,0.17249,0.69685,0.63735,0.45595,0.90254,2.47769,2.69442,0.95,0,0.00065674,0.00065674,0.0347653
3,43.8993,0.93732,1.44795,1.00767,0.92955,0,0.85918,0.58627,0.69451,0.53661,0.85711,0.58437,0.69232,0.51841,0.83305,1.57354,1.21846,0.92191,0,0.000985699,0.000985699,0.00176089
4,56.5576,0.92424,1.37027,0.95695,0.92341,0,0.84084,0.60437,0.69951,0.55374,0.84715,0.59962,0.69863,0.53348,0.78663,1.60086,0.98764,0.92406,0,0.0009901,0.0009901,0.0009901
5,68.38,0.88307,1.31119,0.89574,0.91422,0,0.86808,0.64609,0.74038,0.58054,0.86712,0.64538,0.73685,0.55833,0.7745,1.27421,0.88367,0.91582,0,0.0009868,0.0009868,0.0009868
6,80.1148,0.87876,1.26906,0.86714,0.91121,0,0.85499,0.65201,0.7429,0.58179,0.85249,0.6501,0.73976,0.56259,0.7788,1.24066,0.9778,0.91269,0,0.0009835,0.0009835,0.0009835
7,92.2109,0.85384,1.22316,0.83722,0.90734,0,0.76627,0.61254,0.69057,0.5542,0.75892,0.61821,0.68924,0.52517,0.74467,1.299,1.09014,0.90564,0,0.0009802,0.0009802,0.0009802
8,107.066,0.83981,1.204,0.80688,0.89901,0,0.87908,0.64728,0.73482,0.59367,0.87324,0.6436,0.72872,0.56943,0.72803,1.19128,0.78874,0.90559,0,0.0009769,0.0009769,0.0009769
9,121.131,0.80996,1.14155,0.78863,0.89458,0,0.8625,0.66826,0.75112,0.60569,0.87968,0.64633,0.74465,0.57616,0.70146,1.34046,0.78397,0.89097,0,0.0009736,0.0009736,0.0009736
10,136.278,0.81339,1.13368,0.77825,0.89689,0,0.91437,0.65682,0.74113,0.60931,0.91702,0.65872,0.74051,0.59696,0.70271,1.20535,0.86773,0.89568,0,0.0009703,0.0009703,0.0009703
11,150.691,0.80434,1.1938,0.77523,0.89535,0,0.87337,0.68255,0.77283,0.62718,0.87215,0.6816,0.77211,0.59302,0.70127,1.14743,0.72542,0.89639,0,0.000967,0.000967,0.000967
12,162.082,0.81367,1.1923,0.76615,0.8937,0,0.84283,0.70257,0.76716,0.62134,0.89922,0.66346,0.76568,0.60272,0.71934,1.14935,0.73372,0.90125,0,0.0009637,0.0009637,0.0009637
13,174.871,0.77134,1.07534,0.72389,0.88497,0,0.86816,0.68732,0.78138,0.6329,0.86936,0.68827,0.77921,0.60869,0.69516,1.08467,0.75474,0.89415,0,0.0009604,0.0009604,0.0009604
14,186.23,0.79297,1.12623,0.72713,0.88878,0,0.8833,0.69986,0.78665,0.63067,0.88547,0.69277,0.78464,0.61842,0.6886,1.0474,0.71491,0.88935,0,0.0009571,0.0009571,0.0009571
