epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.189,1.12244,2.19853,2.04589,1.00989,0,0.00261,0.14395,0.00046,0.00013,0.00155,0.0858,0.00017,5e-05,3.71607,10.6954,3.9336,2.4076,0,0.000325581,0.000325581,0.0677674
2,49.636,0.97781,1.49397,1.18338,0.94819,0,0.30806,0.6082,0.57102,0.43358,0.29213,0.57674,0.54752,0.36365,0.98195,3.35339,3.24056,0.97717,0,0.00065674,0.00065674,0.0347653
3,72.7942,0.94872,1.46613,1.03487,0.9322,0,0.74559,0.56154,0.62613,0.47635,0.74534,0.55767,0.619,0.4486,0.90496,1.84549,1.47059,0.94927,0,0.000985699,0.000985699,0.00176089
4,94.9846,0.93384,1.36819,0.97357,0.92634,0,0.82327,0.6082,0.69167,0.52059,0.8181,0.60439,0.68402,0.50132,0.86766,1.71141,1.06812,0.9702,0,0.0009901,0.0009901,0.0009901
5,118.731,0.89501,1.31117,0.91769,0.91558,0,0.83004,0.61201,0.70432,0.56769,0.83392,0.61487,0.70935,0.54379,0.77052,1.29991,0.95547,0.91771,0,0.0009868,0.0009868,0.0009868
6,141.145,0.87425,1.30068,0.89062,0.91212,0,0.72484,0.61296,0.64498,0.50852,0.72372,0.61201,0.64264,0.48148,0.77785,1.42933,1.69213,0.91119,0,0.0009835,0.0009835,0.0009835
7,162.562,0.85032,1.22471,0.85105,0.90664,0,0.76732,0.58055,0.65691,0.53107,0.76732,0.58055,0.65751,0.49433,0.76943,1.704,1.40481,0.91816,0,0.0009802,0.0009802,0.0009802
8,186.186,0.83322,1.20662,0.81492,0.89641,0,0.88375,0.64252,0.71322,0.58373,0.88435,0.64252,0.71252,0.55032,0.70401,1.30271,0.77465,0.89229,0,0.0009769,0.0009769,0.0009769
9,207.966,0.79902,1.13641,0.7915,0.89331,0,0.8336,0.67016,0.7468,0.60611,0.86462,0.64824,0.74466,0.57423,0.70638,1.2698,0.80999,0.89982,0,0.0009736,0.0009736,0.0009736
10,231.066,0.80327,1.14849,0.77953,0.89626,0,0.87008,0.69399,0.77714,0.62371,0.87032,0.69495,0.77727,0.61988,0.71917,1.19599,0.75195,0.90028,0,0.0009703,0.0009703,0.0009703
11,254.435,0.81295,1.18641,0.78581,0.89589,0,0.85696,0.68446,0.77384,0.61506,0.85569,0.68397,0.77138,0.58442,0.74848,1.12925,0.75417,0.9111,0,0.000967,0.000967,0.000967
12,276.322,0.81025,1.1838,0.77537,0.89302,0,0.8782,0.65586,0.75016,0.6067,0.88466,0.65205,0.74719,0.58159,0.72305,1.1319,0.82106,0.90271,0,0.0009637,0.0009637,0.0009637
13,298.669,0.77489,1.08764,0.74276,0.88585,0,0.86552,0.64538,0.75391,0.6209,0.87113,0.6444,0.75364,0.59524,0.68105,1.09306,0.86904,0.88761,0,0.0009604,0.0009604,0.0009604
14,321.07,0.79889,1.12394,0.75118,0.88995,0,0.85872,0.70692,0.77445,0.63014,0.85872,0.70692,0.77715,0.60788,0.701,1.09155,0.97925,0.89197,0,0.0009571,0.0009571,0.0009571
15,343.402,0.78616,1.11314,0.73529,0.88565,0,0.90807,0.67798,0.77077,0.62364,0.9145,0.67302,0.76571,0.59227,0.70707,1.22751,0.75064,0.89177,0,0.0009538,0.0009538,0.0009538
16,366.721,0.78191,1.07429,0.72213,0.88582,0,0.90977,0.69202,0.7812,0.62788,0.90726,0.69011,0.77961,0.62002,0.70172,1.08876,0.67347,0.89283,0,0.0009505,0.0009505,0.0009505
17,388.011,0.79258,1.09366,0.71335,0.89174,0,0.85622,0.65872,0.75825,0.61846,0.85273,0.65683,0.75483,0.59304,0.69802,1.09878,0.76277,0.894,0,0.0009472,0.0009472,0.0009472
18,410.255,0.76193,1.08327,0.69937,0.87729,0,0.87932,0.69462,0.77317,0.6308,0.87018,0.69209,0.77111,0.60901,0.68158,1.15753,0.82406,0.885,0,0.0009439,0.0009439,0.0009439
19,433,0.77744,1.09066,0.70875,0.88075,0,0.91505,0.69876,0.79902,0.64943,0.91168,0.69685,0.79675,0.62151,0.66657,1.06792,0.65517,0.87957,0,0.0009406,0.0009406,0.0009406
20,454.356,0.7856,1.05726,0.70309,0.88881,0,0.82117,0.66976,0.75062,0.61078,0.86412,0.64252,0.7494,0.58158,0.69393,1.13372,0.79241,0.89251,0,0.0009373,0.0009373,0.0009373
21,478.411,0.7538,1.05062,0.67441,0.87805,0,0.85183,0.63584,0.71361,0.59754,0.85554,0.63203,0.71312,0.56562,0.65757,1.15609,1.07652,0.88808,0,0.000934,0.000934,0.000934
22,500.628,0.75365,1.05795,0.68081,0.88078,0,0.88356,0.69445,0.78629,0.63689,0.88114,0.69254,0.78456,0.61585,0.67957,1.13608,0.72861,0.88652,0,0.0009307,0.0009307,0.0009307
23,521.646,0.74519,1.03174,0.66069,0.87581,0,0.88873,0.7081,0.79347,0.64208,0.88859,0.70712,0.78989,0.62467,0.67577,1.07696,0.68493,0.88389,0,0.0009274,0.0009274,0.0009274
24,545.452,0.76316,1.05885,0.68233,0.87763,0,0.88748,0.71427,0.80408,0.65544,0.89506,0.70925,0.79633,0.62411,0.65423,1.03237,0.63663,0.8797,0,0.0009241,0.0009241,0.0009241
25,568.386,0.76355,1.08136,0.65436,0.87151,0,0.91424,0.71115,0.80158,0.65379,0.90537,0.70829,0.79477,0.62312,0.64985,1.00953,0.63655,0.88291,0,0.0009208,0.0009208,0.0009208
26,589.68,0.72826,1.00197,0.66351,0.88087,0,0.90152,0.71559,0.80708,0.65684,0.90041,0.7102,0.79804,0.6209,0.66453,1.05278,0.63896,0.88054,0,0.0009175,0.0009175,0.0009175
27,612.942,0.73467,0.99653,0.65079,0.87967,0,0.8771,0.71211,0.7991,0.65152,0.87793,0.70616,0.79184,0.63458,0.67285,0.99449,0.70372,0.89068,0,0.0009142,0.0009142,0.0009142
28,635.05,0.74363,1.04799,0.64524,0.87125,0,0.91489,0.71735,0.81149,0.66955,0.914,0.71783,0.80351,0.62904,0.64844,0.99946,0.59814,0.87515,0,0.0009109,0.0009109,0.0009109
29,656.907,0.74442,1.00579,0.65311,0.87468,0,0.87184,0.70353,0.78849,0.64865,0.87892,0.69113,0.78638,0.6204,0.64959,1.00038,0.7434,0.8746,0,0.0009076,0.0009076,0.0009076
30,680.027,0.74148,0.98816,0.65023,0.8688,0,0.89553,0.71907,0.80313,0.6614,0.88812,0.72259,0.80038,0.6395,0.6566,0.9802,0.68119,0.88361,0,0.0009043,0.0009043,0.0009043
