epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2896,3.69302,4.6119,3.5981,2.96254,0,0.00297,0.16397,0.0023,0.0007,0.00188,0.10391,0.00145,0.00032,3.37165,4.68576,3.81437,2.60403,0,0.000325581,0.000325581,0.0677674
2,47.6656,2.55216,3.52439,2.27675,2.11723,0,1,0.00191,0.005,0.0035,1,0.00191,0.005,0.003,3.19039,4.56055,4.43901,2.29391,0,0.00065674,0.00065674,0.0347653
3,68.4753,2.06075,3.03092,1.63197,1.73006,0,0.75413,0.39657,0.4637,0.23359,0.74687,0.39276,0.45583,0.23723,1.90762,3.11167,2.20382,1.72867,0,0.000985699,0.000985699,0.00176089
4,89.2253,1.84416,2.74113,1.45342,1.54021,0,0.77416,0.44709,0.52039,0.30207,0.79291,0.44529,0.51993,0.31531,1.72719,2.89474,1.77847,1.57903,0,0.0009901,0.0009901,0.0009901
5,109.695,1.656,2.55489,1.32407,1.40909,0,0.78951,0.52145,0.58976,0.38371,0.7873,0.51868,0.57535,0.37837,1.41376,2.61964,1.36026,1.38675,0,0.0009868,0.0009868,0.0009868
6,131.258,1.50426,2.40408,1.23283,1.32419,0,0.82185,0.55958,0.64761,0.43463,0.82724,0.55863,0.64174,0.42822,1.2924,2.18871,1.26961,1.33401,0,0.0009835,0.0009835,0.0009835
7,152.586,1.40729,2.25133,1.15978,1.2638,0,0.82035,0.56911,0.65648,0.44437,0.84418,0.56294,0.64747,0.43569,1.21295,2.12644,1.32395,1.27758,0,0.0009802,0.0009802,0.0009802
8,172.686,1.35403,2.1144,1.11715,1.22147,0,0.83962,0.5796,0.67354,0.47045,0.83879,0.57293,0.66508,0.44862,1.16025,2.18137,1.08354,1.2191,0,0.0009769,0.0009769,0.0009769
9,193.702,1.29093,2.01463,1.07431,1.18867,0,0.84201,0.60534,0.68861,0.48402,0.83023,0.60915,0.68452,0.46833,1.12984,2.09469,1.02699,1.18979,0,0.0009736,0.0009736,0.0009736
10,214.095,1.24947,1.97586,1.04312,1.16206,0,0.79312,0.57011,0.65093,0.46154,0.81851,0.55291,0.64504,0.44317,1.09634,2.00104,1.30546,1.1634,0,0.0009703,0.0009703,0.0009703
11,234.309,1.20108,1.93648,1.02867,1.13167,0,0.85511,0.5939,0.69381,0.49485,0.85748,0.59649,0.69586,0.48409,1.063,1.81758,1.0508,1.15078,0,0.000967,0.000967,0.000967
12,255.459,1.18859,1.91728,0.99772,1.11334,0,0.85367,0.60343,0.69809,0.50374,0.85298,0.60248,0.6969,0.47544,1.04744,1.91004,0.96462,1.1368,0,0.0009637,0.0009637,0.0009637
13,275.665,1.16124,1.80496,0.9865,1.11115,0,0.88208,0.61201,0.71509,0.52265,0.88044,0.60915,0.71215,0.50662,1.0167,1.74144,0.97898,1.13158,0,0.0009604,0.0009604,0.0009604
14,295.897,1.15073,1.79469,0.9705,1.09306,0,0.85924,0.61773,0.71199,0.52618,0.86773,0.61868,0.71415,0.51363,0.96745,1.72256,0.89038,1.0886,0,0.0009571,0.0009571,0.0009571
15,316.442,1.11903,1.73585,0.93954,1.07929,0,0.88536,0.60629,0.72438,0.53733,0.88058,0.61582,0.72601,0.50756,0.95265,1.71457,0.92113,1.0898,0,0.0009538,0.0009538,0.0009538
16,336.876,1.09456,1.70263,0.91499,1.07409,0,0.8175,0.62345,0.71106,0.53398,0.83674,0.61773,0.71475,0.51776,0.94619,1.67937,0.89835,1.08162,0,0.0009505,0.0009505,0.0009505
17,357.375,1.09618,1.66523,0.91881,1.06768,0,0.84152,0.64824,0.72699,0.5371,0.85472,0.64497,0.72784,0.52301,0.94459,1.60892,0.90759,1.07526,0,0.0009472,0.0009472,0.0009472
18,377.952,1.06758,1.66842,0.89731,1.05225,0,0.83828,0.63775,0.72167,0.54566,0.84508,0.63775,0.72247,0.53416,0.91582,1.6028,0.86045,1.06067,0,0.0009439,0.0009439,0.0009439
19,397.892,1.0788,1.67365,0.90093,1.05715,0,0.85987,0.64919,0.73621,0.55346,0.86983,0.6511,0.73892,0.54033,0.93453,1.58394,0.84343,1.06431,0,0.0009406,0.0009406,0.0009406
20,418.011,1.06954,1.61593,0.90101,1.05851,0,0.81174,0.65357,0.72195,0.54856,0.8175,0.65872,0.72368,0.52736,0.90974,1.62883,0.92351,1.04947,0,0.0009373,0.0009373,0.0009373
21,439.233,1.04097,1.61663,0.87295,1.04703,0,0.87961,0.62345,0.73081,0.55071,0.89,0.62536,0.73042,0.53285,0.89773,1.56732,0.86127,1.04237,0,0.000934,0.000934,0.000934
22,458.833,1.02699,1.58344,0.8756,1.04823,0,0.85973,0.6544,0.73637,0.55009,0.86223,0.6563,0.73752,0.54028,0.90791,1.56335,0.83073,1.05758,0,0.0009307,0.0009307,0.0009307
23,478.28,1.00003,1.5146,0.84475,1.02473,0,0.81165,0.67779,0.74327,0.56257,0.81508,0.68065,0.74585,0.54274,0.89777,1.52216,0.8299,1.04744,0,0.0009274,0.0009274,0.0009274
24,499.654,1.02262,1.57997,0.86756,1.03572,0,0.88355,0.63298,0.73666,0.54653,0.88451,0.63775,0.74013,0.53609,0.94046,1.51605,0.98699,1.06951,0,0.0009241,0.0009241,0.0009241
25,520.338,1.01476,1.57655,0.82906,1.01455,0,0.83488,0.64919,0.73499,0.5589,0.83733,0.6511,0.73793,0.55031,0.86426,1.51645,0.89478,1.03014,0,0.0009208,0.0009208,0.0009208
26,541.042,1.00101,1.48511,0.84811,1.03835,0,0.8987,0.65586,0.75012,0.57914,0.90001,0.65682,0.74679,0.55015,0.85511,1.52146,0.78007,1.02731,0,0.0009175,0.0009175,0.0009175
27,561.22,0.97554,1.4764,0.83395,1.02627,0,0.8733,0.65586,0.75285,0.5661,0.87507,0.66106,0.75942,0.56359,0.89577,1.48302,0.85917,1.04239,0,0.0009142,0.0009142,0.0009142
28,581.231,0.98423,1.49227,0.81586,1.01053,0,0.8705,0.67925,0.76371,0.5851,0.8734,0.67779,0.7634,0.56985,0.85839,1.45878,0.77102,1.02333,0,0.0009109,0.0009109,0.0009109
29,601.19,0.97253,1.45488,0.80999,1.01173,0,0.90538,0.65673,0.76102,0.58873,0.90669,0.65768,0.76223,0.56316,0.84602,1.41477,0.74806,1.01684,0,0.0009076,0.0009076,0.0009076
30,621.379,0.96679,1.45436,0.80816,1.00122,0,0.89809,0.6654,0.76159,0.58471,0.8985,0.66668,0.76382,0.57524,0.84088,1.38087,0.74861,1.01261,0,0.0009043,0.0009043,0.0009043
31,640.939,0.96795,1.46984,0.80688,0.99408,0,0.88382,0.66635,0.76044,0.58294,0.88984,0.6673,0.76063,0.56307,0.82553,1.44313,0.74614,1.01044,0,0.000901,0.000901,0.000901
32,661.947,0.95253,1.43105,0.80338,1.00502,0,0.89744,0.67207,0.7617,0.59237,0.88462,0.67874,0.76549,0.56845,0.82051,1.37087,0.80545,1.00815,0,0.0008977,0.0008977,0.0008977
33,681.315,0.97874,1.4474,0.81283,1.01202,0,0.86246,0.6456,0.74987,0.57714,0.89924,0.62822,0.74957,0.55131,0.83414,1.36635,0.75908,1.02,0,0.0008944,0.0008944,0.0008944
34,702.111,0.94103,1.4198,0.79046,0.99596,0,0.89194,0.66444,0.7627,0.58037,0.89322,0.6654,0.7664,0.56994,0.86102,1.3157,0.76619,1.01919,0,0.0008911,0.0008911,0.0008911
35,722.392,0.93135,1.36709,0.78817,0.99073,0,0.8897,0.62345,0.72661,0.55537,0.89244,0.62631,0.728,0.53436,0.86964,1.44566,1.0556,1.02639,0,0.0008878,0.0008878,0.0008878
36,743.727,0.92235,1.36452,0.7696,0.98654,0,0.89154,0.65777,0.76046,0.5837,0.8895,0.6654,0.76281,0.57313,0.84042,1.32902,0.85049,1.00373,0,0.0008845,0.0008845,0.0008845
37,763.878,0.92195,1.37358,0.77605,0.99137,0,0.87384,0.67349,0.76289,0.58894,0.88239,0.67946,0.76872,0.57657,0.8142,1.34741,0.73288,0.99783,0,0.0008812,0.0008812,0.0008812
38,784.108,0.90444,1.33668,0.75889,0.98166,0,0.91181,0.67023,0.77337,0.60944,0.91289,0.66921,0.77454,0.58636,0.77391,1.29115,0.69377,0.98818,0,0.0008779,0.0008779,0.0008779
39,804.184,0.89312,1.31378,0.75439,0.98022,0,0.86595,0.68974,0.77354,0.59551,0.87917,0.67779,0.77199,0.57133,0.81572,1.30533,0.72107,1.00165,0,0.0008746,0.0008746,0.0008746
40,826.054,0.90503,1.33616,0.76623,0.98144,0,0.87773,0.68432,0.77056,0.60389,0.88257,0.68779,0.77517,0.58372,0.8079,1.34984,0.77071,0.99699,0,0.0008713,0.0008713,0.0008713
41,846.018,0.90615,1.32384,0.75633,0.98029,0,0.90652,0.66444,0.77062,0.5994,0.90392,0.66254,0.77199,0.58303,0.78475,1.33904,0.70879,0.97863,0,0.000868,0.000868,0.000868
42,867.696,0.91477,1.31388,0.74757,0.97067,0,0.90327,0.66763,0.76522,0.59508,0.90714,0.67049,0.76963,0.58165,0.8142,1.28472,0.71623,0.99815,0,0.0008647,0.0008647,0.0008647
43,887.766,0.93274,1.32202,0.74469,0.98794,0,0.87945,0.68848,0.78342,0.60601,0.88067,0.68944,0.78228,0.59743,0.80419,1.29152,0.70454,0.98765,0,0.0008614,0.0008614,0.0008614
44,908.641,0.91707,1.34764,0.74996,0.97703,0,0.92001,0.67983,0.78266,0.60392,0.91723,0.6761,0.7809,0.57623,0.81794,1.33266,0.70288,1.00066,0,0.0008581,0.0008581,0.0008581
45,928.557,0.90711,1.34392,0.75118,0.98254,0,0.90242,0.67969,0.78127,0.61175,0.90551,0.6816,0.77946,0.59419,0.78925,1.29924,0.71806,0.98329,0,0.0008548,0.0008548,0.0008548
