epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5953,3.79243,4.96864,3.66813,3.00335,0,0.00295,0.16301,0.0019,0.0005,0,0,0,0,3.45203,5.89757,3.80987,2.63886,0,0.000325581,0.000325581,0.0677674
2,42.6747,2.85519,3.87476,2.65757,2.31605,0,0,0,0,0,0,0,0,0,3.7067,5.73536,4.38874,2.60784,0,0.00065674,0.00065674,0.0347653
3,61.789,2.38869,3.34848,1.88955,1.88326,0,0.92386,0.23135,0.44048,0.23054,0.92767,0.2323,0.43662,0.21596,2.03612,3.41301,2.67643,1.83504,0,0.000985699,0.000985699,0.00176089
4,81.0447,2.12113,3.01807,1.65804,1.67419,0,0.674,0.35477,0.42028,0.15968,0.63778,0.3357,0.38064,0.13808,2.29399,5.63793,2.2574,2.15222,0,0.0009901,0.0009901,0.0009901
5,101.25,1.8841,2.77464,1.4889,1.51434,0,0.78134,0.51287,0.56319,0.33655,0.78134,0.51287,0.56266,0.34686,1.61918,2.72688,1.41909,1.47394,0,0.0009868,0.0009868,0.0009868
6,120.626,1.68892,2.59627,1.35175,1.39396,0,0.74004,0.48236,0.54315,0.29653,0.72482,0.49666,0.54969,0.33595,1.63072,2.65938,1.57769,1.4168,0,0.0009835,0.0009835,0.0009835
7,139.803,1.61889,2.41671,1.28274,1.34465,0,0.81312,0.5205,0.58932,0.37509,0.80428,0.5224,0.57744,0.35612,1.36783,2.60233,1.34614,1.30164,0,0.0009802,0.0009802,0.0009802
8,159.319,1.52215,2.27222,1.22147,1.28242,0,0.78819,0.54985,0.61432,0.40025,0.78396,0.54657,0.60694,0.40183,1.31291,2.20639,1.23275,1.2583,0,0.0009769,0.0009769,0.0009769
9,178.606,1.42822,2.12964,1.16512,1.24071,0,0.86319,0.55958,0.65138,0.42522,0.85956,0.55577,0.64614,0.42878,1.28364,2.11772,1.15848,1.25167,0,0.0009736,0.0009736,0.0009736
10,197.834,1.37348,2.08478,1.13359,1.21139,0,0.88627,0.5423,0.63605,0.41291,0.88783,0.54325,0.64119,0.42716,1.26913,2.10603,1.26864,1.22054,0,0.0009703,0.0009703,0.0009703
11,216.937,1.34679,2.05414,1.11721,1.18556,0,0.84964,0.56816,0.64346,0.43645,0.85055,0.56816,0.63779,0.42795,1.1825,2.00546,1.08752,1.19603,0,0.000967,0.000967,0.000967
12,237.43,1.3074,2.03275,1.06614,1.14917,0,0.85123,0.57817,0.6722,0.46043,0.86391,0.56816,0.67003,0.4543,1.14334,1.93461,1.02307,1.16018,0,0.0009637,0.0009637,0.0009637
13,255.636,1.30105,1.94115,1.05138,1.15436,0,0.8756,0.60724,0.70562,0.47821,0.87212,0.6082,0.70185,0.49447,1.15813,1.86681,1.00455,1.1524,0,0.0009604,0.0009604,0.0009604
14,275.025,1.2563,1.8917,1.03188,1.12881,0,0.8816,0.58917,0.69891,0.4909,0.8883,0.58913,0.69574,0.49185,1.06963,1.84182,1.02022,1.10868,0,0.0009571,0.0009571,0.0009571
