epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5348,3.44136,4.21524,2.63314,2.93811,0,0,0,0,0,0,0,0,0,3.58046,4.80095,4.11443,2.71796,0,0.000325581,0.000325581,0.0677674
2,44.9879,2.13059,2.79291,1.59183,1.96854,0,0.1736,0.54528,0.41632,0.22406,0.17542,0.551,0.42313,0.2396,1.91096,3.31652,3.08671,1.90291,0,0.00065674,0.00065674,0.0347653
3,65.6868,1.73673,2.4314,1.31726,1.59265,0,0.83265,0.53194,0.62056,0.39421,0.83564,0.53384,0.62444,0.39962,1.43397,2.25551,1.5226,1.50047,0,0.000985699,0.000985699,0.00176089
4,87.7137,1.49512,2.19969,1.17809,1.41467,0,0.7812,0.54909,0.62276,0.42265,0.78934,0.55481,0.63037,0.42989,1.26383,2.08553,1.25096,1.35511,0,0.0009901,0.0009901,0.0009901
5,107.652,1.38228,2.07681,1.1074,1.31387,0,0.79272,0.6101,0.68582,0.47035,0.79998,0.61487,0.68817,0.47768,1.17921,1.8928,1.1274,1.30007,0,0.0009868,0.0009868,0.0009868
6,128.475,1.26591,1.97997,1.03025,1.23311,0,0.85798,0.6335,0.71789,0.50442,0.85007,0.64061,0.71728,0.48778,1.07295,2.01971,1.02463,1.23218,0,0.0009835,0.0009835,0.0009835
7,149.797,1.20152,1.86533,0.9708,1.18437,0,0.84319,0.59581,0.6936,0.51043,0.84308,0.59199,0.68181,0.4529,1.00499,2.11701,1.06272,1.17974,0,0.0009802,0.0009802,0.0009802
8,169.823,1.15122,1.76285,0.93281,1.15386,0,0.76301,0.61678,0.63778,0.45994,0.75948,0.61392,0.63193,0.41006,1.02079,2.0141,1.01952,1.17078,0,0.0009769,0.0009769,0.0009769
9,189.796,1.10324,1.6798,0.90577,1.12248,0,0.87909,0.63489,0.73928,0.54379,0.87825,0.63298,0.73309,0.52336,0.96953,1.65788,0.87359,1.13527,0,0.0009736,0.0009736,0.0009736
10,210.788,1.0745,1.66499,0.88386,1.09922,0,0.87281,0.63456,0.73487,0.54863,0.85987,0.64061,0.73144,0.525,0.91709,1.68919,0.87552,1.10428,0,0.0009703,0.0009703,0.0009703
11,231.713,1.04203,1.66319,0.86274,1.08187,0,0.82896,0.65872,0.73427,0.54195,0.83784,0.65682,0.73495,0.51778,0.94131,1.64149,0.88837,1.10944,0,0.000967,0.000967,0.000967
12,251.698,1.04168,1.65283,0.84984,1.06651,0,0.83772,0.6742,0.74948,0.56056,0.8363,0.67207,0.74927,0.52432,0.91501,1.58529,0.89009,1.09324,0,0.0009637,0.0009637,0.0009637
13,273.135,1.00694,1.53246,0.82902,1.06471,0,0.84937,0.6511,0.74386,0.56341,0.8314,0.65777,0.74067,0.52512,0.90872,1.54003,0.93468,1.0905,0,0.0009604,0.0009604,0.0009604
14,293.554,1.01664,1.53556,0.83066,1.05012,0,0.86291,0.68065,0.7668,0.58026,0.86147,0.67874,0.7643,0.55653,0.87031,1.47092,0.81596,1.05563,0,0.0009571,0.0009571,0.0009571
15,314.692,0.98601,1.49109,0.8023,1.04001,0,0.91325,0.66349,0.76302,0.58046,0.92719,0.65491,0.76118,0.55643,0.85749,1.51634,0.78935,1.05489,0,0.0009538,0.0009538,0.0009538
16,335.32,0.98,1.44538,0.79036,1.03686,0,0.93579,0.63908,0.75838,0.57842,0.933,0.63717,0.75288,0.5616,0.86851,1.44404,0.79305,1.04934,0,0.0009505,0.0009505,0.0009505
17,354.653,0.97079,1.44443,0.77881,1.02814,0,0.88877,0.64746,0.75222,0.57909,0.88615,0.64555,0.75004,0.54925,0.8228,1.45089,0.81939,1.03658,0,0.0009472,0.0009472,0.0009472
