epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.248,3.24965,4.22504,2.76225,2.9498,0,0,0,0,0,0,0,0,0,4.07249,4.96957,4.4181,2.9872,0,0.000325581,0.000325581,0.0677674
2,25.4595,2.10494,2.90114,1.57498,2.08879,0,0.85649,0.35844,0.34999,0.21111,0.82688,0.34604,0.33708,0.1608,2.2269,3.86901,3.83019,2.18343,0,0.00065674,0.00065674,0.0347653
3,37.0906,1.76199,2.52263,1.26634,1.67806,0,0.87681,0.53194,0.61732,0.3832,0.87394,0.52873,0.61219,0.38127,1.58275,2.53427,1.64585,1.69544,0,0.000985699,0.000985699,0.00176089
4,48.2021,1.58974,2.27267,1.15454,1.50386,0,0.92489,0.57523,0.67108,0.43467,0.92046,0.57769,0.6713,0.46578,1.37115,2.14988,1.16552,1.49251,0,0.0009901,0.0009901,0.0009901
5,59.501,1.42267,2.14446,1.06547,1.36596,0,0.86425,0.61907,0.69658,0.4707,0.85773,0.62345,0.69698,0.47645,1.15434,1.96502,1.0284,1.37397,0,0.0009868,0.0009868,0.0009868
6,70.1666,1.30831,2.01377,1.00327,1.27925,0,0.86779,0.58723,0.68349,0.47867,0.86216,0.58341,0.6769,0.45943,1.10694,1.95381,1.59595,1.29406,0,0.0009835,0.0009835,0.0009835
7,81.469,1.23259,1.89387,0.97245,1.2233,0,0.85279,0.6082,0.70618,0.50002,0.83808,0.61184,0.70426,0.49294,1.07113,1.87874,1.19783,1.23251,0,0.0009802,0.0009802,0.0009802
8,93.0206,1.17262,1.79726,0.92077,1.17551,0,0.85355,0.62154,0.70759,0.51927,0.8532,0.61868,0.71018,0.4812,1.01192,2.08754,1.15352,1.17742,0,0.0009769,0.0009769,0.0009769
9,104.08,1.12409,1.74123,0.8913,1.14367,0,0.88048,0.62631,0.7314,0.52574,0.87706,0.6325,0.73078,0.51335,1.02868,1.73066,0.97971,1.18107,0,0.0009736,0.0009736,0.0009736
10,115.823,1.07588,1.68121,0.8588,1.11336,0,0.87309,0.65583,0.74425,0.54914,0.87309,0.65583,0.74422,0.52864,0.92722,1.60521,0.83491,1.13989,0,0.0009703,0.0009703,0.0009703
11,127.027,1.05902,1.68357,0.85202,1.10178,0,0.89322,0.64824,0.74154,0.55759,0.87773,0.64824,0.73924,0.53302,0.9153,1.5685,0.83167,1.12735,0,0.000967,0.000967,0.000967
12,138.38,1.04128,1.67494,0.83042,1.07474,0,0.85785,0.66444,0.73962,0.56209,0.86753,0.66349,0.74108,0.52796,0.89401,1.6279,0.77939,1.11125,0,0.0009637,0.0009637,0.0009637
13,149.064,1.02831,1.54247,0.8157,1.07652,0,0.89522,0.64341,0.74765,0.55702,0.90285,0.6467,0.75001,0.53346,0.92392,1.55005,0.79441,1.12095,0,0.0009604,0.0009604,0.0009604
14,160.568,1.01901,1.54953,0.80652,1.05972,0,0.8841,0.65491,0.74915,0.56714,0.87577,0.65777,0.74709,0.53759,0.8617,1.52826,0.91149,1.06993,0,0.0009571,0.0009571,0.0009571
15,171.836,0.99297,1.51925,0.79476,1.04983,0,0.90517,0.67398,0.7577,0.5844,0.89765,0.67724,0.76166,0.56702,0.84535,1.46015,0.74203,1.06522,0,0.0009538,0.0009538,0.0009538
16,183.55,0.98889,1.46867,0.77556,1.04827,0,0.89018,0.6654,0.76008,0.57819,0.89199,0.66132,0.75963,0.56953,0.84487,1.48914,0.76417,1.07372,0,0.0009505,0.0009505,0.0009505
17,195.13,0.97167,1.46904,0.77287,1.0381,0,0.87725,0.67448,0.76921,0.58933,0.87947,0.67493,0.76934,0.57283,0.82836,1.43299,0.74084,1.0488,0,0.0009472,0.0009472,0.0009472
18,206.267,0.96297,1.45431,0.75326,1.02621,0,0.87424,0.68732,0.77329,0.5855,0.87626,0.68446,0.76379,0.55398,0.85693,1.43774,0.73275,1.06511,0,0.0009439,0.0009439,0.0009439
19,217.554,0.95877,1.48222,0.7523,1.02615,0,0.86675,0.65729,0.74657,0.57395,0.87461,0.65872,0.7473,0.55382,0.84285,1.37498,0.79398,1.04946,0,0.0009406,0.0009406,0.0009406
20,228.618,0.97423,1.40675,0.75593,1.03682,0,0.85833,0.69113,0.76736,0.59545,0.85209,0.69744,0.77019,0.57989,0.80504,1.36545,0.84083,1.03979,0,0.0009373,0.0009373,0.0009373
21,240.197,0.93858,1.40285,0.73178,1.02707,0,0.86566,0.69414,0.77508,0.60055,0.86785,0.69209,0.77655,0.59325,0.82834,1.37842,0.7415,1.03968,0,0.000934,0.000934,0.000934
22,251.406,0.93215,1.38235,0.73302,1.02017,0,0.88299,0.70257,0.78375,0.61539,0.90832,0.68446,0.78111,0.58225,0.78748,1.32037,0.70654,1.02822,0,0.0009307,0.0009307,0.0009307
23,262.718,0.8922,1.34089,0.70272,0.99884,0,0.9091,0.67969,0.77547,0.58089,0.89711,0.68541,0.77519,0.55787,0.87006,1.34246,0.76205,1.06756,0,0.0009274,0.0009274,0.0009274
24,274.348,0.93384,1.37336,0.73636,1.01399,0,0.91058,0.67951,0.77718,0.60195,0.91046,0.6785,0.77704,0.57522,0.78927,1.31814,0.79939,1.03394,0,0.0009241,0.0009241,0.0009241
