epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1124,4.00261,5.07811,3.75557,3.13449,0,0.00014,0.00763,0,0,0.0001,0.00572,0,0,3.35043,4.60773,3.88542,2.68197,0,0.000325581,0.000325581,0.0677674
2,53.2289,3.45551,4.58936,3.61355,2.44395,0,0.0029,0.16015,0.00132,0.00035,0.00211,0.1163,0.00077,0.00016,3.27375,4.7004,3.87445,2.50588,0,0.00065674,0.00065674,0.0347653
3,77.4015,3.01854,4.37051,3.07881,2.21443,0,0.02047,0.1592,0.06045,0.02025,0.01397,0.10867,0.03458,0.00756,2.85625,4.50432,4.15736,2.26713,0,0.000985699,0.000985699,0.00176089
4,101.074,2.67222,4.04734,2.57217,2.01562,0,0.60859,0.2342,0.26993,0.12259,0.59527,0.22498,0.25521,0.08613,2.36815,4.19395,2.72919,1.91694,0,0.0009901,0.0009901,0.0009901
5,124.904,2.43404,3.73118,2.24816,1.8403,0,0.51893,0.32221,0.3334,0.16515,0.58178,0.29171,0.31965,0.12778,2.08778,3.80011,2.24809,1.77597,0,0.0009868,0.0009868,0.0009868
6,148.791,2.23076,3.51325,2.02133,1.71769,0,0.60974,0.37086,0.39205,0.18976,0.6338,0.36034,0.38369,0.16696,1.99793,3.61553,2.10774,1.71897,0,0.0009835,0.0009835,0.0009835
7,173.542,2.09602,3.32191,1.85629,1.62194,0,0.70905,0.38101,0.42365,0.22008,0.71792,0.38578,0.4279,0.20824,1.86853,3.27907,1.81566,1.59158,0,0.0009802,0.0009802,0.0009802
8,199.501,1.98975,3.1599,1.73815,1.54221,0,0.73419,0.43661,0.49078,0.28902,0.74419,0.42326,0.48128,0.27216,1.69291,3.06716,1.61228,1.49616,0,0.0009769,0.0009769,0.0009769
9,223.628,1.83369,2.97651,1.61503,1.46399,0,0.76616,0.4347,0.49462,0.3015,0.77877,0.42707,0.49041,0.28564,1.60362,2.93811,1.53384,1.43381,0,0.0009736,0.0009736,0.0009736
10,247.381,1.78623,2.89016,1.56893,1.42047,0,0.73953,0.46806,0.52545,0.30287,0.74509,0.46806,0.52736,0.30129,1.68053,2.75081,1.52836,1.44242,0,0.0009703,0.0009703,0.0009703
11,272.537,1.71395,2.81202,1.5055,1.37307,0,0.8114,0.46997,0.54305,0.33075,0.83382,0.46139,0.53713,0.33112,1.51187,2.68502,1.39321,1.37255,0,0.000967,0.000967,0.000967
12,296.599,1.68256,2.74971,1.44873,1.33298,0,0.8238,0.49027,0.5643,0.35508,0.8222,0.48932,0.56048,0.35391,1.46138,2.5457,1.35559,1.33726,0,0.0009637,0.0009637,0.0009637
13,320.104,1.60623,2.63629,1.41288,1.30983,0,0.81941,0.49762,0.57303,0.37029,0.82377,0.49908,0.57222,0.36833,1.37729,2.47245,1.30332,1.2985,0,0.0009604,0.0009604,0.0009604
14,345.319,1.57898,2.58555,1.37003,1.28944,0,0.86656,0.47474,0.58039,0.38847,0.8596,0.47092,0.57286,0.37191,1.34081,2.43839,1.25681,1.26552,0,0.0009571,0.0009571,0.0009571
15,368.517,1.55929,2.53887,1.34893,1.26525,0,0.82332,0.51085,0.58937,0.37315,0.85817,0.50048,0.58877,0.37369,1.41872,2.43668,1.29678,1.29073,0,0.0009538,0.0009538,0.0009538
16,393.146,1.53946,2.48033,1.32916,1.26221,0,0.83829,0.52812,0.61083,0.4021,0.83073,0.52336,0.6016,0.39223,1.34336,2.32266,1.27146,1.2613,0,0.0009505,0.0009505,0.0009505
17,416.891,1.49041,2.41557,1.28882,1.23559,0,0.83066,0.49099,0.58807,0.39515,0.82673,0.49123,0.5831,0.39256,1.28454,2.31126,1.25694,1.24378,0,0.0009472,0.0009472,0.0009472
