epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6844,3.59837,4.62775,3.48882,2.89323,0,0,0,0,0,0,0,0,0,3.59091,5.26546,3.9459,2.6972,0,0.000325581,0.000325581,0.0677674
2,47.6004,2.55617,3.58823,2.17271,2.07213,0,1,0.01144,0.015,0.0075,0,0,0,0,3.31036,7.13466,4.42716,2.38371,0,0.00065674,0.00065674,0.0347653
3,68.2679,2.11656,3.11552,1.63595,1.70735,0,0.97538,0.2266,0.47281,0.256,0.96717,0.2247,0.44183,0.18908,2.00558,3.65275,2.55931,1.73357,0,0.000985699,0.000985699,0.00176089
4,91.3857,1.85745,2.81997,1.44951,1.50809,0,0.81482,0.46142,0.55331,0.32793,0.82853,0.46983,0.56077,0.33327,1.66655,2.8666,1.51499,1.49851,0,0.0009901,0.0009901,0.0009901
5,112.125,1.72089,2.63394,1.37044,1.41311,0,0.81044,0.52812,0.605,0.35393,0.81921,0.53384,0.60871,0.3789,1.56955,2.54138,1.29418,1.46324,0,0.0009868,0.0009868,0.0009868
6,133.443,1.56479,2.47027,1.25968,1.33224,0,0.82512,0.53972,0.62738,0.40988,0.81724,0.53384,0.61655,0.41057,1.3559,2.40903,1.23475,1.31252,0,0.0009835,0.0009835,0.0009835
7,156.834,1.49094,2.33221,1.20489,1.28609,0,0.82607,0.58246,0.65139,0.43796,0.81622,0.57674,0.64413,0.43139,1.25659,2.28641,1.27994,1.26771,0,0.0009802,0.0009802,0.0009802
8,178.967,1.44189,2.20196,1.15533,1.25136,0,0.70945,0.54528,0.55129,0.36153,0.70821,0.54433,0.55189,0.35565,1.26512,2.15246,1.46358,1.268,0,0.0009769,0.0009769,0.0009769
9,201.753,1.38489,2.07963,1.12603,1.21892,0,0.79526,0.57769,0.65604,0.43877,0.79139,0.57293,0.64688,0.43482,1.21584,2.03498,1.239,1.22504,0,0.0009736,0.0009736,0.0009736
10,224.868,1.30787,2.02131,1.09169,1.19303,0,0.84485,0.60057,0.68731,0.46258,0.8462,0.60153,0.6857,0.4585,1.18175,1.99992,1.16307,1.20614,0,0.0009703,0.0009703,0.0009703
11,246.852,1.28141,2.00196,1.05959,1.16343,0,0.87456,0.58913,0.69293,0.47989,0.8753,0.58627,0.68571,0.46046,1.13289,1.95383,1.08672,1.18253,0,0.000967,0.000967,0.000967
12,269.676,1.24439,1.97051,1.03162,1.1284,0,0.87182,0.60946,0.70237,0.49208,0.86097,0.61201,0.70083,0.47905,1.0837,1.87915,1.02641,1.16572,0,0.0009637,0.0009637,0.0009637
13,291.375,1.23046,1.84902,1.01111,1.13091,0,0.85266,0.62889,0.71324,0.50768,0.85137,0.62794,0.71319,0.48939,1.0567,1.83963,1.05985,1.13773,0,0.0009604,0.0009604,0.0009604
14,313.811,1.2065,1.84931,1.00051,1.11369,0,0.87318,0.60724,0.69931,0.49675,0.86907,0.60439,0.7002,0.50267,1.06724,1.81378,0.97829,1.12202,0,0.0009571,0.0009571,0.0009571
15,336.056,1.19471,1.80396,0.99036,1.10867,0,0.86141,0.62917,0.71704,0.50547,0.85667,0.63243,0.71574,0.48394,1.08805,1.84111,1.0771,1.13979,0,0.0009538,0.0009538,0.0009538
