epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9075,3.68918,4.58639,3.51447,2.9616,0,0.00287,0.15825,0.06669,0.01779,0.00169,0.09342,0.03025,0.00671,3.15727,4.57473,3.78615,2.53675,0,0.000325581,0.000325581,0.0677674
2,32.7024,2.51239,3.49614,2.11927,2.10987,0,0.45182,0.40229,0.30053,0.12702,0.45824,0.40801,0.3031,0.12294,2.22552,3.48212,3.83522,2.07682,0,0.00065674,0.00065674,0.0347653
3,47.5086,2.02381,2.99631,1.59461,1.70366,0,0.74716,0.46763,0.53073,0.31166,0.75034,0.47283,0.53526,0.29639,1.6927,3.0331,1.70834,1.65751,0,0.000985699,0.000985699,0.00176089
4,61.7246,1.78621,2.70087,1.41741,1.52385,0,0.65149,0.48141,0.46496,0.27595,0.65179,0.48904,0.46911,0.27409,1.66467,2.8393,1.71009,1.6044,0,0.0009901,0.0009901,0.0009901
5,76.2828,1.63543,2.50858,1.31618,1.41602,0,0.1646,0.4938,0.11171,0.06247,0.16333,0.49952,0.11028,0.06113,1.63455,2.70355,14.6665,1.60384,0,0.0009868,0.0009868,0.0009868
6,90.3773,1.49897,2.35241,1.21758,1.32705,0,0.78058,0.53956,0.60309,0.41282,0.78472,0.54242,0.60577,0.39085,1.26859,2.38735,1.34359,1.31361,0,0.0009835,0.0009835,0.0009835
7,105.468,1.40528,2.22419,1.15884,1.26947,0,0.79935,0.55863,0.64149,0.44522,0.82053,0.54814,0.62823,0.40549,1.21977,2.40315,1.20332,1.27497,0,0.0009802,0.0009802,0.0009802
8,119.567,1.34058,2.09398,1.11157,1.22135,0,0.85011,0.58532,0.67489,0.47461,0.85513,0.58532,0.67236,0.45284,1.14469,2.11788,1.06091,1.22254,0,0.0009769,0.0009769,0.0009769
9,134.125,1.26769,1.96622,1.06702,1.18651,0,0.85139,0.56252,0.66234,0.46707,0.84436,0.55853,0.65225,0.44489,1.11358,2.15081,1.13365,1.19553,0,0.0009736,0.0009736,0.0009736
10,149.374,1.24885,1.95179,1.03533,1.16706,0,0.88662,0.58627,0.69288,0.49231,0.88662,0.58627,0.69064,0.48171,1.06631,1.97357,1.03814,1.17168,0,0.0009703,0.0009703,0.0009703
11,163.693,1.21433,1.9288,1.03284,1.14422,0,0.82756,0.60057,0.69279,0.5007,0.82758,0.60153,0.69119,0.48248,1.06353,1.84393,0.95865,1.14976,0,0.000967,0.000967,0.000967
12,178.202,1.19562,1.91534,0.99939,1.11392,0,0.87981,0.57293,0.68851,0.49952,0.89283,0.56816,0.68436,0.47865,1.04311,1.85756,0.99174,1.13742,0,0.0009637,0.0009637,0.0009637
13,192.029,1.15558,1.79627,0.9728,1.11279,0,0.78479,0.59581,0.6418,0.45947,0.79576,0.59771,0.63805,0.44401,1.02786,1.86691,1.06323,1.13163,0,0.0009604,0.0009604,0.0009604
14,206.469,1.13821,1.76896,0.95652,1.09358,0,0.84642,0.62345,0.72233,0.53272,0.8516,0.62726,0.72649,0.51778,0.97813,1.78024,0.91718,1.09516,0,0.0009571,0.0009571,0.0009571
15,221.261,1.13071,1.75227,0.95109,1.09148,0,0.86015,0.61565,0.72127,0.5306,0.86582,0.61868,0.72233,0.50219,1.00835,1.87658,0.90977,1.1144,0,0.0009538,0.0009538,0.0009538
16,235.966,1.09617,1.66945,0.91471,1.08131,0,0.90516,0.61487,0.72653,0.533,0.90516,0.61487,0.72946,0.52964,0.98841,1.65777,0.88158,1.09883,0,0.0009505,0.0009505,0.0009505
17,250.499,1.09147,1.64759,0.91125,1.07145,0,0.83683,0.64442,0.72936,0.55215,0.84888,0.64633,0.73115,0.53029,0.92211,1.66096,0.91632,1.07245,0,0.0009472,0.0009472,0.0009472
18,265.169,1.06196,1.65244,0.89406,1.05451,0,0.84845,0.64578,0.72659,0.54904,0.84415,0.64347,0.72077,0.52673,0.89839,1.62332,0.87485,1.06793,0,0.0009439,0.0009439,0.0009439
19,279.134,1.06964,1.67168,0.89289,1.05972,0,0.83097,0.65141,0.72887,0.55068,0.82928,0.6483,0.7314,0.53059,0.9065,1.63247,0.91072,1.06146,0,0.0009406,0.0009406,0.0009406
20,293.793,1.08184,1.61218,0.90638,1.06732,0,0.85729,0.64137,0.73228,0.55584,0.85347,0.63852,0.73199,0.52999,0.88993,1.5771,0.87532,1.05948,0,0.0009373,0.0009373,0.0009373
21,309.177,1.0417,1.61643,0.87544,1.05236,0,0.83737,0.64728,0.73086,0.5496,0.83367,0.64442,0.72945,0.53205,0.91755,1.57355,0.87351,1.05808,0,0.000934,0.000934,0.000934
22,323.539,1.03734,1.58655,0.88102,1.0527,0,0.8571,0.6673,0.74848,0.5569,0.85932,0.66384,0.74874,0.53334,0.89853,1.49826,0.81164,1.05277,0,0.0009307,0.0009307,0.0009307
23,338.891,0.9846,1.52021,0.83314,1.02523,0,0.84781,0.66444,0.74574,0.56368,0.85448,0.66349,0.74483,0.54137,0.89478,1.55612,0.82452,1.0544,0,0.0009274,0.0009274,0.0009274
24,353.303,1.02017,1.55264,0.86315,1.03589,0,0.86484,0.66063,0.74753,0.56722,0.87519,0.66063,0.75123,0.54762,0.86677,1.49096,0.8394,1.04,0,0.0009241,0.0009241,0.0009241
25,367.755,1.01811,1.56506,0.83253,1.01864,0,0.924,0.64902,0.75367,0.57691,0.92125,0.65396,0.75522,0.55232,0.84878,1.5334,0.76716,1.03535,0,0.0009208,0.0009208,0.0009208
26,382.3,0.99275,1.48051,0.85906,1.04274,0,0.86959,0.65682,0.75312,0.57461,0.85656,0.66602,0.75521,0.55146,0.86309,1.49546,0.77971,1.03155,0,0.0009175,0.0009175,0.0009175
27,396.963,0.97443,1.48436,0.83459,1.03248,0,0.86732,0.66679,0.75104,0.57292,0.86286,0.67207,0.75577,0.55375,0.86418,1.46933,0.7839,1.03264,0,0.0009142,0.0009142,0.0009142
28,411.171,0.98562,1.50233,0.8166,1.01786,0,0.84542,0.68298,0.76082,0.58113,0.84609,0.67601,0.76004,0.56595,0.83835,1.48566,0.78523,1.01881,0,0.0009109,0.0009109,0.0009109
29,425.328,0.97517,1.45927,0.81816,1.01851,0,0.88591,0.66619,0.76683,0.5918,0.88332,0.66397,0.76627,0.56174,0.83741,1.41176,0.79218,1.02688,0,0.0009076,0.0009076,0.0009076
30,439.455,0.97296,1.44948,0.81413,1.008,0,0.86395,0.66158,0.75013,0.56706,0.86503,0.66063,0.74809,0.55174,0.87145,1.46351,0.83848,1.03461,0,0.0009043,0.0009043,0.0009043
31,453.924,0.9645,1.46617,0.80883,0.99979,0,0.91533,0.66921,0.76545,0.5874,0.901,0.67112,0.76838,0.56974,0.83336,1.39982,0.72304,1.01546,0,0.000901,0.000901,0.000901
32,468.495,0.94958,1.42937,0.8017,1.00819,0,0.88858,0.66902,0.7685,0.5878,0.88017,0.67217,0.76505,0.56344,0.8559,1.37405,0.77255,1.02292,0,0.0008977,0.0008977,0.0008977
33,482.546,0.97456,1.45088,0.80222,1.01721,0,0.9044,0.64033,0.74965,0.57955,0.8442,0.66635,0.74677,0.55281,0.82691,1.41838,0.76137,1.01671,0,0.0008944,0.0008944,0.0008944
34,496.407,0.94988,1.41078,0.79685,1.00328,0,0.88684,0.69018,0.77108,0.59429,0.88806,0.69113,0.77319,0.57648,0.81606,1.35344,0.70544,1.00555,0,0.0008911,0.0008911,0.0008911
35,510.883,0.9377,1.38122,0.78129,0.99888,0,0.8442,0.66635,0.75046,0.58014,0.85317,0.67016,0.75226,0.56876,0.83326,1.41709,0.84122,1.02026,0,0.0008878,0.0008878,0.0008878
36,525.977,0.93522,1.37261,0.76663,0.99946,0,0.8889,0.67493,0.76927,0.58419,0.88817,0.67386,0.76724,0.57395,0.81877,1.37509,0.78451,1.00541,0,0.0008845,0.0008845,0.0008845
37,539.899,0.92775,1.37978,0.77609,0.99525,0,0.90502,0.6722,0.77233,0.6034,0.89065,0.68326,0.77444,0.57849,0.79984,1.36794,0.70507,0.99444,0,0.0008812,0.0008812,0.0008812
38,554.388,0.91366,1.33679,0.76076,0.98776,0,0.89996,0.6689,0.76537,0.60096,0.89739,0.66699,0.76437,0.58178,0.78753,1.35533,0.69618,0.99199,0,0.0008779,0.0008779,0.0008779
39,569.776,0.90468,1.31966,0.75694,0.98559,0,0.88637,0.67779,0.767,0.60288,0.88571,0.67965,0.76414,0.57261,0.78832,1.3011,0.75045,0.99442,0,0.0008746,0.0008746,0.0008746
40,584.571,0.90429,1.33992,0.76422,0.9862,0,0.88353,0.68637,0.77507,0.61251,0.87775,0.69129,0.78012,0.58818,0.77167,1.29638,0.73013,0.98794,0,0.0008713,0.0008713,0.0008713
41,599.083,0.90904,1.34066,0.77518,0.98587,0,0.87551,0.67207,0.7664,0.60128,0.87613,0.67424,0.76933,0.58197,0.7697,1.29393,0.75062,0.98533,0,0.000868,0.000868,0.000868
42,614.083,0.91255,1.32008,0.74719,0.97423,0,0.91004,0.67207,0.77143,0.60578,0.90875,0.67112,0.77119,0.58614,0.78394,1.26517,0.73384,0.98417,0,0.0008647,0.0008647,0.0008647
43,628.544,0.91972,1.32183,0.75459,0.98837,0,0.86794,0.67112,0.76013,0.60429,0.87968,0.66063,0.76183,0.58503,0.78555,1.30286,0.73534,0.98984,0,0.0008614,0.0008614,0.0008614
44,642.975,0.92169,1.34151,0.75644,0.98472,0,0.89462,0.67874,0.77611,0.61425,0.88971,0.67874,0.77747,0.58036,0.76627,1.27463,0.67825,0.98258,0,0.0008581,0.0008581,0.0008581
45,656.101,0.90359,1.31449,0.75464,0.98442,0,0.90788,0.69209,0.78337,0.61526,0.90746,0.69177,0.78373,0.59628,0.75923,1.2792,0.68807,0.97837,0,0.0008548,0.0008548,0.0008548
46,670.694,0.88228,1.28944,0.73095,0.97765,0,0.88381,0.70336,0.78149,0.60501,0.8862,0.70527,0.78118,0.58455,0.78629,1.29426,0.70768,0.98109,0,0.0008515,0.0008515,0.0008515
47,684.809,0.89521,1.34045,0.7473,0.97913,0,0.88319,0.67112,0.77328,0.61281,0.88319,0.67112,0.77393,0.59358,0.76434,1.25258,0.69499,0.97848,0,0.0008482,0.0008482,0.0008482
48,699.272,0.88039,1.26937,0.72036,0.96643,0,0.85538,0.68226,0.76596,0.60428,0.85419,0.68131,0.76863,0.5851,0.78405,1.26935,0.7182,0.98553,0,0.0008449,0.0008449,0.0008449
49,713.417,0.90368,1.36937,0.73669,0.97273,0,0.89492,0.6816,0.77808,0.60293,0.90543,0.67302,0.77787,0.58322,0.78461,1.2175,0.68192,0.97929,0,0.0008416,0.0008416,0.0008416
50,727.478,0.88275,1.26281,0.73653,0.97899,0,0.87964,0.6816,0.77399,0.60762,0.87494,0.6816,0.77209,0.57958,0.7561,1.25334,0.69119,0.97707,0,0.0008383,0.0008383,0.0008383
51,741.956,0.87544,1.28096,0.70949,0.96027,0,0.89513,0.69018,0.77951,0.60657,0.88346,0.69781,0.78058,0.58518,0.78587,1.26055,0.72128,0.98503,0,0.000835,0.000835,0.000835
52,756.526,0.88095,1.2502,0.71881,0.96564,0,0.89923,0.67302,0.77411,0.60031,0.9045,0.67302,0.77423,0.57887,0.78699,1.26377,0.68962,0.98798,0,0.0008317,0.0008317,0.0008317
53,771.266,0.86492,1.26512,0.70159,0.9636,0,0.88549,0.70027,0.78887,0.62229,0.87904,0.70257,0.78626,0.59676,0.73499,1.22634,0.6629,0.96655,0,0.0008284,0.0008284,0.0008284
54,784.966,0.85545,1.24995,0.70664,0.96247,0,0.8709,0.68812,0.78044,0.6222,0.86697,0.68958,0.7772,0.59706,0.74476,1.23505,0.6826,0.97102,0,0.0008251,0.0008251,0.0008251
55,799.797,0.84457,1.25067,0.71028,0.95449,0,0.86359,0.70609,0.78656,0.61735,0.88977,0.69257,0.78396,0.59137,0.75127,1.21839,0.66502,0.96788,0,0.0008218,0.0008218,0.0008218
56,813.54,0.86689,1.25961,0.71098,0.96104,0,0.89123,0.69514,0.78817,0.62124,0.89229,0.69399,0.79174,0.60209,0.75428,1.21366,0.67005,0.97161,0,0.0008185,0.0008185,0.0008185
57,828.322,0.85949,1.2216,0.70685,0.95555,0,0.88747,0.68417,0.78638,0.62537,0.88747,0.68417,0.78733,0.59823,0.74071,1.18586,0.66572,0.96495,0,0.0008152,0.0008152,0.0008152
58,843.025,0.85474,1.23191,0.71777,0.95312,0,0.88325,0.70674,0.78971,0.62691,0.88115,0.70829,0.79285,0.60693,0.73635,1.20178,0.70245,0.96008,0,0.0008119,0.0008119,0.0008119
59,857.571,0.86046,1.22633,0.69848,0.96308,0,0.8897,0.69972,0.78744,0.61673,0.88837,0.70639,0.79013,0.59999,0.74893,1.23879,0.6867,0.96793,0,0.0008086,0.0008086,0.0008086
60,871.368,0.85076,1.20061,0.67983,0.95544,0,0.88465,0.69876,0.79236,0.62493,0.88828,0.70257,0.79261,0.60682,0.76189,1.25416,0.66434,0.96647,0,0.0008053,0.0008053,0.0008053
61,886.762,0.84059,1.19765,0.69299,0.95254,0,0.9058,0.69662,0.79807,0.62932,0.89954,0.70162,0.79543,0.60782,0.75353,1.16468,0.65599,0.97441,0,0.000802,0.000802,0.000802
62,900.735,0.83056,1.19111,0.69217,0.95339,0,0.8976,0.67685,0.78322,0.62261,0.89534,0.6769,0.78011,0.59415,0.75189,1.22817,0.73659,0.96829,0,0.0007987,0.0007987,0.0007987
63,915.309,0.84595,1.21565,0.69584,0.94682,0,0.90959,0.68446,0.78386,0.61989,0.91017,0.68574,0.78309,0.59351,0.74318,1.23121,0.64996,0.9657,0,0.0007954,0.0007954,0.0007954
64,929.475,0.84092,1.17598,0.685,0.94974,0,0.91383,0.67016,0.78579,0.61932,0.89237,0.69209,0.78392,0.59371,0.74212,1.20704,0.66524,0.96192,0,0.0007921,0.0007921,0.0007921
65,943.578,0.84671,1.2201,0.68999,0.95282,0,0.90562,0.6952,0.79064,0.62233,0.9069,0.69644,0.78771,0.61132,0.73999,1.20309,0.64567,0.95998,0,0.0007888,0.0007888,0.0007888
66,958.359,0.83805,1.19115,0.68531,0.94789,0,0.91658,0.68085,0.78881,0.61549,0.91787,0.6818,0.78752,0.58668,0.77275,1.16116,0.66939,0.97209,0,0.0007855,0.0007855,0.0007855
67,972.272,0.8347,1.1825,0.69596,0.94278,0,0.86993,0.69113,0.78065,0.61678,0.86593,0.69018,0.77889,0.59745,0.73147,1.19378,0.74724,0.95421,0,0.0007822,0.0007822,0.0007822
68,987.478,0.82511,1.1832,0.68414,0.94934,0,0.85489,0.72069,0.79352,0.63028,0.90991,0.68732,0.78955,0.6068,0.7249,1.1845,0.66233,0.95463,0,0.0007789,0.0007789,0.0007789
69,1001.68,0.83552,1.21619,0.68492,0.94201,0,0.87811,0.69361,0.7837,0.63121,0.88066,0.69647,0.78269,0.60622,0.71745,1.1487,0.66937,0.94963,0,0.0007756,0.0007756,0.0007756
70,1016.33,0.80223,1.1576,0.6689,0.94058,0,0.89795,0.7046,0.78358,0.63149,0.89745,0.70908,0.78236,0.60925,0.70393,1.1375,0.63435,0.94688,0,0.0007723,0.0007723,0.0007723
71,1029.99,0.81694,1.18026,0.67439,0.93482,0,0.89472,0.68052,0.77841,0.62653,0.90091,0.68474,0.78095,0.60505,0.7182,1.19708,0.66172,0.95444,0,0.000769,0.000769,0.000769
72,1044.58,0.79178,1.08799,0.6496,0.93448,0,0.89536,0.69337,0.79028,0.63291,0.89831,0.69056,0.78988,0.61302,0.71323,1.19458,0.6555,0.95305,0,0.0007657,0.0007657,0.0007657
73,1058.89,0.82368,1.18061,0.66504,0.93449,0,0.87688,0.7102,0.79458,0.63327,0.8611,0.72099,0.79505,0.61127,0.7157,1.12504,0.70548,0.95252,0,0.0007624,0.0007624,0.0007624
74,1074.18,0.81619,1.12194,0.64354,0.93084,0,0.87893,0.72641,0.79092,0.63275,0.87921,0.72855,0.79409,0.60825,0.72105,1.14658,0.64149,0.9493,0,0.0007591,0.0007591,0.0007591
75,1088.69,0.8234,1.19024,0.66816,0.93599,0,0.89834,0.70162,0.79648,0.63385,0.87296,0.72054,0.79858,0.61614,0.71375,1.12221,0.62791,0.95048,0,0.0007558,0.0007558,0.0007558
76,1103.98,0.80757,1.15232,0.6511,0.92903,0,0.89262,0.70257,0.79559,0.63975,0.85023,0.73975,0.79467,0.6224,0.7061,1.12826,0.63201,0.94599,0,0.0007525,0.0007525,0.0007525
77,1118.48,0.81669,1.16495,0.65194,0.93085,0,0.8832,0.6992,0.78589,0.62412,0.88289,0.70067,0.78751,0.59577,0.72944,1.11404,0.66057,0.9532,0,0.0007492,0.0007492,0.0007492
78,1132.29,0.78997,1.12018,0.64044,0.93255,0,0.92802,0.69304,0.79453,0.63704,0.93323,0.69289,0.79716,0.6189,0.70695,1.099,0.6192,0.94533,0,0.0007459,0.0007459,0.0007459
79,1146.85,0.8036,1.12681,0.64478,0.92827,0,0.88416,0.71401,0.80073,0.63864,0.90102,0.71161,0.80059,0.62112,0.7232,1.09442,0.61995,0.94382,0,0.0007426,0.0007426,0.0007426
80,1161.52,0.79746,1.12666,0.6462,0.92935,0,0.90261,0.69876,0.79219,0.63611,0.91253,0.69618,0.79328,0.61497,0.6956,1.12218,0.617,0.94527,0,0.0007393,0.0007393,0.0007393
81,1176.32,0.81239,1.12331,0.66165,0.93224,0,0.87702,0.70704,0.79651,0.63896,0.88167,0.71115,0.79692,0.61976,0.69643,1.13069,0.62863,0.94389,0,0.000736,0.000736,0.000736
82,1191.12,0.79075,1.10958,0.63416,0.9261,0,0.91829,0.6857,0.79248,0.63642,0.88283,0.7111,0.79401,0.60779,0.72615,1.11497,0.65323,0.95256,0,0.0007327,0.0007327,0.0007327
