epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7441,3.82387,4.99274,3.7007,3.02721,0,0.00316,0.17445,0.00166,0.0005,0.00219,0.12107,0.00113,0.00025,3.43252,4.66137,3.84027,2.59549,0,0.000325581,0.000325581,0.0677674
2,30.4565,2.84547,4.13011,2.91352,2.27599,0,0.75,0.00286,0.005,0.0025,0.5,0.00191,0.005,0.002,3.33022,4.73175,4.33182,2.40922,0,0.00065674,0.00065674,0.0347653
3,43.7449,2.35628,3.42792,1.93073,1.8964,0,0.7516,0.21633,0.28215,0.14555,0.74828,0.21538,0.27736,0.14182,2.28462,4.81139,2.68614,2.07403,0,0.000985699,0.000985699,0.00176089
4,56.8429,2.07329,3.00591,1.61904,1.68556,0,0.80135,0.45758,0.54236,0.31007,0.80803,0.46139,0.54642,0.30553,1.7443,2.87664,1.57295,1.64525,0,0.0009901,0.0009901,0.0009901
5,70.3503,1.83495,2.75728,1.44711,1.52512,0,0.77782,0.54337,0.60831,0.36255,0.81643,0.52336,0.59318,0.35928,1.58946,2.67249,1.3314,1.49856,0,0.0009868,0.0009868,0.0009868
6,84.2619,1.66364,2.58084,1.31303,1.41391,0,0.80525,0.53194,0.60749,0.38897,0.80525,0.53194,0.60395,0.39207,1.37527,2.40903,1.63281,1.3802,0,0.0009835,0.0009835,0.0009835
7,97.5007,1.5543,2.38738,1.23735,1.34436,0,0.82123,0.54051,0.62411,0.41322,0.83906,0.53674,0.61676,0.40087,1.3478,2.37903,1.38768,1.33358,0,0.0009802,0.0009802,0.0009802
8,111.136,1.468,2.26146,1.18493,1.29006,0,0.79751,0.56149,0.63409,0.4405,0.82283,0.54147,0.62779,0.42625,1.24922,2.22488,1.18278,1.29055,0,0.0009769,0.0009769,0.0009769
9,123.439,1.372,2.1277,1.13111,1.23626,0,0.79853,0.55005,0.63714,0.4399,0.80009,0.54433,0.63015,0.4243,1.17315,2.13435,1.46389,1.22552,0,0.0009736,0.0009736,0.0009736
10,135.328,1.32273,2.05759,1.09379,1.20398,0,0.82542,0.58818,0.67329,0.45493,0.82141,0.58532,0.66721,0.45128,1.20593,2.0345,1.4737,1.22234,0,0.0009703,0.0009703,0.0009703
