epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0003,3.81096,5.09393,3.69171,2.97276,0,0.00473,0.2612,0.00185,0.00047,0.00506,0.27931,0.00215,0.0005,3.15405,4.57466,3.89901,2.51371,0,0.000325581,0.000325581,0.0677674
2,34.7591,2.81841,3.99076,2.63685,2.1572,0,0.23199,0.29171,0.20182,0.09721,0.20622,0.25929,0.18638,0.07296,2.54763,4.33523,3.93517,2.10553,0,0.00065674,0.00065674,0.0347653
3,50.776,2.23503,3.27888,1.78804,1.72139,0,0.32896,0.05052,0.07233,0.02647,0.34758,0.05338,0.08563,0.02751,3.29523,6.21744,3.3976,3.02414,0,0.000985699,0.000985699,0.00176089
4,65.7881,1.91824,2.89307,1.53596,1.52201,0,0.69606,0.43662,0.49352,0.26923,0.70997,0.44328,0.49801,0.2664,1.79719,3.09605,1.71756,1.59902,0,0.0009901,0.0009901,0.0009901
5,80.9731,1.73976,2.68588,1.40193,1.40137,0,0.81005,0.5367,0.60768,0.37508,0.80303,0.5348,0.59881,0.3612,1.45219,2.63651,1.27814,1.35203,0,0.0009868,0.0009868,0.0009868
6,95.3205,1.57339,2.52317,1.27551,1.30697,0,0.81333,0.54242,0.62263,0.40185,0.8119,0.54147,0.61938,0.39986,1.32619,2.34901,1.18455,1.29368,0,0.0009835,0.0009835,0.0009835
7,110.554,1.48807,2.33848,1.21066,1.2734,0,0.86338,0.51206,0.60956,0.40531,0.86138,0.5062,0.60142,0.39065,1.33131,2.57781,1.28729,1.26695,0,0.0009802,0.0009802,0.0009802
8,125.998,1.42735,2.19894,1.15395,1.22955,0,0.90312,0.53861,0.65196,0.44187,0.88215,0.54943,0.65759,0.43987,1.23905,2.13036,1.10601,1.22389,0,0.0009769,0.0009769,0.0009769
9,141.51,1.3306,2.07768,1.09018,1.18856,0,0.8554,0.58151,0.6744,0.46689,0.85119,0.57865,0.66554,0.45223,1.13391,2.04216,1.01908,1.16015,0,0.0009736,0.0009736,0.0009736
10,157.153,1.28022,2.02344,1.05687,1.1594,0,0.83644,0.59485,0.68159,0.47812,0.86538,0.58216,0.67589,0.46423,1.10071,1.94994,1.10611,1.15558,0,0.0009703,0.0009703,0.0009703
11,172.551,1.25408,1.99942,1.03237,1.1423,0,0.85654,0.58625,0.68779,0.47577,0.85895,0.58635,0.68593,0.46675,1.10542,1.86388,0.97377,1.14594,0,0.000967,0.000967,0.000967
12,188.28,1.23981,1.98436,1.00587,1.11498,0,0.76386,0.58532,0.64696,0.45794,0.7664,0.58798,0.64429,0.4485,1.06827,1.88108,0.96921,1.12747,0,0.0009637,0.0009637,0.0009637
13,202.993,1.20663,1.86344,0.98303,1.1131,0,0.86399,0.58532,0.68699,0.49266,0.85592,0.58055,0.68461,0.47602,1.06655,1.79362,0.97316,1.11303,0,0.0009604,0.0009604,0.0009604
14,218.006,1.20072,1.83947,0.98386,1.10109,0,0.8647,0.62726,0.72241,0.50974,0.86207,0.62536,0.71824,0.5085,1.05842,1.75927,0.92439,1.09853,0,0.0009571,0.0009571,0.0009571
15,233.152,1.17076,1.79379,0.95875,1.08952,0,0.8423,0.62118,0.71519,0.52495,0.84494,0.62336,0.71185,0.49903,1.00712,1.7554,0.93089,1.09472,0,0.0009538,0.0009538,0.0009538
16,247.607,1.12799,1.74163,0.92202,1.08163,0,0.84371,0.64252,0.72388,0.52703,0.84178,0.6387,0.71979,0.5136,0.98939,1.73914,0.86291,1.08791,0,0.0009505,0.0009505,0.0009505
17,262.994,1.12092,1.70983,0.91591,1.06664,0,0.89218,0.6387,0.742,0.54077,0.89085,0.63775,0.73615,0.51701,0.9612,1.69137,0.84008,1.06794,0,0.0009472,0.0009472,0.0009472
