epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7976,3.5188,4.31884,2.91213,2.91729,0,0,0,0,0,0,0,0,0,3.92734,5.2948,4.22444,2.8529,0,0.000325581,0.000325581,0.0677674
2,32.3872,2.47335,3.30251,1.83106,2.18546,0,0.18092,0.13918,0.07507,0.03997,0.06568,0.05052,0.00805,0.00224,2.92378,5.06864,4.05907,2.34828,0,0.00065674,0.00065674,0.0347653
3,47.6323,2.10373,2.91748,1.49472,1.8427,0,0.80881,0.40732,0.48507,0.28126,0.80503,0.40541,0.4781,0.26385,1.87779,5.76764,2.10317,1.91767,0,0.000985699,0.000985699,0.00176089
4,61.3661,1.86905,2.60652,1.33744,1.64736,0,0.76432,0.53174,0.58063,0.34191,0.76158,0.52983,0.56685,0.3615,1.6655,2.75649,1.47879,1.64498,0,0.0009901,0.0009901,0.0009901
5,76.987,1.68025,2.40769,1.23355,1.51189,0,0.85178,0.56625,0.64149,0.41441,0.85034,0.5653,0.6374,0.43064,1.41074,2.30429,1.17558,1.47846,0,0.0009868,0.0009868,0.0009868
6,91.0857,1.50075,2.25477,1.13739,1.39584,0,0.85227,0.58845,0.67326,0.44349,0.85067,0.58647,0.66875,0.44096,1.31134,2.20651,1.1416,1.39768,0,0.0009835,0.0009835,0.0009835
7,105.799,1.40578,2.10467,1.08066,1.3241,0,0.85242,0.61106,0.68366,0.46937,0.85483,0.59581,0.66908,0.4477,1.1886,2.22959,1.16043,1.33632,0,0.0009802,0.0009802,0.0009802
8,119.924,1.34506,1.99235,1.03929,1.2778,0,0.87333,0.57483,0.67694,0.45874,0.86878,0.57579,0.67428,0.45049,1.2421,2.11221,1.08852,1.30629,0,0.0009769,0.0009769,0.0009769
9,134.354,1.28299,1.87094,1.00698,1.23724,0,0.88076,0.6126,0.7193,0.49673,0.87858,0.6101,0.71042,0.5008,1.17289,1.91167,0.94734,1.29634,0,0.0009736,0.0009736,0.0009736
10,148.841,1.25414,1.85943,0.99068,1.21238,0,0.88035,0.62427,0.71523,0.51244,0.87901,0.62332,0.71197,0.50032,1.06145,1.90122,0.91896,1.22556,0,0.0009703,0.0009703,0.0009703
