epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7337,3.51876,4.19055,3.11696,2.90658,0,0,0,0,0,0,0,0,0,3.96933,5.13749,4.14014,2.82598,0,0.000325581,0.000325581,0.0677674
2,33.57,2.28142,2.93278,1.70265,2.21762,0,0.34597,0.41754,0.31877,0.18589,0.12085,0.14585,0.0591,0.0146,2.19209,5.59665,3.64325,2.17267,0,0.00065674,0.00065674,0.0347653
3,48.9788,1.94957,2.60122,1.37287,1.79195,0,0.88795,0.51372,0.61683,0.38018,0.88543,0.50906,0.60347,0.36853,1.61379,2.77672,1.70272,1.76026,0,0.000985699,0.000985699,0.00176089
4,64.4921,1.73065,2.34754,1.22612,1.592,0,0.88898,0.54961,0.65084,0.4055,0.88898,0.54961,0.64355,0.44732,1.45634,2.26309,1.22974,1.55275,0,0.0009901,0.0009901,0.0009901
5,80.3433,1.56386,2.17968,1.14684,1.45506,0,0.83921,0.58723,0.68356,0.46149,0.81918,0.59676,0.68176,0.47068,1.23285,2.03702,1.16139,1.38168,0,0.0009868,0.0009868,0.0009868
6,95.3271,1.39328,2.09738,1.06474,1.3382,0,0.84959,0.58152,0.67094,0.46363,0.84497,0.58194,0.66372,0.46165,1.18291,2.06718,1.24361,1.33566,0,0.0009835,0.0009835,0.0009835
7,109.792,1.29965,1.95173,1.01455,1.26903,0,0.83513,0.57946,0.67788,0.46955,0.83513,0.57946,0.67196,0.45629,1.13014,2.05677,1.46897,1.26416,0,0.0009802,0.0009802,0.0009802
8,124.67,1.20829,1.84155,0.96379,1.19345,0,0.84906,0.65014,0.73079,0.52555,0.83108,0.65194,0.72334,0.51209,1.03545,1.83485,0.91287,1.18036,0,0.0009769,0.0009769,0.0009769
9,139.141,1.16114,1.76179,0.92218,1.15073,0,0.85392,0.63775,0.72239,0.50367,0.84668,0.63775,0.71733,0.5143,1.10475,1.82847,0.97231,1.20506,0,0.0009736,0.0009736,0.0009736
10,154.188,1.14575,1.74149,0.89855,1.13448,0,0.85693,0.66444,0.74107,0.53505,0.85913,0.65872,0.73099,0.52322,0.98314,1.71413,0.8695,1.12945,0,0.0009703,0.0009703,0.0009703
11,169.817,1.09501,1.73279,0.87735,1.10728,0,0.90339,0.64919,0.74966,0.56724,0.89147,0.64824,0.73988,0.52763,0.91483,1.76706,0.7983,1.10999,0,0.000967,0.000967,0.000967
12,184.155,1.07384,1.71146,0.85136,1.08026,0,0.81554,0.65872,0.73625,0.55201,0.83343,0.64728,0.73521,0.52425,0.93076,1.63263,0.87753,1.11309,0,0.0009637,0.0009637,0.0009637
13,198.994,1.06988,1.59639,0.83696,1.0876,0,0.88295,0.64347,0.74072,0.54821,0.88295,0.64347,0.73998,0.52285,0.95844,1.60686,0.82996,1.1206,0,0.0009604,0.0009604,0.0009604
14,213.834,1.05044,1.59199,0.83264,1.06706,0,0.87845,0.68065,0.76182,0.57754,0.87522,0.67969,0.75507,0.53444,0.89356,1.54289,0.81664,1.08192,0,0.0009571,0.0009571,0.0009571
15,228.553,1.01267,1.55038,0.80022,1.05517,0,0.87887,0.68637,0.76643,0.57923,0.87765,0.68541,0.76014,0.54686,0.87496,1.59703,0.77891,1.07573,0,0.0009538,0.0009538,0.0009538
16,243.381,0.99073,1.51023,0.78431,1.04805,0,0.85232,0.68771,0.76156,0.57531,0.85889,0.6963,0.76584,0.56148,0.87033,1.54805,0.76866,1.06177,0,0.0009505,0.0009505,0.0009505
17,258.349,0.99443,1.50291,0.7848,1.04493,0,0.87699,0.63205,0.73405,0.56562,0.87925,0.63394,0.73225,0.54429,0.86174,1.54276,0.79839,1.06284,0,0.0009472,0.0009472,0.0009472
18,273.737,0.97296,1.49885,0.7725,1.03166,0,0.91042,0.64538,0.76222,0.58938,0.91082,0.65233,0.76529,0.55303,0.83202,1.50238,0.74308,1.0444,0,0.0009439,0.0009439,0.0009439
19,288.39,0.98591,1.51559,0.76971,1.03351,0,0.85133,0.65508,0.75063,0.57365,0.83523,0.67302,0.75191,0.53951,0.84172,1.49422,0.85259,1.04647,0,0.0009406,0.0009406,0.0009406
20,303.023,0.9878,1.44342,0.77576,1.04032,0,0.89523,0.68255,0.77482,0.58974,0.89197,0.68478,0.77621,0.56238,0.86026,1.43843,0.78922,1.05303,0,0.0009373,0.0009373,0.0009373
21,317.978,0.94967,1.45081,0.74554,1.02637,0,0.85476,0.67884,0.75617,0.58524,0.84883,0.67874,0.75593,0.55114,0.82565,1.48323,1.00951,1.04578,0,0.000934,0.000934,0.000934
22,333.102,0.97914,1.44399,0.77177,1.03135,0,0.90636,0.69206,0.77971,0.60245,0.91116,0.68923,0.77802,0.57062,0.82601,1.44562,0.74835,1.03771,0,0.0009307,0.0009307,0.0009307
23,347.304,0.90871,1.38316,0.71887,1.00022,0,0.87785,0.70567,0.7796,0.60399,0.87259,0.70257,0.77517,0.56689,0.80654,1.41906,0.70749,1.03082,0,0.0009274,0.0009274,0.0009274
24,362.598,0.93669,1.41062,0.73911,1.01087,0,0.8167,0.63711,0.7218,0.56305,0.80787,0.64133,0.72131,0.53955,0.79675,1.41913,0.93819,1.01926,0,0.0009241,0.0009241,0.0009241
25,377.398,0.94173,1.44104,0.72741,0.99646,0,0.87472,0.67493,0.76215,0.60291,0.87157,0.67928,0.7616,0.57443,0.76903,1.38302,0.71808,1.00213,0,0.0009208,0.0009208,0.0009208
26,391.832,0.93282,1.33352,0.74029,1.02489,0,0.89552,0.69018,0.77461,0.60997,0.88785,0.69431,0.76831,0.57425,0.78736,1.38548,0.70097,1.02203,0,0.0009175,0.0009175,0.0009175
27,407.148,0.89801,1.32767,0.71583,1.00325,0,0.91559,0.71211,0.79283,0.61929,0.91405,0.71115,0.79197,0.58357,0.79514,1.3152,0.65958,1.0086,0,0.0009142,0.0009142,0.0009142
28,421.086,0.90656,1.36432,0.6981,0.99016,0,0.8969,0.70829,0.78661,0.62099,0.89165,0.71306,0.7865,0.59285,0.76026,1.37615,0.65774,1.00037,0,0.0009109,0.0009109,0.0009109
29,435.614,0.89239,1.33023,0.70448,0.99215,0,0.90932,0.68825,0.78405,0.6118,0.91184,0.69016,0.78534,0.58994,0.78564,1.34605,0.68075,1.00741,0,0.0009076,0.0009076,0.0009076
30,449.973,0.88358,1.30266,0.70664,0.97989,0,0.92462,0.68923,0.78993,0.6139,0.90638,0.70145,0.79292,0.58746,0.78099,1.37172,0.67781,1.00742,0,0.0009043,0.0009043,0.0009043
31,464.846,0.88888,1.31912,0.70388,0.97789,0,0.91183,0.69018,0.78927,0.61299,0.89886,0.70162,0.78476,0.57119,0.77266,1.41856,0.67454,0.99864,0,0.000901,0.000901,0.000901
32,479.909,0.86843,1.29326,0.69128,0.98206,0,0.91138,0.69781,0.78682,0.62142,0.91067,0.69781,0.78712,0.59031,0.77039,1.27011,0.78178,0.99992,0,0.0008977,0.0008977,0.0008977
33,493.859,0.89715,1.30943,0.70114,0.99274,0,0.91465,0.69472,0.78657,0.61568,0.92012,0.68923,0.78303,0.58211,0.76305,1.31911,0.67452,1.00402,0,0.0008944,0.0008944,0.0008944
34,509.271,0.87724,1.29789,0.69115,0.98278,0,0.84714,0.69208,0.77221,0.60872,0.84705,0.69689,0.7719,0.58826,0.75505,1.31424,0.69272,0.99298,0,0.0008911,0.0008911,0.0008911
35,523.861,0.85347,1.24422,0.66891,0.97384,0,0.89408,0.69685,0.78736,0.61993,0.89473,0.69683,0.78732,0.58999,0.75318,1.30368,0.65718,0.99063,0,0.0008878,0.0008878,0.0008878
36,539.464,0.85252,1.23252,0.66976,0.96763,0,0.922,0.70353,0.79438,0.62639,0.92166,0.70257,0.79066,0.59297,0.76049,1.29833,0.6458,0.99404,0,0.0008845,0.0008845,0.0008845
37,554.707,0.87184,1.23434,0.6676,0.97732,0,0.90843,0.69983,0.79004,0.62125,0.9095,0.69937,0.78864,0.6034,0.75329,1.31232,0.66601,0.9915,0,0.0008812,0.0008812,0.0008812
38,570.53,0.84299,1.18738,0.66475,0.96409,0,0.90681,0.69209,0.78844,0.62728,0.91977,0.69018,0.78982,0.60466,0.73982,1.25728,0.6419,0.98753,0,0.0008779,0.0008779,0.0008779
39,584.755,0.82084,1.16747,0.64857,0.96188,0,0.9109,0.6627,0.77791,0.61763,0.8956,0.67061,0.77278,0.59234,0.74213,1.26099,0.65379,0.98848,0,0.0008746,0.0008746,0.0008746
40,600.547,0.83391,1.18819,0.65964,0.96627,0,0.9127,0.70353,0.80077,0.63169,0.91624,0.69781,0.80083,0.6085,0.74608,1.26465,0.62753,0.98531,0,0.0008713,0.0008713,0.0008713
41,615.68,0.82464,1.18939,0.6633,0.96334,0,0.89151,0.70257,0.79215,0.62596,0.90195,0.70155,0.79385,0.6086,0.72449,1.23815,0.68938,0.977,0,0.000868,0.000868,0.000868
