epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7435,2.4271,4.69274,3.41891,2.96447,0,0.00223,0.04671,0.00011,2e-05,0,0,0,0,2.76143,4.90697,4.00492,2.7872,0,0.000325581,0.000325581,0.0677674
2,34.4511,1.6461,3.67773,2.38103,2.2471,0,0.05758,0.57865,0.35517,0.15361,0.05464,0.54909,0.33921,0.11707,1.36948,4.19257,3.0648,2.2506,0,0.00065674,0.00065674,0.0347653
3,49.925,1.35014,3.22906,1.8309,1.92179,0,0.74158,0.44709,0.50073,0.25082,0.74149,0.45663,0.51247,0.27014,1.06545,3.0381,1.78981,1.8796,0,0.000985699,0.000985699,0.00176089
4,64.9228,1.18976,2.89706,1.59869,1.73659,0,0.77457,0.46512,0.51821,0.23506,0.7719,0.4652,0.51986,0.25143,1.06385,3.34005,1.63549,1.79356,0,0.0009901,0.0009901,0.0009901
5,81.4191,1.08149,2.70426,1.45678,1.59827,0,0.81207,0.49094,0.56087,0.31742,0.82334,0.4938,0.56293,0.33727,0.80315,2.74329,1.3541,1.5974,0,0.0009868,0.0009868,0.0009868
6,96.0964,0.95396,2.54031,1.34255,1.47724,0,0.81936,0.51859,0.59086,0.36846,0.80411,0.52827,0.5923,0.38838,0.67726,2.42399,1.3532,1.4523,0,0.0009835,0.0009835,0.0009835
7,111.279,0.91427,2.40976,1.27554,1.41072,0,0.8199,0.51573,0.60236,0.3806,0.82141,0.51668,0.59727,0.37753,0.62956,2.43707,1.27397,1.42076,0,0.0009802,0.0009802,0.0009802
8,126.205,0.87899,2.25615,1.22087,1.36801,0,0.8495,0.56501,0.64335,0.41492,0.85726,0.56625,0.64348,0.43267,0.59909,2.19537,1.14539,1.36656,0,0.0009769,0.0009769,0.0009769
9,140.83,0.8372,2.13689,1.17287,1.31892,0,0.86698,0.57293,0.65974,0.43769,0.86429,0.57102,0.65348,0.43911,0.58197,2.22006,1.07592,1.32123,0,0.0009736,0.0009736,0.0009736
10,156.406,0.78658,2.0935,1.13049,1.27525,0,0.79276,0.50687,0.5836,0.38669,0.80809,0.48618,0.57567,0.39298,0.62259,2.13108,1.31173,1.30922,0,0.0009703,0.0009703,0.0009703
11,172.047,0.76441,2.08518,1.11004,1.24204,0,0.85143,0.58246,0.67559,0.46116,0.86457,0.57204,0.66831,0.46401,0.53408,2.0552,1.0335,1.2504,0,0.000967,0.000967,0.000967
12,187.231,0.72432,2.02064,1.06919,1.20837,0,0.93559,0.56777,0.68674,0.47129,0.88331,0.58532,0.67904,0.46983,0.53279,1.88798,0.99102,1.24094,0,0.0009637,0.0009637,0.0009637
13,201.868,0.71736,1.90623,1.04654,1.19776,0,0.89428,0.58532,0.68337,0.46629,0.90488,0.58038,0.68283,0.46786,0.54815,1.87834,1.05586,1.23006,0,0.0009604,0.0009604,0.0009604
14,217.396,0.70686,1.89976,1.03525,1.1764,0,0.83837,0.59009,0.68043,0.46892,0.83325,0.59009,0.68159,0.48747,0.51203,1.8742,1.07667,1.17041,0,0.0009571,0.0009571,0.0009571
15,232.609,0.68755,1.8515,1.01995,1.16598,0,0.87138,0.58772,0.68772,0.46851,0.87845,0.59249,0.69073,0.47169,0.57881,1.87351,1.02158,1.22403,0,0.0009538,0.0009538,0.0009538
