epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5106,3.85873,4.82833,3.64243,2.99401,0,0.00318,0.17541,0.01558,0.00415,0.00212,0.11725,0.01174,0.00209,3.35804,5.28269,3.816,2.53234,0,0.000325581,0.000325581,0.0677674
2,32.9088,2.86179,3.83301,2.60978,2.19349,0,0,0,0,0,0,0,0,0,3.16501,4.76382,4.75027,2.35364,0,0.00065674,0.00065674,0.0347653
3,47.1336,2.32642,3.3641,1.90223,1.81823,0,0.71619,0.24023,0.30673,0.16398,0.73314,0.23356,0.30892,0.15757,2.12195,3.46458,3.25042,1.79737,0,0.000985699,0.000985699,0.00176089
4,62.1633,2.06383,3.08006,1.69881,1.66122,0,0.70089,0.41996,0.48578,0.25144,0.6907,0.43002,0.48816,0.26104,1.96424,3.0695,1.81309,1.80202,0,0.0009901,0.0009901,0.0009901
5,76.6293,1.89163,2.88659,1.57019,1.53887,0,0.74274,0.47615,0.54204,0.31243,0.74602,0.47664,0.53977,0.31119,1.6401,2.83405,1.52412,1.52203,0,0.0009868,0.0009868,0.0009868
6,91.3399,1.71882,2.72537,1.44606,1.43479,0,0.73821,0.47855,0.54771,0.33295,0.75027,0.47542,0.5432,0.32649,1.49904,2.8707,1.59537,1.44155,0,0.0009835,0.0009835,0.0009835
7,106.466,1.65939,2.61369,1.38134,1.39687,0,0.78471,0.51192,0.58537,0.36429,0.78322,0.51764,0.58223,0.36135,1.43713,2.63218,1.53324,1.4011,0,0.0009802,0.0009802,0.0009802
8,121.22,1.61023,2.48104,1.3606,1.35704,0,0.7966,0.55291,0.62352,0.39538,0.80011,0.54909,0.61868,0.38326,1.38674,2.55277,1.26804,1.35322,0,0.0009769,0.0009769,0.0009769
9,134.326,1.50601,2.34748,1.27851,1.31138,0,0.84256,0.54147,0.63337,0.41257,0.83696,0.54337,0.62553,0.39701,1.32167,2.40618,1.24128,1.32401,0,0.0009736,0.0009736,0.0009736
10,147.787,1.47346,2.29372,1.24766,1.27832,0,0.82242,0.55863,0.64708,0.41421,0.83027,0.55195,0.63334,0.40583,1.32604,2.3439,1.21384,1.30432,0,0.0009703,0.0009703,0.0009703
11,161.275,1.43778,2.24785,1.21665,1.24971,0,0.86779,0.52812,0.63444,0.41342,0.84927,0.53175,0.62967,0.40993,1.30725,2.15616,1.22973,1.29745,0,0.000967,0.000967,0.000967
12,174.08,1.40622,2.19628,1.16804,1.21185,0,0.83092,0.5653,0.65144,0.43429,0.82493,0.55699,0.63659,0.40896,1.26225,2.18545,1.19131,1.25904,0,0.0009637,0.0009637,0.0009637
13,186.717,1.37514,2.09278,1.1752,1.21011,0,0.81804,0.56998,0.66036,0.43546,0.8153,0.56808,0.65442,0.4279,1.25232,2.19325,1.28655,1.23666,0,0.0009604,0.0009604,0.0009604
14,199.863,1.33257,2.06478,1.13618,1.18107,0,0.88132,0.57007,0.67441,0.46467,0.88735,0.56149,0.67091,0.45647,1.19221,2.00585,1.09348,1.20596,0,0.0009571,0.0009571,0.0009571
15,212.088,1.3257,2.02164,1.13532,1.17599,0,0.88413,0.58437,0.6839,0.46893,0.8798,0.58151,0.6734,0.45919,1.16449,2.01902,1.11504,1.19893,0,0.0009538,0.0009538,0.0009538
16,225.034,1.30016,1.96502,1.10509,1.16253,0,0.82813,0.55121,0.63091,0.41681,0.82527,0.5493,0.6214,0.41137,1.23569,2.0851,1.22252,1.21044,0,0.0009505,0.0009505,0.0009505
17,237.759,1.29006,1.91617,1.08792,1.14685,0,0.84267,0.57579,0.67569,0.46858,0.82672,0.58217,0.67125,0.46513,1.13019,1.92314,1.2522,1.16756,0,0.0009472,0.0009472,0.0009472
18,250.321,1.2547,1.89847,1.06843,1.13072,0,0.87627,0.57674,0.68067,0.47592,0.88032,0.57865,0.67716,0.46851,1.13035,1.91316,1.04631,1.17272,0,0.0009439,0.0009439,0.0009439
19,263.015,1.25166,1.90824,1.04626,1.13113,0,0.86836,0.59111,0.68687,0.47909,0.868,0.5955,0.68265,0.47043,1.11454,1.83636,1.09319,1.14968,0,0.0009406,0.0009406,0.0009406
20,275.687,1.25137,1.86041,1.05151,1.13726,0,0.82547,0.60057,0.69768,0.49138,0.81075,0.61201,0.69776,0.47325,1.08158,1.82289,1.13737,1.13841,0,0.0009373,0.0009373,0.0009373
21,288.977,1.22788,1.83855,1.02434,1.12009,0,0.84591,0.5966,0.70141,0.49699,0.84591,0.5966,0.6981,0.48981,1.07112,1.84463,1.08337,1.131,0,0.000934,0.000934,0.000934
22,302.485,1.22899,1.82724,1.04317,1.12391,0,0.87578,0.59676,0.7122,0.5104,0.87421,0.59771,0.71006,0.50839,1.04578,1.74574,0.94561,1.12198,0,0.0009307,0.0009307,0.0009307
23,314.976,1.16123,1.73674,0.97788,1.08638,0,0.84457,0.60439,0.7076,0.49852,0.84498,0.60796,0.70234,0.49873,1.06836,1.77988,0.97966,1.12427,0,0.0009274,0.0009274,0.0009274
24,327.959,1.19013,1.77992,1.00962,1.10091,0,0.85157,0.6244,0.72061,0.50983,0.84897,0.6225,0.71452,0.50397,1.06309,1.73705,1.01175,1.11934,0,0.0009241,0.0009241,0.0009241
25,340.901,1.17004,1.76723,0.963,1.07373,0,0.87294,0.60907,0.7204,0.51973,0.8784,0.61288,0.72079,0.50926,1.02757,1.69274,0.91473,1.10254,0,0.0009208,0.0009208,0.0009208
26,353.672,1.16173,1.70167,0.99288,1.09901,0,0.87663,0.62154,0.72101,0.51923,0.87306,0.61868,0.71249,0.4959,1.02598,1.77973,0.94947,1.10534,0,0.0009175,0.0009175,0.0009175
27,366.428,1.1445,1.70713,0.97073,1.08939,0,0.87252,0.5939,0.70291,0.49847,0.87053,0.59295,0.69722,0.48203,1.0829,1.7289,1.04697,1.11444,0,0.0009142,0.0009142,0.0009142
28,378.672,1.15208,1.71266,0.95528,1.06657,0,0.8649,0.62726,0.72606,0.52285,0.86215,0.62601,0.72192,0.51305,1.02712,1.66425,0.92234,1.09356,0,0.0009109,0.0009109,0.0009109
29,391.583,1.14733,1.6584,0.94779,1.07569,0,0.88264,0.61773,0.72745,0.534,0.89929,0.61291,0.72425,0.51659,0.99136,1.57286,0.88786,1.06987,0,0.0009076,0.0009076,0.0009076
30,404.199,1.12496,1.66347,0.94775,1.05624,0,0.86127,0.63775,0.72968,0.53102,0.86948,0.64347,0.72907,0.51775,0.99146,1.67005,0.89667,1.0744,0,0.0009043,0.0009043,0.0009043
31,416.958,1.11384,1.6578,0.92787,1.04807,0,0.86134,0.64728,0.72896,0.52598,0.8625,0.63986,0.72232,0.51595,0.98753,1.62034,0.89262,1.07046,0,0.000901,0.000901,0.000901
32,429.545,1.09913,1.63245,0.93053,1.05658,0,0.89344,0.61868,0.73444,0.53374,0.88455,0.61964,0.72933,0.51543,0.98807,1.60522,0.9333,1.07091,0,0.0008977,0.0008977,0.0008977
33,441.877,1.12373,1.6248,0.94055,1.06143,0,0.8511,0.64633,0.73646,0.54068,0.84859,0.64442,0.73246,0.52894,0.96894,1.5666,0.91618,1.06197,0,0.0008944,0.0008944,0.0008944
34,454.998,1.1003,1.60614,0.91062,1.04954,0,0.86416,0.64281,0.73377,0.54574,0.86416,0.64281,0.73053,0.52824,0.95227,1.54618,0.87403,1.05718,0,0.0008911,0.0008911,0.0008911
35,467.623,1.07395,1.54622,0.89906,1.03692,0,0.85425,0.64256,0.73333,0.5392,0.85932,0.64637,0.73298,0.53493,0.96987,1.53478,0.88837,1.05768,0,0.0008878,0.0008878,0.0008878
36,480.657,1.06635,1.56541,0.88921,1.03413,0,0.83095,0.66444,0.73699,0.54353,0.8712,0.64252,0.73842,0.53356,0.96179,1.50094,0.88831,1.05526,0,0.0008845,0.0008845,0.0008845
37,493.395,1.07303,1.55859,0.89598,1.0392,0,0.8525,0.64824,0.73614,0.5477,0.85752,0.65205,0.73754,0.52955,0.93819,1.53943,0.8385,1.04234,0,0.0008812,0.0008812,0.0008812
38,505.88,1.04639,1.50762,0.87269,1.03001,0,0.8982,0.61582,0.72589,0.54471,0.89164,0.61773,0.7248,0.52748,0.94328,1.57602,0.86364,1.04391,0,0.0008779,0.0008779,0.0008779
39,518.929,1.04418,1.49957,0.88073,1.02721,0,0.82218,0.65234,0.72826,0.54506,0.84379,0.63489,0.7259,0.53019,0.92752,1.49494,0.87372,1.04652,0,0.0008746,0.0008746,0.0008746
40,532.045,1.04448,1.50458,0.87448,1.03198,0,0.85664,0.64919,0.74054,0.55462,0.86784,0.63851,0.73614,0.53672,0.92216,1.48382,0.94059,1.03387,0,0.0008713,0.0008713,0.0008713
41,545.093,1.03549,1.51075,0.86951,1.022,0,0.88587,0.65855,0.75299,0.5586,0.89074,0.65872,0.7538,0.55033,0.92603,1.40662,0.80782,1.02925,0,0.000868,0.000868,0.000868
42,558.147,1.04562,1.48708,0.85646,1.01302,0,0.89489,0.64928,0.74846,0.55448,0.90505,0.64511,0.74796,0.54708,0.91806,1.4524,0.81742,1.03588,0,0.0008647,0.0008647,0.0008647
43,571.811,1.04399,1.49632,0.85861,1.02416,0,0.84169,0.66444,0.73935,0.55243,0.84169,0.66444,0.73952,0.54467,0.92594,1.42416,0.85983,1.03852,0,0.0008614,0.0008614,0.0008614
44,584.788,1.04951,1.53618,0.87351,1.02059,0,0.87968,0.66921,0.75221,0.56201,0.88094,0.66254,0.74709,0.55181,0.88582,1.42874,0.80088,1.01514,0,0.0008581,0.0008581,0.0008581
45,597.187,1.02977,1.50083,0.86635,1.02054,0,0.88998,0.67092,0.75267,0.56138,0.88402,0.66444,0.74699,0.55599,0.89485,1.44142,0.8152,1.01604,0,0.0008548,0.0008548,0.0008548
46,610.347,1.0113,1.43231,0.8409,1.0104,0,0.89626,0.66158,0.75924,0.57152,0.89975,0.65682,0.75643,0.56494,0.8676,1.35938,0.77511,1.00882,0,0.0008515,0.0008515,0.0008515
47,623.016,1.01974,1.49143,0.85521,1.01384,0,0.84806,0.65978,0.74383,0.55559,0.84267,0.65491,0.73883,0.54916,0.88625,1.38328,0.82768,1.00902,0,0.0008482,0.0008482,0.0008482
48,635.834,1.00848,1.40712,0.82883,0.99912,0,0.89919,0.63771,0.74246,0.55521,0.89254,0.63489,0.73971,0.54839,0.91165,1.40877,0.81789,1.0192,0,0.0008449,0.0008449,0.0008449
49,648.46,1.02317,1.49921,0.84374,1.00043,0,0.88467,0.66254,0.76393,0.56937,0.87867,0.66968,0.76547,0.55424,0.89677,1.37809,0.81701,1.01698,0,0.0008416,0.0008416,0.0008416
50,661.09,1.00593,1.40423,0.84399,1.01194,0,0.87491,0.64728,0.74052,0.55016,0.88391,0.65014,0.747,0.5459,0.91767,1.37659,0.85465,1.03072,0,0.0008383,0.0008383,0.0008383
51,673.86,0.99172,1.41197,0.82125,0.99137,0,0.89705,0.65624,0.75867,0.57246,0.86824,0.6673,0.75934,0.56219,0.89465,1.35399,0.78327,1.0146,0,0.000835,0.000835,0.000835
52,687.05,0.99366,1.39852,0.82063,0.99335,0,0.86599,0.67149,0.75386,0.56814,0.86499,0.67182,0.75305,0.56105,0.88485,1.38426,0.81186,1.00741,0,0.0008317,0.0008317,0.0008317
53,700.388,0.98158,1.42983,0.8062,0.99357,0,0.85057,0.67829,0.75168,0.56981,0.85381,0.67969,0.75335,0.55979,0.87841,1.35487,0.84147,1.0059,0,0.0008284,0.0008284,0.0008284
54,712.697,0.98542,1.41754,0.82144,0.9935,0,0.86461,0.66826,0.75988,0.57603,0.8699,0.66289,0.75692,0.56232,0.86219,1.34169,0.78107,0.99969,0,0.0008251,0.0008251,0.0008251
55,725.222,0.95365,1.38234,0.80615,0.98027,0,0.85576,0.68998,0.76505,0.57681,0.87105,0.66967,0.75902,0.56408,0.86749,1.31675,0.77369,0.99855,0,0.0008218,0.0008218,0.0008218
56,737.997,0.98016,1.39128,0.81285,0.98736,0,0.88063,0.64001,0.74557,0.56384,0.88954,0.63489,0.74693,0.56619,0.88162,1.36125,0.84502,0.99692,0,0.0008185,0.0008185,0.0008185
57,750.664,0.97347,1.38187,0.80914,0.9823,0,0.86929,0.67204,0.75952,0.57299,0.86272,0.66921,0.75201,0.55413,0.88517,1.33926,0.75888,1.00792,0,0.0008152,0.0008152,0.0008152
58,763.204,0.97148,1.39131,0.82069,0.98008,0,0.8684,0.6605,0.75289,0.57243,0.8637,0.65843,0.7497,0.56461,0.84189,1.34705,0.8381,0.98931,0,0.0008119,0.0008119,0.0008119
59,776.192,0.95633,1.36895,0.79771,0.98873,0,0.88619,0.67112,0.7671,0.57916,0.88375,0.67112,0.76553,0.57369,0.86449,1.33241,0.77602,1.00011,0,0.0008086,0.0008086,0.0008086
60,788.579,0.94583,1.33484,0.7843,0.97796,0,0.87503,0.67684,0.76753,0.57963,0.87097,0.6816,0.76855,0.57334,0.8623,1.30039,0.74918,0.98931,0,0.0008053,0.0008053,0.0008053
61,801.504,0.94836,1.31746,0.79161,0.97906,0,0.87593,0.6865,0.76768,0.58208,0.87716,0.67398,0.76312,0.57236,0.8431,1.29061,0.7609,0.99414,0,0.000802,0.000802,0.000802
62,814.806,0.93882,1.31741,0.79826,0.9807,0,0.88514,0.66921,0.76716,0.58772,0.88427,0.67112,0.7663,0.58057,0.85236,1.31745,0.75769,0.98747,0,0.0007987,0.0007987,0.0007987
63,827.891,0.95633,1.3382,0.79921,0.97419,0,0.86223,0.67398,0.75641,0.56587,0.85679,0.67493,0.75396,0.56312,0.87712,1.30526,0.79696,0.99287,0,0.0007954,0.0007954,0.0007954
64,840.835,0.94081,1.30037,0.77558,0.97432,0,0.87699,0.68351,0.77588,0.58886,0.85633,0.69318,0.7717,0.57475,0.84544,1.27268,0.74911,0.98639,0,0.0007921,0.0007921,0.0007921
65,853.981,0.94574,1.3582,0.78271,0.97542,0,0.87383,0.67302,0.76332,0.58301,0.86828,0.67969,0.76566,0.57428,0.84813,1.27259,0.75366,0.98349,0,0.0007888,0.0007888,0.0007888
66,866.708,0.92004,1.30938,0.77393,0.96588,0,0.84606,0.70067,0.77592,0.5879,0.84452,0.69781,0.77232,0.56858,0.84433,1.25856,0.73749,0.98881,0,0.0007855,0.0007855,0.0007855
67,879.336,0.94014,1.30067,0.7727,0.96741,0,0.84193,0.69971,0.77299,0.59222,0.84245,0.69326,0.77238,0.57791,0.84104,1.26921,0.76845,0.98421,0,0.0007822,0.0007822,0.0007822
68,892.686,0.9347,1.30331,0.78433,0.97475,0,0.88272,0.68161,0.77074,0.59168,0.88704,0.67969,0.77035,0.58566,0.82324,1.23747,0.74414,0.97831,0,0.0007789,0.0007789,0.0007789
