epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0856,3.74908,4.70758,3.50838,2.98381,0,0.00304,0.16778,0.00156,0.00041,0,0,0,0,3.65836,5.69112,3.79497,2.70794,0,0.000325581,0.000325581,0.0677674
2,31.9804,2.81148,3.76496,2.49406,2.25647,0,0.02042,0.18112,0.07137,0.02278,0.0072,0.06387,0.0154,0.00175,3.35083,5.16522,4.40891,2.44894,0,0.00065674,0.00065674,0.0347653
3,46.3161,2.35124,3.31997,1.94121,1.89679,0,0.70711,0.25087,0.3389,0.16271,0.69637,0.24705,0.33209,0.14648,2.21722,3.61445,3.13148,1.94549,0,0.000985699,0.000985699,0.00176089
4,60.5738,2.10968,3.04157,1.74382,1.71709,0,0.69898,0.43386,0.49888,0.278,0.70906,0.44423,0.50561,0.28234,1.85896,2.99236,1.79335,1.72629,0,0.0009901,0.0009901,0.0009901
5,74.8384,1.92937,2.87889,1.60056,1.58233,0,0.71384,0.48141,0.54982,0.31215,0.71355,0.4868,0.55285,0.31758,1.74494,2.77297,1.56618,1.62402,0,0.0009868,0.0009868,0.0009868
6,88.5007,1.75753,2.70215,1.46998,1.47074,0,0.70583,0.51954,0.56611,0.33235,0.70065,0.52145,0.56695,0.34163,1.61991,2.66639,1.55694,1.54004,0,0.0009835,0.0009835,0.0009835
7,103.52,1.67319,2.58899,1.41489,1.41925,0,0.81734,0.52526,0.61147,0.37974,0.80289,0.52808,0.60392,0.3708,1.45866,2.53953,1.40911,1.42022,0,0.0009802,0.0009802,0.0009802
8,117.303,1.58917,2.43744,1.35293,1.36069,0,0.82839,0.54433,0.62699,0.39997,0.85322,0.52642,0.62332,0.38983,1.37116,2.45947,1.35026,1.36852,0,0.0009769,0.0009769,0.0009769
9,131.238,1.50251,2.29282,1.28825,1.32055,0,0.84544,0.53188,0.6257,0.38655,0.82737,0.53914,0.61606,0.38666,1.39636,2.38171,1.39885,1.34372,0,0.0009736,0.0009736,0.0009736
10,144.749,1.47233,2.23475,1.25891,1.28347,0,0.81258,0.52489,0.60151,0.38331,0.81906,0.5224,0.59831,0.39138,1.38259,2.2418,1.39232,1.31561,0,0.0009703,0.0009703,0.0009703
11,159.559,1.44832,2.21991,1.2438,1.2625,0,0.80494,0.52908,0.58467,0.38226,0.80568,0.52717,0.57756,0.37629,1.29408,2.20873,1.32081,1.29889,0,0.000967,0.000967,0.000967
12,173.127,1.39683,2.16648,1.1967,1.21558,0,0.82968,0.57388,0.66097,0.44674,0.85803,0.55885,0.65469,0.43699,1.22841,2.14437,1.17961,1.26155,0,0.0009637,0.0009637,0.0009637
13,187.019,1.37587,2.04907,1.19318,1.21785,0,0.80391,0.58818,0.66365,0.45312,0.81242,0.58214,0.65562,0.43576,1.23563,2.08673,1.19167,1.24755,0,0.0009604,0.0009604,0.0009604
14,200.978,1.33579,2.02359,1.14742,1.18885,0,0.74714,0.60277,0.64186,0.43301,0.74882,0.59962,0.63701,0.42845,1.21733,2.02855,1.19339,1.21163,0,0.0009571,0.0009571,0.0009571
15,215.052,1.32928,1.97486,1.1459,1.17843,0,0.85356,0.5939,0.68365,0.46822,0.84945,0.59104,0.67559,0.45609,1.20081,2.03437,1.1971,1.21429,0,0.0009538,0.0009538,0.0009538
16,228.721,1.29105,1.91366,1.09498,1.17013,0,0.83341,0.57707,0.66958,0.44622,0.84745,0.57674,0.66118,0.44842,1.23615,1.96838,1.17525,1.21483,0,0.0009505,0.0009505,0.0009505
17,243.249,1.27515,1.9058,1.09772,1.14665,0,0.86727,0.56625,0.67897,0.47984,0.87173,0.56625,0.6739,0.46439,1.12084,1.89637,1.19578,1.16811,0,0.0009472,0.0009472,0.0009472
18,256.711,1.25466,1.88782,1.08238,1.13416,0,0.85124,0.59104,0.68975,0.48835,0.85568,0.59295,0.68311,0.47604,1.10016,1.95781,1.03972,1.15804,0,0.0009439,0.0009439,0.0009439
19,271.373,1.25557,1.8883,1.06468,1.14159,0,0.85818,0.61144,0.70561,0.49539,0.8625,0.60397,0.70464,0.49266,1.12287,1.88084,1.06101,1.16454,0,0.0009406,0.0009406,0.0009406
20,285.179,1.2497,1.83121,1.06315,1.13894,0,0.87174,0.60439,0.70582,0.49762,0.87226,0.60057,0.6999,0.48481,1.1188,1.82054,1.07218,1.15474,0,0.0009373,0.0009373,0.0009373
21,298.937,1.23044,1.79563,1.03852,1.12571,0,0.86075,0.59009,0.70562,0.50569,0.86662,0.59104,0.69968,0.4867,1.08667,1.77402,1.02469,1.13477,0,0.000934,0.000934,0.000934
22,313.063,1.2247,1.79307,1.05378,1.12732,0,0.85384,0.61256,0.71168,0.51211,0.84433,0.60915,0.70394,0.49801,1.06096,1.77107,0.98679,1.13191,0,0.0009307,0.0009307,0.0009307
23,326.514,1.15161,1.71103,0.98895,1.09061,0,0.85911,0.62345,0.7127,0.51566,0.85543,0.61964,0.71096,0.50816,1.03608,1.72698,0.96662,1.11687,0,0.0009274,0.0009274,0.0009274
24,341.169,1.17386,1.755,1.01531,1.10081,0,0.89211,0.61482,0.71669,0.51602,0.90412,0.61392,0.7155,0.50435,1.04478,1.70242,0.97074,1.11631,0,0.0009241,0.0009241,0.0009241
25,354.417,1.15616,1.76212,0.98122,1.07061,0,0.8759,0.60343,0.70116,0.50541,0.88039,0.60344,0.70139,0.49095,1.02169,1.75293,0.95893,1.11017,0,0.0009208,0.0009208,0.0009208
26,367.761,1.16265,1.68422,1.00841,1.1055,0,0.77205,0.59009,0.61783,0.433,0.77426,0.58201,0.61035,0.4299,1.0667,1.74408,1.06413,1.11548,0,0.0009175,0.0009175,0.0009175
27,381.239,1.14169,1.68676,0.99391,1.09609,0,0.81864,0.64156,0.72478,0.53277,0.81742,0.64061,0.72056,0.50732,0.99552,1.66598,1.01511,1.08326,0,0.0009142,0.0009142,0.0009142
28,394.919,1.13002,1.67605,0.956,1.06279,0,0.83897,0.6511,0.73297,0.53917,0.84902,0.63394,0.72553,0.51437,0.98386,1.7216,0.93143,1.08132,0,0.0009109,0.0009109,0.0009109
29,408.377,1.1204,1.63246,0.95058,1.06867,0,0.84567,0.63206,0.72762,0.53544,0.83764,0.63298,0.72435,0.51618,0.98226,1.64438,0.93731,1.07453,0,0.0009076,0.0009076,0.0009076
30,422.316,1.11426,1.65309,0.95364,1.05629,0,0.86716,0.64061,0.72706,0.5316,0.84891,0.64273,0.72316,0.5185,1.00198,1.6536,0.93626,1.07825,0,0.0009043,0.0009043,0.0009043
31,435.823,1.11248,1.62876,0.93591,1.04816,0,0.86513,0.63584,0.72765,0.52752,0.87812,0.61392,0.71159,0.50258,1.00113,1.79932,0.94743,1.07632,0,0.000901,0.000901,0.000901
32,449.718,1.10712,1.62306,0.94005,1.06343,0,0.88467,0.63618,0.73784,0.53756,0.87799,0.63113,0.72824,0.52157,0.96862,1.59738,0.91605,1.07043,0,0.0008977,0.0008977,0.0008977
33,462.8,1.11376,1.61147,0.94429,1.06239,0,0.85894,0.63854,0.73192,0.53354,0.88701,0.62154,0.72695,0.52407,0.97284,1.61966,0.91512,1.07665,0,0.0008944,0.0008944,0.0008944
34,477.038,1.08776,1.57949,0.91456,1.04892,0,0.86496,0.65491,0.7457,0.55095,0.85567,0.63861,0.72876,0.52468,0.94619,1.59953,0.90041,1.06175,0,0.0008911,0.0008911,0.0008911
35,490.439,1.06916,1.5186,0.91094,1.04339,0,0.88143,0.64633,0.73823,0.55098,0.88238,0.64367,0.7377,0.53981,0.94311,1.54628,0.8933,1.05294,0,0.0008878,0.0008878,0.0008878
36,505.255,1.05195,1.53595,0.89162,1.03141,0,0.86323,0.66187,0.73819,0.54445,0.8672,0.65777,0.73006,0.51986,0.97052,1.6285,0.89673,1.05773,0,0.0008845,0.0008845,0.0008845
37,517.974,1.04796,1.53181,0.89561,1.03542,0,0.84001,0.66067,0.73744,0.54024,0.83758,0.65876,0.73351,0.53034,0.96888,1.58094,0.87947,1.0606,0,0.0008812,0.0008812,0.0008812
38,531.413,1.03492,1.49883,0.87156,1.02681,0,0.85963,0.65386,0.73675,0.55222,0.85406,0.64633,0.73024,0.51777,0.93235,1.5951,0.89616,1.04805,0,0.0008779,0.0008779,0.0008779
39,545.043,1.03374,1.49672,0.87912,1.03372,0,0.8629,0.6511,0.74394,0.56101,0.85532,0.64538,0.73574,0.53183,0.89727,1.52253,0.83453,1.03931,0,0.0008746,0.0008746,0.0008746
