epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7429,1.10097,2.19875,1.94607,0.99518,0,0.00442,0.24404,0.02391,0.01035,0,0,0,0,3.33138,44.6864,3.95188,1.91914,0,0.000325581,0.000325581,0.0677674
2,29.957,0.97951,1.53263,1.19943,0.94759,0,0.67105,0.43756,0.41437,0.32692,0.66667,0.4347,0.4126,0.28456,1.15143,3.19296,3.49559,1.0546,0,0.00065674,0.00065674,0.0347653
3,43.7091,0.95211,1.49505,1.04301,0.93223,0,0.80941,0.60153,0.67248,0.5087,0.80453,0.59641,0.65289,0.45116,0.85136,1.94052,1.27514,0.91664,0,0.000985699,0.000985699,0.00176089
4,57.289,0.94125,1.39169,0.99168,0.92736,0,0.80458,0.62798,0.70241,0.5479,0.79621,0.6244,0.69385,0.51491,0.82275,1.93144,1.05341,0.92742,0,0.0009901,0.0009901,0.0009901
5,70.8649,0.89326,1.31705,0.91655,0.917,0,0.8588,0.62618,0.72273,0.5695,0.86587,0.62156,0.71872,0.5473,0.75231,1.29291,1.02603,0.91041,0,0.0009868,0.0009868,0.0009868
6,83.3554,0.87517,1.29842,0.89926,0.91425,0,0.82181,0.58475,0.68562,0.53976,0.81395,0.58627,0.68566,0.51404,0.79193,1.36067,1.06737,0.93151,0,0.0009835,0.0009835,0.0009835
7,96.7779,0.85527,1.23437,0.85349,0.9099,0,0.88716,0.66703,0.75356,0.59979,0.88917,0.66921,0.75256,0.58248,0.75186,1.20417,0.79963,0.90853,0,0.0009802,0.0009802,0.0009802
8,109.621,0.85198,1.20604,0.82612,0.90174,0,0.85819,0.65766,0.7359,0.58802,0.87124,0.65146,0.7345,0.57135,0.76918,1.21686,0.80316,0.91288,0,0.0009769,0.0009769,0.0009769
9,122.714,0.81476,1.15129,0.80407,0.89818,0,0.89035,0.6816,0.76633,0.61057,0.88288,0.67588,0.76337,0.57198,0.71202,1.26945,0.76817,0.90339,0,0.0009736,0.0009736,0.0009736
10,135.842,0.80993,1.15005,0.78087,0.89765,0,0.86285,0.65973,0.75023,0.60653,0.86395,0.66587,0.74811,0.57524,0.72016,1.27154,0.80609,0.90054,0,0.0009703,0.0009703,0.0009703
11,149.489,0.81581,1.1955,0.79866,0.89856,0,0.87598,0.68255,0.76447,0.61914,0.86862,0.68065,0.76054,0.58069,0.71734,1.33751,0.74647,0.8971,0,0.000967,0.000967,0.000967
12,163.019,0.80726,1.19312,0.77492,0.89071,0,0.90958,0.65212,0.74332,0.60296,0.91563,0.64919,0.73995,0.58418,0.70008,1.13299,0.95329,0.8978,0,0.0009637,0.0009637,0.0009637
13,175.872,0.7754,1.09909,0.73544,0.88553,0,0.88109,0.69221,0.78255,0.63797,0.87251,0.69157,0.77671,0.59947,0.6885,1.15322,0.75915,0.89025,0,0.0009604,0.0009604,0.0009604
14,189.327,0.79806,1.1218,0.74963,0.88717,0,0.85617,0.66349,0.75518,0.61565,0.86048,0.66438,0.75418,0.59849,0.68673,1.12507,0.87617,0.88803,0,0.0009571,0.0009571,0.0009571
15,202.159,0.79322,1.12044,0.73079,0.88734,0,0.87445,0.70257,0.783,0.63284,0.86852,0.69781,0.77678,0.5979,0.68062,1.19799,0.71316,0.88999,0,0.0009538,0.0009538,0.0009538
16,215.141,0.78447,1.07778,0.72161,0.88986,0,0.86826,0.69114,0.77092,0.6249,0.86065,0.69209,0.76602,0.60649,0.68792,1.10236,0.73496,0.88763,0,0.0009505,0.0009505,0.0009505
17,228.512,0.79277,1.07892,0.71217,0.89276,0,0.828,0.6959,0.75809,0.6194,0.83117,0.69876,0.75697,0.59456,0.67918,1.06802,0.73105,0.88479,0,0.0009472,0.0009472,0.0009472
18,241.26,0.76903,1.11038,0.69903,0.88132,0,0.88554,0.67588,0.76856,0.62871,0.88305,0.67398,0.7676,0.60636,0.68314,1.18659,0.81223,0.88753,0,0.0009439,0.0009439,0.0009439
19,255.053,0.77334,1.10251,0.7035,0.88189,0,0.87115,0.6959,0.78424,0.6374,0.86845,0.6959,0.77714,0.59587,0.65405,1.10491,0.8235,0.88498,0,0.0009406,0.0009406,0.0009406
20,267.681,0.78902,1.08172,0.71023,0.89139,0,0.8693,0.67016,0.77259,0.62723,0.89122,0.65682,0.76846,0.60237,0.66195,1.18596,1.018,0.88772,0,0.0009373,0.0009373,0.0009373
21,280.5,0.75499,1.06701,0.67835,0.88102,0,0.89531,0.69685,0.78999,0.64181,0.89653,0.69781,0.79003,0.61951,0.65489,1.11117,0.84348,0.88495,0,0.000934,0.000934,0.000934
22,294.419,0.74804,1.06756,0.67866,0.88056,0,0.89603,0.71687,0.79871,0.64885,0.89603,0.71687,0.79288,0.60733,0.66959,1.11344,0.67827,0.88847,0,0.0009307,0.0009307,0.0009307
23,307.369,0.74182,1.02838,0.66221,0.87566,0,0.89328,0.70216,0.78899,0.65035,0.88411,0.70257,0.78213,0.61478,0.6513,1.08006,0.71102,0.87399,0,0.0009274,0.0009274,0.0009274
24,320.52,0.75955,1.05331,0.67959,0.87741,0,0.88949,0.70594,0.79003,0.64964,0.8734,0.7102,0.78652,0.6134,0.63554,1.04634,0.65766,0.86854,0,0.0009241,0.0009241,0.0009241
25,333.833,0.76327,1.09591,0.66213,0.87162,0,0.87887,0.72626,0.79817,0.6578,0.88031,0.72164,0.79594,0.63785,0.63816,1.02515,0.65057,0.87461,0,0.0009208,0.0009208,0.0009208
26,347.156,0.73559,0.99723,0.66803,0.88163,0,0.88782,0.6959,0.79044,0.64517,0.89072,0.69399,0.78465,0.61023,0.66196,1.04387,0.68315,0.87824,0,0.0009175,0.0009175,0.0009175
27,360.08,0.73513,1.02123,0.65231,0.87868,0,0.85375,0.70676,0.77942,0.64111,0.85604,0.70734,0.77656,0.62008,0.66447,1.03646,1.06277,0.88663,0,0.0009142,0.0009142,0.0009142
28,372.52,0.74752,1.04645,0.64627,0.87233,0,0.88158,0.70829,0.79582,0.66048,0.88066,0.7105,0.79374,0.61929,0.63573,1.19789,0.78074,0.87555,0,0.0009109,0.0009109,0.0009109
29,384.708,0.73795,1.00549,0.64145,0.87357,0,0.86311,0.72736,0.79978,0.66302,0.86846,0.71878,0.79691,0.63462,0.63918,0.9853,0.68544,0.87327,0,0.0009076,0.0009076,0.0009076
30,398.176,0.74592,1.0073,0.64687,0.87053,0,0.91219,0.71973,0.80995,0.65992,0.92024,0.71306,0.80408,0.63914,0.63745,0.98077,0.61044,0.87289,0,0.0009043,0.0009043,0.0009043
31,411.335,0.75585,1.03452,0.64205,0.87274,0,0.88983,0.71497,0.80044,0.6617,0.8927,0.71377,0.79738,0.63007,0.61702,0.99291,0.65557,0.86886,0,0.000901,0.000901,0.000901
32,424.912,0.72454,0.99751,0.62909,0.87097,0,0.89054,0.72641,0.8119,0.66822,0.89054,0.72641,0.80581,0.62876,0.63049,1.00541,0.66371,0.87217,0,0.0008977,0.0008977,0.0008977
33,437.279,0.74436,1.00483,0.63857,0.87469,0,0.8812,0.70639,0.79963,0.66548,0.90446,0.69685,0.79666,0.6234,0.6275,1.04011,0.60314,0.86969,0,0.0008944,0.0008944,0.0008944
34,450.228,0.73507,0.9998,0.63001,0.86829,0,0.90999,0.69394,0.79648,0.66116,0.91113,0.69304,0.79468,0.62585,0.62405,0.97878,0.67912,0.87056,0,0.0008911,0.0008911,0.0008911
35,462.977,0.70829,0.96987,0.61259,0.86728,0,0.90701,0.70448,0.79963,0.65955,0.90579,0.70353,0.79435,0.62234,0.63651,1.10581,0.66058,0.87874,0,0.0008878,0.0008878,0.0008878
36,476.569,0.70798,0.94881,0.60731,0.86395,0,0.91455,0.69382,0.7932,0.65656,0.90786,0.69507,0.79132,0.626,0.62822,1.01142,0.75741,0.8714,0,0.0008845,0.0008845,0.0008845
