epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5747,3.32985,4.28316,2.76122,2.97736,0,0,0,0,0,0,0,0,0,3.85863,5.38752,4.41604,2.87075,0,0.000325581,0.000325581,0.0677674
2,32.447,2.27092,3.0712,1.63374,2.15082,0,0.53289,0.07722,0.05568,0.03247,0.27632,0.04004,0.02044,0.00407,2.86157,5.4325,4.39989,2.38287,0,0.00065674,0.00065674,0.0347653
3,47.496,1.9138,2.70705,1.33195,1.75661,0,0.93313,0.45226,0.57406,0.33163,0.92825,0.444,0.5554,0.27765,1.82498,3.1142,1.94776,1.83058,0,0.000985699,0.000985699,0.00176089
4,62.4588,1.67315,2.4348,1.2146,1.55067,0,0.86827,0.57388,0.66466,0.43434,0.86682,0.57293,0.65853,0.44814,1.39788,2.2186,1.26706,1.53952,0,0.0009901,0.0009901,0.0009901
5,77.9206,1.51716,2.26037,1.14155,1.42765,0,0.86997,0.57197,0.67265,0.45114,0.88418,0.56765,0.66525,0.45293,1.2695,2.13644,1.13807,1.43373,0,0.0009868,0.0009868,0.0009868
6,92.336,1.35942,2.13485,1.04429,1.32366,0,0.88509,0.59771,0.69577,0.48501,0.89454,0.5939,0.68986,0.47524,1.14759,2.02443,1.0467,1.32573,0,0.0009835,0.0009835,0.0009835
7,107.388,1.27955,2.00284,1.00048,1.2613,0,0.82233,0.61392,0.70874,0.49931,0.82425,0.61582,0.70707,0.48657,1.1049,1.90618,1.10571,1.27298,0,0.0009802,0.0009802,0.0009802
8,122.164,1.26029,1.89722,0.95972,1.23268,0,0.81058,0.61964,0.69878,0.49716,0.80809,0.61773,0.69731,0.48506,1.11304,1.89479,0.98463,1.25565,0,0.0009769,0.0009769,0.0009769
9,137.027,1.1705,1.80472,0.91569,1.17571,0,0.8441,0.64002,0.72659,0.53491,0.83218,0.64287,0.72432,0.51491,0.99346,1.78184,0.87258,1.17895,0,0.0009736,0.0009736,0.0009736
10,151.398,1.13216,1.76531,0.88764,1.14482,0,0.84779,0.63714,0.72843,0.54608,0.84301,0.6368,0.7228,0.51839,0.9333,1.74597,0.88881,1.13441,0,0.0009703,0.0009703,0.0009703
11,166.942,1.09058,1.76533,0.87072,1.11357,0,0.89058,0.65396,0.74886,0.55799,0.88864,0.65205,0.74616,0.52864,0.92613,1.64334,0.82982,1.13079,0,0.000967,0.000967,0.000967
12,181.726,1.09402,1.74587,0.85686,1.09192,0,0.81175,0.62072,0.70426,0.53326,0.81175,0.62072,0.7053,0.5039,0.90696,1.69249,0.88859,1.11327,0,0.0009637,0.0009637,0.0009637
13,195.565,1.04346,1.6203,0.83861,1.08799,0,0.87389,0.64728,0.73617,0.55635,0.88497,0.63298,0.73654,0.53011,0.91894,1.57673,0.80666,1.11337,0,0.0009604,0.0009604,0.0009604
14,209.228,1.04191,1.63396,0.83229,1.07761,0,0.87212,0.64919,0.75074,0.57072,0.87042,0.65315,0.75389,0.54604,0.89373,1.52991,0.78178,1.09984,0,0.0009571,0.0009571,0.0009571
15,223.675,1.0237,1.60891,0.82129,1.0623,0,0.90888,0.65606,0.75959,0.57836,0.89573,0.65777,0.7578,0.54961,0.88555,1.54604,0.77726,1.08858,0,0.0009538,0.0009538,0.0009538
16,238.63,0.98526,1.54607,0.78892,1.05197,0,0.88966,0.65682,0.75295,0.57244,0.873,0.66063,0.75104,0.55448,0.89879,1.50341,0.78181,1.08594,0,0.0009505,0.0009505,0.0009505
17,253.006,0.99619,1.53348,0.79136,1.04929,0,0.89637,0.65965,0.76355,0.58645,0.90596,0.6511,0.76091,0.56303,0.85226,1.55032,0.77173,1.06664,0,0.0009472,0.0009472,0.0009472
18,267.664,0.97068,1.50879,0.77328,1.03233,0,0.90398,0.67311,0.77546,0.59049,0.90142,0.6712,0.77279,0.5727,0.87428,1.51071,0.73222,1.05648,0,0.0009439,0.0009439,0.0009439
19,282.894,0.96944,1.53726,0.77134,1.0332,0,0.89772,0.66921,0.7676,0.5915,0.89159,0.66643,0.76254,0.56121,0.8521,1.41153,0.7277,1.05497,0,0.0009406,0.0009406,0.0009406
20,297.259,0.99442,1.46936,0.77709,1.04365,0,0.89004,0.67112,0.75517,0.58054,0.88937,0.66921,0.7549,0.55626,0.84445,1.47288,0.73847,1.04979,0,0.0009373,0.0009373,0.0009373
21,312.528,0.96196,1.44685,0.75205,1.03487,0,0.86552,0.67207,0.76143,0.58745,0.85722,0.67112,0.76123,0.57688,0.83937,1.42017,0.75487,1.04865,0,0.000934,0.000934,0.000934
22,327.205,0.95625,1.43533,0.75266,1.03122,0,0.90813,0.67847,0.77798,0.60022,0.90685,0.67752,0.77662,0.58152,0.83977,1.4285,0.72605,1.04263,0,0.0009307,0.0009307,0.0009307
23,341.705,0.91519,1.37463,0.72302,1.00839,0,0.90025,0.69018,0.77934,0.59928,0.89255,0.69304,0.77572,0.56906,0.837,1.38475,0.72704,1.04814,0,0.0009274,0.0009274,0.0009274
24,356.24,0.9351,1.41539,0.74072,1.01851,0,0.88255,0.68923,0.76459,0.59835,0.88255,0.68923,0.76292,0.57207,0.80059,1.36871,0.72682,1.03658,0,0.0009241,0.0009241,0.0009241
25,371.376,0.93912,1.43212,0.72586,1.00123,0,0.81443,0.62758,0.71902,0.57415,0.81232,0.63012,0.72132,0.55551,0.77348,1.39643,0.843,1.02185,0,0.0009208,0.0009208,0.0009208
26,385.235,0.9041,1.32701,0.73055,1.01985,0,0.92516,0.67684,0.77265,0.60096,0.92138,0.67034,0.76196,0.57114,0.80948,1.47007,0.71452,1.03831,0,0.0009175,0.0009175,0.0009175
27,399.793,0.89438,1.31882,0.70221,1.00984,0,0.88508,0.69018,0.77757,0.60961,0.88386,0.68923,0.77932,0.56601,0.81411,1.35872,0.76923,1.02813,0,0.0009142,0.0009142,0.0009142
28,413.481,0.90042,1.36175,0.69575,0.99417,0,0.87855,0.71783,0.78851,0.61783,0.87427,0.71592,0.78495,0.57868,0.77881,1.51388,0.67785,1.01695,0,0.0009109,0.0009109,0.0009109
