epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7584,2.49145,4.72414,3.51294,2.96246,0,0.00326,0.18017,0.00089,0.00019,0.00396,0.2183,0.00161,0.00036,2.24848,4.76044,3.84176,2.6322,0,0.000325581,0.000325581,0.0677674
2,34.7998,1.56541,3.66933,2.36047,2.18367,0,0.82353,0.01335,0.01346,0.00643,0.76471,0.01239,0.01265,0.00657,2.21257,4.53713,4.23428,2.5049,0,0.00065674,0.00065674,0.0347653
3,50.3771,1.26745,3.23675,1.81896,1.8581,0,0.90436,0.28846,0.43187,0.22044,0.89838,0.28655,0.42808,0.22918,1.13565,3.37904,2.56183,1.8677,0,0.000985699,0.000985699,0.00176089
4,65.3082,1.10744,2.96308,1.56197,1.67049,0,0.37636,0.27645,0.24052,0.10144,0.37673,0.26736,0.23699,0.10748,1.04522,2.97874,2.2529,1.78271,0,0.0009901,0.0009901,0.0009901
5,81.2726,1.02461,2.76735,1.43071,1.55084,0,0.61228,0.44328,0.45092,0.2494,0.6116,0.44328,0.44873,0.27123,0.80461,2.6441,1.68752,1.59905,0,0.0009868,0.0009868,0.0009868
6,96.7689,0.9329,2.59752,1.3224,1.44653,0,0.82656,0.52246,0.59669,0.37476,0.83106,0.52336,0.59144,0.38592,0.68748,2.52078,1.31566,1.45611,0,0.0009835,0.0009835,0.0009835
7,112.78,0.88184,2.46836,1.24856,1.38077,0,0.67464,0.46997,0.5144,0.32146,0.67095,0.46068,0.49976,0.31277,0.69821,2.76197,2.5401,1.45516,0,0.0009802,0.0009802,0.0009802
8,128.587,0.84254,2.30346,1.19677,1.33462,0,0.83091,0.54337,0.6264,0.41334,0.82456,0.54814,0.6238,0.40948,0.61444,2.21967,1.2653,1.35787,0,0.0009769,0.0009769,0.0009769
9,143.364,0.79163,2.19022,1.13261,1.27704,0,0.86519,0.59347,0.67345,0.45579,0.8638,0.59251,0.67182,0.44985,0.55121,2.15891,1.05298,1.28527,0,0.0009736,0.0009736,0.0009736
10,159.081,0.75795,2.1425,1.09968,1.24448,0,0.84268,0.58055,0.66492,0.44685,0.83886,0.58341,0.66655,0.44912,0.55396,2.13039,1.25511,1.27072,0,0.0009703,0.0009703,0.0009703
11,174.913,0.75336,2.10795,1.08542,1.22461,0,0.87628,0.57579,0.67595,0.45791,0.88052,0.57769,0.67442,0.45835,0.542,1.98866,1.06323,1.25329,0,0.000967,0.000967,0.000967
12,190.636,0.69959,2.08624,1.03818,1.18273,0,0.85654,0.60153,0.6844,0.47768,0.85238,0.60248,0.68331,0.47648,0.50896,1.95442,0.96311,1.21608,0,0.0009637,0.0009637,0.0009637
13,206.136,0.70803,1.9677,1.01393,1.1837,0,0.84649,0.57296,0.67188,0.45591,0.84693,0.56437,0.66659,0.45519,0.55279,1.91453,1.16871,1.22649,0,0.0009604,0.0009604,0.0009604
14,221.958,0.69494,1.94841,1.00839,1.16263,0,0.86318,0.60248,0.70314,0.49526,0.8685,0.60343,0.70505,0.49542,0.50838,1.82063,0.98827,1.17126,0,0.0009571,0.0009571,0.0009571
15,237.401,0.65503,1.89137,0.98798,1.14309,0,0.88507,0.602,0.70654,0.49967,0.89068,0.60581,0.70844,0.48843,0.50708,1.88245,1.00283,1.17856,0,0.0009538,0.0009538,0.0009538
16,252.009,0.6443,1.86292,0.96224,1.13891,0,0.84827,0.6129,0.69484,0.49523,0.84869,0.6101,0.6942,0.48763,0.52439,1.7704,0.9962,1.15983,0,0.0009505,0.0009505,0.0009505
17,267.84,0.63246,1.81238,0.95578,1.11867,0,0.87642,0.60629,0.71008,0.50543,0.88059,0.61162,0.71488,0.4989,0.51799,1.72019,0.94171,1.14819,0,0.0009472,0.0009472,0.0009472
