epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5488,3.77957,4.87518,3.65812,2.96574,0,0.00371,0.20496,0.00213,0.00058,0.00261,0.14395,0.00113,0.00027,3.5986,4.96658,3.80669,2.58344,0,0.000325581,0.000325581,0.0677674
2,37.2356,2.81549,3.81697,2.52669,2.17051,0,0,0,0,0,0,0,0,0,3.61676,5.10949,4.85935,2.34805,0,0.00065674,0.00065674,0.0347653
3,53.6969,2.29566,3.27443,1.88626,1.76476,0,0.87247,0.33912,0.45351,0.23413,0.85285,0.33149,0.43773,0.20726,2.10602,3.68104,2.50714,1.76073,0,0.000985699,0.000985699,0.00176089
4,70.3598,2.0172,2.93562,1.62974,1.57917,0,0.72259,0.40227,0.48653,0.2398,0.71263,0.41087,0.48651,0.2683,1.90698,2.96603,1.8263,1.61358,0,0.0009901,0.0009901,0.0009901
5,89.1243,1.817,2.71428,1.47612,1.44824,0,0.8458,0.52431,0.60327,0.3487,0.84896,0.5251,0.60271,0.36206,1.63425,2.7555,1.36753,1.47068,0,0.0009868,0.0009868,0.0009868
6,107.916,1.67459,2.54423,1.37435,1.37167,0,0.79023,0.4919,0.57788,0.3479,0.78307,0.48904,0.57129,0.37658,1.48034,2.46011,1.46266,1.37478,0,0.0009835,0.0009835,0.0009835
7,127.021,1.60884,2.3858,1.29856,1.32843,0,0.84164,0.53194,0.63255,0.40771,0.87004,0.51692,0.61541,0.37753,1.35464,2.62092,1.21057,1.31779,0,0.0009802,0.0009802,0.0009802
8,146.464,1.49188,2.23056,1.22469,1.26516,0,0.85741,0.55863,0.65073,0.43186,0.8618,0.56149,0.65239,0.44001,1.26784,2.16428,1.13126,1.26493,0,0.0009769,0.0009769,0.0009769
9,164.656,1.42311,2.10799,1.17979,1.23796,0,0.84099,0.56435,0.66296,0.4421,0.85139,0.55481,0.6506,0.43596,1.22437,2.15849,1.0845,1.2194,0,0.0009736,0.0009736,0.0009736
10,183.565,1.36404,2.06033,1.13977,1.1994,0,0.8783,0.54147,0.6535,0.4392,0.87347,0.53961,0.65142,0.4517,1.18765,1.99227,1.1869,1.18749,0,0.0009703,0.0009703,0.0009703
