epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5964,3.98923,5.5421,3.77299,3.04851,0,0.00328,0.18112,0.00065,0.00014,0.00223,0.12297,0.00029,6e-05,3.39021,4.70545,3.83306,2.58929,0,0.000325581,0.000325581,0.0677674
2,57.8623,3.39043,4.49554,3.48158,2.40105,0,0,0,0,0,0,0,0,0,3.46529,5.13817,4.01828,2.39692,0,0.00065674,0.00065674,0.0347653
3,82.6666,2.86557,4.16397,2.70171,2.03842,0,0.33341,0.14114,0.12405,0.03396,0.21852,0.102,0.06011,0.01241,2.71793,4.4516,3.02374,2.20349,0,0.000985699,0.000985699,0.00176089
4,109.301,2.5047,3.79324,2.22742,1.81354,0,0.42488,0.23642,0.2248,0.08397,0.43078,0.2183,0.20744,0.07017,2.36678,3.98714,2.89533,1.92362,0,0.0009901,0.0009901,0.0009901
5,135.771,2.27016,3.51766,1.98552,1.67093,0,0.66836,0.37178,0.40905,0.21252,0.67076,0.35081,0.38707,0.18063,1.96504,3.73035,1.99675,1.61712,0,0.0009868,0.0009868,0.0009868
6,159.313,2.07549,3.30609,1.79542,1.55065,0,0.71354,0.39943,0.44927,0.25398,0.72001,0.3918,0.44464,0.25176,1.78461,3.23041,2.02201,1.5658,0,0.0009835,0.0009835,0.0009835
7,185.436,1.97171,3.13834,1.68029,1.49637,0,0.7541,0.46482,0.52101,0.30607,0.74937,0.46459,0.51409,0.28629,1.7084,3.0923,1.69087,1.48837,0,0.0009802,0.0009802,0.0009802
8,210.695,1.85551,2.9823,1.58316,1.43672,0,0.76007,0.4652,0.53254,0.33701,0.76474,0.46806,0.53023,0.32687,1.53811,2.79369,1.57951,1.38003,0,0.0009769,0.0009769,0.0009769
9,235.631,1.74411,2.81229,1.49767,1.37654,0,0.78426,0.49762,0.56448,0.35254,0.77825,0.4938,0.56109,0.3509,1.4933,2.73446,1.40877,1.34142,0,0.0009736,0.0009736,0.0009736
10,262.034,1.71838,2.73675,1.45116,1.35319,0,0.77962,0.50586,0.57453,0.34779,0.79754,0.49952,0.57082,0.34437,1.55314,2.66971,1.34989,1.36463,0,0.0009703,0.0009703,0.0009703
