epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7062,3.89242,5.16649,3.67261,3.03581,0,0.00301,0.16587,0.00053,0.00013,0.0023,0.12679,0.00032,6e-05,3.46405,4.60197,3.84538,2.59533,0,0.000325581,0.000325581,0.0677674
2,35.3312,3.10003,4.21874,3.04013,2.31155,0,0,0,0,0,0,0,0,0,3.59964,4.55344,4.63052,2.44146,0,0.00065674,0.00065674,0.0347653
3,51.7041,2.71181,3.83814,2.39751,1.98537,0,0.2,0.04099,0.01254,0.00468,0.17674,0.03622,0.01033,0.00208,2.91556,4.46385,4.45335,2.2565,0,0.000985699,0.000985699,0.00176089
4,67.5279,2.43276,3.55737,2.086,1.8229,0,0.65393,0.19638,0.26974,0.12708,0.64123,0.19256,0.25635,0.09525,2.23652,3.77902,2.79002,1.88204,0,0.0009901,0.0009901,0.0009901
5,84.244,2.26356,3.34498,1.94037,1.70314,0,0.67483,0.37846,0.42839,0.21702,0.67407,0.37083,0.41399,0.17657,2.06556,4.58254,1.91996,1.75185,0,0.0009868,0.0009868,0.0009868
6,100.735,2.08358,3.21487,1.80641,1.5973,0,0.62297,0.35441,0.39954,0.21208,0.61137,0.36034,0.40199,0.20506,1.98011,3.35684,1.98415,1.69467,0,0.0009835,0.0009835,0.0009835
7,117.269,1.98574,3.0666,1.69401,1.53897,0,0.75384,0.40515,0.48397,0.28821,0.74489,0.40918,0.47827,0.27619,1.6843,2.93982,1.69088,1.49209,0,0.0009802,0.0009802,0.0009802
8,133.157,1.89001,2.91714,1.6218,1.47097,0,0.72215,0.41563,0.48255,0.28172,0.72215,0.41563,0.47721,0.26358,1.7201,2.99046,1.66327,1.46839,0,0.0009769,0.0009769,0.0009769
9,149.037,1.74685,2.74707,1.52678,1.40632,0,0.68328,0.45039,0.51199,0.31635,0.68333,0.44805,0.50463,0.30392,1.58284,2.75488,1.51986,1.41121,0,0.0009736,0.0009736,0.0009736
10,165.236,1.70288,2.69901,1.47763,1.37447,0,0.78841,0.47188,0.5562,0.34958,0.81505,0.4633,0.55455,0.34936,1.48598,2.59016,1.41543,1.35422,0,0.0009703,0.0009703,0.0009703
11,181.218,1.67456,2.64531,1.45532,1.34081,0,0.82703,0.48332,0.57435,0.36647,0.82213,0.48046,0.56416,0.35188,1.47153,2.70093,1.41806,1.35452,0,0.000967,0.000967,0.000967
12,197.041,1.60249,2.57083,1.38134,1.28893,0,0.86639,0.48808,0.59483,0.38913,0.82958,0.49666,0.59129,0.38224,1.44611,2.38467,1.32649,1.33213,0,0.0009637,0.0009637,0.0009637
13,213.09,1.54086,2.43734,1.35712,1.27554,0,0.78351,0.51668,0.60183,0.39381,0.77843,0.51668,0.59613,0.38612,1.39627,2.46725,1.42091,1.31075,0,0.0009604,0.0009604,0.0009604
