epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.044,2.38149,5.27102,4.76782,2.96268,0,0.00017,0.00953,0,0,0.00012,0.00667,0,0,2.53777,4.66543,4.33866,2.77674,0,0.000325581,0.000325581,0.0677674
2,60.7388,1.94992,4.53994,3.82698,2.37053,0,0,0,0,0,0,0,0,0,1.96249,4.99518,4.2417,2.40771,0,0.00065674,0.00065674,0.0347653
3,87.6657,1.53466,4.2823,3.38487,2.03951,0,0.00566,0.30505,0.03332,0.01076,0.00514,0.27741,0.03459,0.01175,1.69871,4.5769,3.94142,2.18665,0,0.000985699,0.000985699,0.00176089
4,113.122,1.30918,3.89457,2.98909,1.80658,0,0.47022,0.17159,0.16333,0.06616,0.47231,0.17236,0.15974,0.05655,1.35321,3.98457,3.42801,1.90324,0,0.0009901,0.0009901,0.0009901
5,139.848,1.19138,3.55229,2.57868,1.6744,0,0.57534,0.31642,0.33322,0.16576,0.59448,0.31268,0.33406,0.16397,0.98539,3.37362,2.68892,1.65583,0,0.0009868,0.0009868,0.0009868
6,167.09,1.07032,3.29962,2.28068,1.53996,0,0.7006,0.37178,0.42368,0.21705,0.71851,0.36743,0.42659,0.21585,0.90854,3.1906,2.96864,1.57697,0,0.0009835,0.0009835,0.0009835
7,192.623,1.01007,3.12579,2.07476,1.46648,0,0.69091,0.41182,0.44634,0.23464,0.68678,0.41182,0.4462,0.23151,0.86178,3.05824,2.32286,1.50446,0,0.0009802,0.0009802,0.0009802
8,220.115,0.97057,2.96992,1.9836,1.41362,0,0.64431,0.43947,0.46738,0.27228,0.63978,0.44423,0.47119,0.27835,0.74223,2.7219,2.11179,1.38619,0,0.0009769,0.0009769,0.0009769
9,248.15,0.90057,2.7829,1.81747,1.34539,0,0.72925,0.46139,0.53288,0.31398,0.73146,0.46235,0.53294,0.31753,0.71146,2.70466,1.92736,1.34882,0,0.0009736,0.0009736,0.0009736
10,275.038,0.87278,2.71957,1.75907,1.31634,0,0.72616,0.47019,0.52583,0.3117,0.72662,0.47188,0.52796,0.32668,0.68822,2.60551,1.89013,1.31878,0,0.0009703,0.0009703,0.0009703
11,301.836,0.83476,2.67348,1.70529,1.28081,0,0.75853,0.4971,0.57012,0.34299,0.76283,0.51001,0.57927,0.3585,0.69611,2.49806,1.8707,1.31613,0,0.000967,0.000967,0.000967
12,328.88,0.80689,2.61918,1.61637,1.25594,0,0.77146,0.45472,0.53424,0.32229,0.76481,0.45853,0.5342,0.33388,0.6507,2.43255,1.74993,1.27624,0,0.0009637,0.0009637,0.0009637
13,354.135,0.78044,2.49435,1.58506,1.23239,0,0.68439,0.45281,0.50928,0.31525,0.68964,0.45754,0.51019,0.30776,0.60544,2.39636,1.8038,1.2242,0,0.0009604,0.0009604,0.0009604
14,381.52,0.76893,2.46731,1.52467,1.2135,0,0.64202,0.49762,0.52782,0.33058,0.67201,0.48713,0.52877,0.32546,0.62288,2.39811,1.67984,1.21782,0,0.0009571,0.0009571,0.0009571
15,407.864,0.73744,2.4135,1.52465,1.19776,0,0.78855,0.51954,0.5988,0.39234,0.79,0.5205,0.59895,0.39978,0.58328,2.27147,1.61843,1.196,0,0.0009538,0.0009538,0.0009538
16,433.136,0.6968,2.31472,1.44959,1.17367,0,0.77398,0.53765,0.60538,0.39568,0.78368,0.5348,0.60332,0.39899,0.55106,2.23776,1.58608,1.16523,0,0.0009505,0.0009505,0.0009505
17,459.736,0.70002,2.29691,1.44654,1.16691,0,0.63353,0.48618,0.52384,0.33466,0.63642,0.48522,0.52434,0.32838,0.55504,2.20717,1.68789,1.16016,0,0.0009472,0.0009472,0.0009472
18,485.606,0.67974,2.31142,1.42619,1.15145,0,0.76394,0.54915,0.61696,0.38804,0.75875,0.54814,0.61122,0.39069,0.59599,2.1187,1.48226,1.17226,0,0.0009439,0.0009439,0.0009439
19,512.125,0.66962,2.26095,1.37669,1.13793,0,0.82671,0.56911,0.64484,0.43228,0.82234,0.56721,0.64717,0.43123,0.53892,2.11126,1.39398,1.13185,0,0.0009406,0.0009406,0.0009406
20,537.84,0.66651,2.2199,1.39615,1.13955,0,0.76434,0.56891,0.61671,0.40575,0.76757,0.56911,0.61472,0.40365,0.53228,2.04793,1.42489,1.11466,0,0.0009373,0.0009373,0.0009373
21,565.708,0.6607,2.19214,1.34772,1.12493,0,0.76609,0.54951,0.60692,0.39316,0.75547,0.54433,0.60181,0.3911,0.56547,1.98859,1.49492,1.12671,0,0.000934,0.000934,0.000934
22,591.467,0.63765,2.15264,1.381,1.12005,0,0.69716,0.56053,0.61885,0.41372,0.69704,0.55767,0.61333,0.39823,0.53916,1.98726,1.41454,1.10766,0,0.0009307,0.0009307,0.0009307
23,618.251,0.59832,2.0209,1.28385,1.09198,0,0.82476,0.5698,0.65101,0.44119,0.82476,0.5698,0.65007,0.44052,0.53157,1.93306,1.34699,1.09623,0,0.0009274,0.0009274,0.0009274
24,644.488,0.61477,2.07335,1.31464,1.09771,0,0.78072,0.57293,0.64775,0.43842,0.77752,0.57007,0.64679,0.43623,0.5388,1.93476,1.35609,1.09116,0,0.0009241,0.0009241,0.0009241
25,669.584,0.5999,2.10973,1.24787,1.08612,0,0.82896,0.57292,0.64691,0.43235,0.82346,0.56911,0.64138,0.43427,0.54961,1.97947,1.39042,1.09556,0,0.0009208,0.0009208,0.0009208
26,696.066,0.60278,2.00089,1.29282,1.08754,0,0.83947,0.58055,0.6755,0.46789,0.85229,0.57102,0.67077,0.46027,0.52348,1.93419,1.30279,1.06912,0,0.0009175,0.0009175,0.0009175
27,722.774,0.59312,2.00127,1.26352,1.08055,0,0.86553,0.54051,0.66153,0.45412,0.86247,0.53861,0.65507,0.44448,0.54926,1.89263,1.33515,1.07986,0,0.0009142,0.0009142,0.0009142
28,747.443,0.5731,1.98258,1.22279,1.06588,0,0.79867,0.60439,0.67306,0.4691,0.81061,0.59164,0.66993,0.46927,0.53151,1.85353,1.30916,1.06894,0,0.0009109,0.0009109,0.0009109
29,775.277,0.56936,1.91545,1.21821,1.06492,0,0.80007,0.61038,0.68194,0.46951,0.79936,0.61147,0.68101,0.46571,0.50823,1.79539,1.27307,1.0533,0,0.0009076,0.0009076,0.0009076
30,802.38,0.56559,1.91763,1.22535,1.05547,0,0.7584,0.57754,0.64607,0.44425,0.75612,0.5796,0.64893,0.44186,0.5123,1.7865,1.30968,1.04877,0,0.0009043,0.0009043,0.0009043
31,827.861,0.55817,1.88721,1.18004,1.04916,0,0.85033,0.61201,0.70517,0.49348,0.85362,0.60597,0.70065,0.48673,0.52808,1.75839,1.22687,1.0489,0,0.000901,0.000901,0.000901
32,854.643,0.56159,1.85618,1.19204,1.04964,0,0.77479,0.59771,0.67411,0.46824,0.76782,0.58913,0.66552,0.45565,0.51894,1.76011,1.23553,1.04303,0,0.0008977,0.0008977,0.0008977
33,879.832,0.55478,1.8694,1.1949,1.05017,0,0.83812,0.60724,0.69832,0.49308,0.83408,0.6038,0.69732,0.48704,0.52485,1.73864,1.19782,1.04455,0,0.0008944,0.0008944,0.0008944
34,905.15,0.55099,1.83231,1.1828,1.04593,0,0.82942,0.60343,0.69394,0.48807,0.83503,0.59104,0.69207,0.48226,0.51259,1.76698,1.23345,1.03444,0,0.0008911,0.0008911,0.0008911
35,932.626,0.53403,1.78444,1.1445,1.03161,0,0.76398,0.60629,0.67014,0.46378,0.76278,0.60534,0.66846,0.46444,0.50586,1.73319,1.23585,1.02433,0,0.0008878,0.0008878,0.0008878
36,960.364,0.534,1.79016,1.13088,1.02968,0,0.81962,0.60724,0.69274,0.49257,0.82412,0.60248,0.68843,0.48017,0.54415,1.71492,1.2364,1.03688,0,0.0008845,0.0008845,0.0008845
37,985.862,0.53218,1.75891,1.13096,1.02997,0,0.84144,0.59693,0.69967,0.49719,0.86297,0.58834,0.70418,0.48707,0.51694,1.69808,1.16203,1.0263,0,0.0008812,0.0008812,0.0008812
38,1012.47,0.5056,1.71737,1.09304,1.01545,0,0.81497,0.6368,0.71163,0.5172,0.82054,0.63394,0.71299,0.51164,0.48346,1.63436,1.14187,1.00755,0,0.0008779,0.0008779,0.0008779
39,1039.75,0.51021,1.69062,1.10015,1.01452,0,0.8079,0.60938,0.70397,0.50003,0.80479,0.6082,0.69973,0.48391,0.50216,1.61516,1.16306,1.01498,0,0.0008746,0.0008746,0.0008746
40,1066.12,0.50698,1.72747,1.10992,1.01577,0,0.79343,0.60417,0.69307,0.49712,0.79432,0.60343,0.69058,0.48706,0.5308,1.63867,1.20027,1.022,0,0.0008713,0.0008713,0.0008713
41,1092.79,0.51901,1.71239,1.1258,1.01864,0,0.83742,0.61869,0.70379,0.4994,0.82581,0.61011,0.69638,0.48364,0.52495,1.61124,1.17457,1.0136,0,0.000868,0.000868,0.000868
42,1119.33,0.51141,1.68406,1.08696,1.00915,0,0.84324,0.6387,0.7251,0.51847,0.83821,0.63489,0.72083,0.50949,0.51572,1.60573,1.13968,1.00888,0,0.0008647,0.0008647,0.0008647
43,1145.29,0.50491,1.69312,1.09024,1.01139,0,0.81203,0.63008,0.7159,0.51202,0.80407,0.62917,0.71052,0.50069,0.52831,1.63251,1.17393,1.01302,0,0.0008614,0.0008614,0.0008614
44,1172.03,0.51795,1.71205,1.08631,1.01494,0,0.84502,0.63413,0.72564,0.51607,0.8515,0.63012,0.7263,0.5079,0.52563,1.60748,1.13712,1.01198,0,0.0008581,0.0008581,0.0008581
45,1197.32,0.49149,1.66755,1.08929,1.00188,0,0.85157,0.63445,0.73204,0.52307,0.85157,0.63445,0.72751,0.52011,0.51573,1.57004,1.16066,0.99848,0,0.0008548,0.0008548,0.0008548
46,1222.44,0.4889,1.6372,1.0651,0.99492,0,0.85175,0.6244,0.72636,0.51499,0.84915,0.6225,0.72733,0.51057,0.51938,1.52673,1.1418,1.00227,0,0.0008515,0.0008515,0.0008515
47,1248.65,0.50928,1.67563,1.07042,1.00848,0,0.82528,0.62137,0.71878,0.5168,0.82907,0.62423,0.71894,0.49959,0.52916,1.55444,1.10753,1.0035,0,0.0008482,0.0008482,0.0008482
48,1274.76,0.47312,1.61862,1.04184,0.99155,0,0.88081,0.63404,0.73869,0.53207,0.88095,0.63487,0.74098,0.53432,0.51892,1.54465,1.0811,0.99914,0,0.0008449,0.0008449,0.0008449
49,1301.4,0.49316,1.68363,1.0617,0.99556,0,0.81442,0.64428,0.72918,0.52452,0.81352,0.64877,0.73507,0.52531,0.50214,1.53664,1.11792,0.98824,0,0.0008416,0.0008416,0.0008416
50,1327.7,0.47991,1.59547,1.0678,0.993,0,0.83774,0.62997,0.72202,0.52293,0.83416,0.63291,0.71753,0.50361,0.50665,1.51377,1.08966,0.98921,0,0.0008383,0.0008383,0.0008383
51,1354.63,0.46676,1.58309,1.01431,0.98439,0,0.83287,0.63108,0.72397,0.51193,0.83834,0.6244,0.72244,0.49821,0.58043,1.50206,1.1191,1.01364,0,0.000835,0.000835,0.000835
52,1380.08,0.46725,1.57022,1.01861,0.98478,0,0.86454,0.63885,0.73716,0.53318,0.86766,0.63108,0.73537,0.52614,0.51186,1.49956,1.07966,0.98662,0,0.0008317,0.0008317,0.0008317
53,1407.54,0.47577,1.55943,0.99911,0.98743,0,0.84966,0.66826,0.74668,0.54385,0.84675,0.66367,0.74492,0.53308,0.48355,1.49403,1.06631,0.97676,0,0.0008284,0.0008284,0.0008284
54,1434.45,0.46153,1.56529,1.01115,0.98069,0,0.83625,0.64749,0.7418,0.53739,0.79809,0.66921,0.73862,0.52254,0.49872,1.45265,1.07137,0.98579,0,0.0008251,0.0008251,0.0008251
55,1459.54,0.45783,1.55016,1.00566,0.97736,0,0.80927,0.66063,0.72625,0.52513,0.8081,0.65968,0.72623,0.51104,0.51161,1.49183,1.10917,0.9852,0,0.0008218,0.0008218,0.0008218
56,1485.94,0.46401,1.54416,0.99913,0.98213,0,0.8363,0.63489,0.72776,0.52939,0.83068,0.63203,0.72659,0.5271,0.50244,1.46846,1.08294,0.97784,0,0.0008185,0.0008185,0.0008185
57,1512.49,0.45478,1.5134,1.00497,0.97598,0,0.83501,0.63298,0.71444,0.52839,0.8303,0.63584,0.71783,0.51386,0.49838,1.47123,1.06748,0.98581,0,0.0008152,0.0008152,0.0008152
