epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9878,1.09295,2.16616,1.83092,0.99784,0,0,0,0,0,0,0,0,0,2.25664,47.8622,3.97967,1.47558,0,0.000325581,0.000325581,0.0677674
2,45.6693,0.9704,1.51612,1.17098,0.95222,0,0.63248,0.4938,0.46805,0.35607,0.63248,0.4938,0.46699,0.33266,1.11348,2.47517,3.2886,1.00106,0,0.00065674,0.00065674,0.0347653
3,65.9143,0.932,1.47934,1.02532,0.93027,0,0.88553,0.57674,0.69593,0.54161,0.88233,0.57197,0.68282,0.48573,0.8717,1.85932,1.48219,0.94681,0,0.000985699,0.000985699,0.00176089
4,87.0626,0.92318,1.38087,0.96507,0.92454,0,0.78921,0.60439,0.68354,0.5354,0.78832,0.59581,0.67164,0.50115,0.85192,1.69102,1.09278,0.94698,0,0.0009901,0.0009901,0.0009901
5,107.975,0.89013,1.30459,0.90209,0.91654,0,0.84961,0.59777,0.70057,0.56531,0.84669,0.60057,0.69928,0.53344,0.75791,1.37242,0.99384,0.90647,0,0.0009868,0.0009868,0.0009868
6,128.297,0.87305,1.30029,0.87388,0.91279,0,0.7901,0.5849,0.65997,0.52259,0.82008,0.56816,0.65907,0.51341,0.80493,1.40094,1.09486,0.92068,0,0.0009835,0.0009835,0.0009835
7,148.425,0.85866,1.22601,0.83461,0.9109,0,0.8496,0.55481,0.65883,0.53203,0.85651,0.55386,0.65668,0.51228,0.74832,1.34945,1.12938,0.90838,0,0.0009802,0.0009802,0.0009802
8,168.546,0.83991,1.20024,0.81236,0.89731,0,0.8691,0.62154,0.72365,0.58215,0.86921,0.61868,0.72122,0.56218,0.72477,1.2424,0.82546,0.90923,0,0.0009769,0.0009769,0.0009769
9,188.305,0.81215,1.15057,0.79563,0.89591,0,0.89458,0.64824,0.75144,0.60605,0.8908,0.64442,0.74724,0.5628,0.70513,1.2786,0.88399,0.89628,0,0.0009736,0.0009736,0.0009736
10,209.296,0.79933,1.13535,0.7733,0.89553,0,0.88248,0.67588,0.77031,0.62325,0.88621,0.67874,0.77013,0.5988,0.6991,1.1806,0.83889,0.89718,0,0.0009703,0.0009703,0.0009703
