epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0445,3.83261,4.90181,3.67498,2.98231,0,0.0044,0.24309,0.00969,0.00293,0.00527,0.29075,0.01146,0.00308,3.41737,4.76332,3.88643,2.58136,0,0.000325581,0.000325581,0.0677674
2,27.0054,2.71396,3.68434,2.44105,2.16153,0,0,0,0,0,0,0,0,0,3.12268,4.45861,4.46807,2.34173,0,0.00065674,0.00065674,0.0347653
3,38.6326,2.17665,3.09476,1.70973,1.77979,0,0.83249,0.36954,0.47329,0.24781,0.8282,0.36764,0.46653,0.25034,2.02936,3.20826,2.37554,1.76781,0,0.000985699,0.000985699,0.00176089
4,49.7611,1.91574,2.75442,1.49726,1.57158,0,0.79727,0.46425,0.54162,0.33685,0.79727,0.46425,0.53614,0.33787,1.62565,2.76647,1.49982,1.53157,0,0.0009901,0.0009901,0.0009901
5,61.9909,1.75746,2.54647,1.36471,1.45197,0,0.81426,0.50906,0.59829,0.37291,0.80969,0.5062,0.58737,0.38108,1.47875,2.44996,1.25838,1.41514,0,0.0009868,0.0009868,0.0009868
6,73.6109,1.57978,2.36849,1.26309,1.34895,0,0.85195,0.55955,0.64114,0.41492,0.85337,0.55958,0.64332,0.42247,1.34539,2.24456,1.24149,1.33781,0,0.0009835,0.0009835,0.0009835
7,85.1003,1.45957,2.21388,1.17782,1.27954,0,0.83288,0.5653,0.65242,0.44246,0.85036,0.55767,0.64542,0.42956,1.26568,2.1837,1.21154,1.28242,0,0.0009802,0.0009802,0.0009802
8,96.2152,1.37875,2.09306,1.12434,1.22965,0,0.83873,0.58723,0.66513,0.45534,0.82729,0.58341,0.66169,0.4467,1.19787,2.1129,1.1211,1.22204,0,0.0009769,0.0009769,0.0009769
9,107.918,1.31171,1.96001,1.08044,1.20153,0,0.83216,0.58607,0.67392,0.45648,0.83399,0.58627,0.67255,0.46778,1.20685,1.98769,1.2383,1.21342,0,0.0009736,0.0009736,0.0009736
10,119.846,1.25651,1.9165,1.04157,1.17054,0,0.83158,0.59308,0.66684,0.46606,0.82999,0.59571,0.66462,0.4678,1.0902,1.83006,1.06413,1.16174,0,0.0009703,0.0009703,0.0009703
