epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2912,3.94711,44.1993,3.74957,3.02673,0,0.00292,0.16111,0.00097,0.00018,0,0,0,0,3.37579,17.0065,4.02886,2.54379,0,0.000325581,0.000325581,0.0677674
2,42.4219,3.45931,13.9921,3.60513,2.35551,0,0.00539,0.29743,0.00389,0.00094,0,0,0,0,3.19544,20.1632,4.03664,2.32671,0,0.00065674,0.00065674,0.0347653
3,62.0733,3.03239,10.8425,3.08837,2.07048,0,0.36355,0.13504,0.13389,0.04882,0.19226,0.04671,0.02747,0.00565,2.59886,15.9748,3.20618,2.09138,0,0.000985699,0.000985699,0.00176089
4,79.332,2.7273,8.38614,2.50136,1.91335,0,0.18714,0.13805,0.08377,0.02003,0.30607,0.15443,0.12257,0.03058,2.88972,13.3205,3.21201,2.4212,0,0.0009901,0.0009901,0.0009901
5,97.4923,2.51174,7.04578,2.16409,1.77041,0,0.48499,0.31935,0.31615,0.12602,0.50308,0.3041,0.28407,0.10006,2.33154,8.62215,2.38364,1.84005,0,0.0009868,0.0009868,0.0009868
6,114.443,2.27674,6.05782,1.95303,1.64072,0,0.61095,0.42135,0.43663,0.20829,0.57544,0.37083,0.36778,0.14601,2.01743,6.64787,1.88149,1.62248,0,0.0009835,0.0009835,0.0009835
7,133.093,2.16371,5.45439,1.78714,1.57878,0,0.67925,0.45377,0.4776,0.23064,0.68173,0.44328,0.4412,0.17933,1.91929,5.45531,1.74828,1.54185,0,0.0009802,0.0009802,0.0009802
8,150.355,2.06537,5.00694,1.6759,1.50511,0,0.76851,0.47188,0.5355,0.29154,0.75059,0.47338,0.52491,0.26782,1.79192,4.8471,1.53944,1.47509,0,0.0009769,0.0009769,0.0009769
9,168.653,1.95743,4.59354,1.58134,1.46041,0,0.77546,0.49762,0.56941,0.31173,0.77204,0.49857,0.5613,0.29157,1.75585,4.32461,1.44983,1.4321,0,0.0009736,0.0009736,0.0009736
10,185.638,1.91662,4.47192,1.52425,1.4301,0,0.75165,0.50334,0.57034,0.31732,0.74033,0.50715,0.56448,0.30861,1.64276,4.1404,1.48461,1.40468,0,0.0009703,0.0009703,0.0009703
11,203.593,1.84683,4.30633,1.47641,1.38969,0,0.79581,0.48999,0.56881,0.33554,0.76869,0.48787,0.55279,0.31526,1.58825,4.00001,1.3301,1.35368,0,0.000967,0.000967,0.000967
12,220.512,1.80071,4.25405,1.41971,1.34206,0,0.81561,0.52526,0.6052,0.35127,0.82275,0.52717,0.59734,0.325,1.55079,3.87007,1.34673,1.33347,0,0.0009637,0.0009637,0.0009637
13,237.873,1.72545,3.94941,1.3747,1.32683,0,0.79232,0.51192,0.59135,0.36046,0.80188,0.5016,0.56053,0.30979,1.46541,3.91436,1.30119,1.30605,0,0.0009604,0.0009604,0.0009604
14,255.184,1.68837,3.9123,1.34048,1.30147,0,0.77476,0.5312,0.60411,0.36623,0.79374,0.5224,0.5951,0.35949,1.4983,3.56155,1.27365,1.2817,0,0.0009571,0.0009571,0.0009571
15,272.725,1.67638,3.76826,1.32082,1.2872,0,0.79946,0.53861,0.61513,0.36391,0.78972,0.5367,0.60873,0.35788,1.47967,3.33415,1.25564,1.28819,0,0.0009538,0.0009538,0.0009538
16,290.153,1.6242,3.51308,1.2801,1.26784,0,0.86012,0.52754,0.61893,0.37471,0.85723,0.53098,0.61634,0.38678,1.45809,3.2494,1.29542,1.26158,0,0.0009505,0.0009505,0.0009505
17,308.775,1.6093,3.50258,1.2893,1.25411,0,0.82332,0.55672,0.64068,0.39973,0.81634,0.5466,0.61743,0.3681,1.38287,3.32047,1.20673,1.23719,0,0.0009472,0.0009472,0.0009472
