epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5348,1.16185,2.24779,1.91261,1.09591,0,0.00376,0.03527,0.00013,4e-05,0.0002,0.00191,1e-05,0,2.30146,72.3524,3.99921,1.55108,0,0.000325581,0.000325581,0.0677674
2,38.0117,1.02878,1.53783,1.224,1.01471,0,0.31533,0.44519,0.31875,0.23436,0.29372,0.41468,0.28787,0.18964,1.25755,4.27666,3.37879,1.09572,0,0.00065674,0.00065674,0.0347653
3,56.1527,0.99224,1.51529,1.09373,0.99383,0,0.57774,0.47188,0.49632,0.37116,0.57201,0.46235,0.46782,0.27078,0.94191,3.99559,1.77975,1.01624,0,0.000985699,0.000985699,0.00176089
4,73.0629,0.97983,1.4157,1.02523,0.98273,0,0.70197,0.62726,0.63839,0.47748,0.69585,0.56269,0.55987,0.34556,0.94328,4.09368,1.23972,1.02554,0,0.0009901,0.0009901,0.0009901
5,91.488,0.95213,1.32144,0.96793,0.98438,0,0.87547,0.62996,0.73853,0.56471,0.88015,0.63012,0.73374,0.52856,0.86668,1.61801,1.25587,1.03437,0,0.0009868,0.0009868,0.0009868
6,108.234,0.92514,1.32149,0.92965,0.9711,0,0.87078,0.64241,0.74292,0.5686,0.87466,0.64526,0.74082,0.5439,0.8277,1.34354,1.12541,0.99848,0,0.0009835,0.0009835,0.0009835
7,125.599,0.89598,1.24267,0.89439,0.95887,0,0.71884,0.59713,0.64541,0.50683,0.7168,0.5984,0.6384,0.4518,0.84645,1.56451,1.86049,1.01798,0,0.0009802,0.0009802,0.0009802
8,143.737,0.88704,1.21542,0.86746,0.95702,0,0.86766,0.61876,0.73222,0.57464,0.82018,0.64252,0.72739,0.55944,0.80096,1.25881,0.90269,0.98584,0,0.0009769,0.0009769,0.0009769
9,160.822,0.857,1.1691,0.8381,0.94738,0,0.87028,0.66513,0.74563,0.58986,0.87299,0.66181,0.74388,0.56595,0.79762,1.31453,0.91412,0.99519,0,0.0009736,0.0009736,0.0009736
10,177.482,0.8508,1.15699,0.81446,0.94134,0,0.90074,0.68339,0.77546,0.6091,0.90102,0.68446,0.7761,0.59854,0.77248,1.18777,0.83881,0.98795,0,0.0009703,0.0009703,0.0009703
11,195.461,0.84204,1.20656,0.81858,0.93538,0,0.88372,0.68827,0.76724,0.5972,0.87912,0.67946,0.75754,0.55209,0.79084,1.33926,0.84803,0.99216,0,0.000967,0.000967,0.000967
12,212.947,0.85172,1.21631,0.81082,0.93146,0,0.87055,0.6387,0.75197,0.59727,0.87161,0.64714,0.75005,0.57726,0.78057,1.25685,0.89423,0.98302,0,0.0009637,0.0009637,0.0009637
13,229.973,0.82694,1.13032,0.79348,0.93726,0,0.88692,0.67302,0.77557,0.61371,0.88566,0.67207,0.7714,0.60571,0.76507,1.17106,0.83726,0.98441,0,0.0009604,0.0009604,0.0009604
14,247.151,0.84266,1.14742,0.79094,0.9369,0,0.84487,0.68255,0.7617,0.58836,0.85058,0.68637,0.76048,0.58283,0.78131,1.13662,0.93547,0.98052,0,0.0009571,0.0009571,0.0009571
15,264.077,0.83045,1.1303,0.77532,0.9284,0,0.88915,0.6729,0.76507,0.60865,0.89326,0.66214,0.7602,0.58467,0.75504,1.32872,0.8631,0.96465,0,0.0009538,0.0009538,0.0009538
16,281.462,0.82094,1.08827,0.75416,0.92866,0,0.88652,0.68637,0.76747,0.60514,0.88297,0.68446,0.76877,0.60346,0.75189,1.12164,0.815,0.97869,0,0.0009505,0.0009505,0.0009505
17,296.447,0.82025,1.11198,0.75817,0.93076,0,0.84481,0.67462,0.75619,0.5976,0.84481,0.67462,0.75224,0.58315,0.77328,1.17911,0.82637,0.98392,0,0.0009472,0.0009472,0.0009472
18,309.57,0.80075,1.10658,0.73707,0.91828,0,0.89044,0.69728,0.78551,0.62173,0.89046,0.69743,0.78938,0.60584,0.73785,1.13858,0.89705,0.96785,0,0.0009439,0.0009439,0.0009439
19,325.626,0.81337,1.12927,0.73847,0.92112,0,0.83687,0.68541,0.76862,0.61138,0.84036,0.68827,0.76859,0.59133,0.71937,1.16186,0.85677,0.95712,0,0.0009406,0.0009406,0.0009406
20,340.821,0.82355,1.09353,0.73849,0.9285,0,0.82666,0.69399,0.76795,0.61598,0.82499,0.68756,0.76304,0.59927,0.71453,1.13974,0.94491,0.95441,0,0.0009373,0.0009373,0.0009373
21,359.07,0.79126,1.0693,0.71097,0.91909,0,0.90404,0.67779,0.77993,0.6223,0.90658,0.67969,0.77675,0.59855,0.71244,1.19586,0.9713,0.95733,0,0.000934,0.000934,0.000934
22,376.581,0.78864,1.08284,0.72192,0.91949,0,0.86039,0.71592,0.79466,0.62829,0.86154,0.71687,0.79278,0.60042,0.72988,1.0964,0.84297,0.96176,0,0.0009307,0.0009307,0.0009307
23,394.679,0.77622,1.03087,0.69047,0.91032,0,0.91802,0.69384,0.79476,0.63304,0.91297,0.69003,0.78756,0.60043,0.71057,1.09491,0.75204,0.95806,0,0.0009274,0.0009274,0.0009274
24,412.111,0.79598,1.07744,0.72644,0.91595,0,0.85934,0.6511,0.75232,0.6107,0.87353,0.64527,0.74948,0.59051,0.70765,1.10437,0.91275,0.94583,0,0.0009241,0.0009241,0.0009241
25,430.609,0.79677,1.10894,0.69824,0.90644,0,0.8956,0.7102,0.79604,0.63913,0.8979,0.71259,0.79475,0.61504,0.69578,1.10846,0.73018,0.94562,0,0.0009208,0.0009208,0.0009208
26,449.886,0.77228,1.00497,0.70916,0.91863,0,0.89331,0.70543,0.7958,0.63637,0.89401,0.70543,0.79173,0.61357,0.71509,1.10374,0.73409,0.93532,0,0.0009175,0.0009175,0.0009175
27,467.856,0.76871,1.02424,0.69579,0.91336,0,0.88903,0.70353,0.79017,0.63588,0.89265,0.70639,0.79124,0.61991,0.70677,1.02233,0.85387,0.94365,0,0.0009142,0.0009142,0.0009142
28,485.35,0.77398,1.04863,0.68112,0.90335,0,0.86229,0.69876,0.78408,0.63864,0.86771,0.7003,0.78307,0.61446,0.68655,1.02096,0.8164,0.93998,0,0.0009109,0.0009109,0.0009109
29,501.634,0.7627,1.00615,0.67779,0.90333,0,0.89337,0.6816,0.79411,0.64271,0.89569,0.67874,0.78729,0.61998,0.68383,1.01373,0.72305,0.934,0,0.0009076,0.0009076,0.0009076
30,519.682,0.76592,1.01741,0.68726,0.8961,0,0.88691,0.68827,0.7906,0.64472,0.87793,0.69495,0.78968,0.62215,0.68328,1.04856,0.88127,0.93362,0,0.0009043,0.0009043,0.0009043
31,538.466,0.76967,1.04115,0.67314,0.89585,0,0.88961,0.71211,0.7941,0.64155,0.91404,0.69944,0.79161,0.60078,0.69711,1.35127,0.68813,0.9334,0,0.000901,0.000901,0.000901
32,556.313,0.75473,1.01941,0.68155,0.89822,0,0.90704,0.70925,0.80801,0.65316,0.90789,0.70639,0.80387,0.62655,0.68615,1.07623,0.71286,0.92961,0,0.0008977,0.0008977,0.0008977
33,573.626,0.77128,1.02578,0.68128,0.90677,0,0.91457,0.69399,0.79157,0.64491,0.91122,0.6947,0.78538,0.61233,0.69468,1.08481,0.72863,0.93196,0,0.0008944,0.0008944,0.0008944
34,591.938,0.76585,1.02902,0.66369,0.89628,0,0.86143,0.71592,0.78785,0.63976,0.86214,0.71592,0.78425,0.6169,0.67636,1.02615,0.69423,0.92881,0,0.0008911,0.0008911,0.0008911
35,609.229,0.74719,1.01198,0.648,0.89493,0,0.89401,0.72368,0.7956,0.64867,0.89888,0.72164,0.79346,0.62594,0.66997,1.04988,0.69772,0.92776,0,0.0008878,0.0008878,0.0008878
36,628.363,0.75338,0.97096,0.65541,0.89035,0,0.85595,0.72507,0.79314,0.6412,0.8537,0.72316,0.7885,0.62302,0.67333,1.12391,0.69404,0.91263,0,0.0008845,0.0008845,0.0008845
37,645.278,0.74798,0.97999,0.64956,0.89654,0,0.87861,0.71878,0.80699,0.66044,0.87336,0.71497,0.80409,0.63621,0.6584,1.03052,0.75244,0.91731,0,0.0008812,0.0008812,0.0008812
38,663.167,0.73505,0.96368,0.63859,0.88475,0,0.87627,0.72164,0.80379,0.65486,0.87627,0.72164,0.8009,0.62436,0.65497,0.96741,0.64672,0.91526,0,0.0008779,0.0008779,0.0008779
39,682.714,0.718,0.94401,0.63217,0.88383,0,0.88896,0.70213,0.79841,0.65343,0.88648,0.69976,0.79219,0.6309,0.67067,0.99918,0.66902,0.9213,0,0.0008746,0.0008746,0.0008746
40,699.643,0.72831,0.97907,0.6433,0.88549,0,0.89018,0.72069,0.80127,0.6504,0.90187,0.71115,0.79904,0.63387,0.68126,0.97842,0.71073,0.91764,0,0.0008713,0.0008713,0.0008713
41,714.86,0.72483,0.99384,0.65124,0.88296,0,0.923,0.6959,0.81087,0.66915,0.92148,0.69399,0.80854,0.63653,0.64294,0.99239,0.66599,0.91075,0,0.000868,0.000868,0.000868
42,731.289,0.73703,0.992,0.63535,0.87513,0,0.90493,0.71401,0.80117,0.65932,0.90011,0.71299,0.79455,0.6355,0.6399,1.04752,0.70831,0.90016,0,0.0008647,0.0008647,0.0008647
43,748.625,0.72984,0.97073,0.62055,0.88502,0,0.89755,0.71824,0.80415,0.65569,0.91106,0.70639,0.79962,0.63723,0.65031,1.0515,0.69748,0.9103,0,0.0008614,0.0008614,0.0008614
44,764.807,0.73902,1.00681,0.63213,0.8831,0,0.85837,0.73499,0.80967,0.6669,0.85503,0.73213,0.801,0.62624,0.65279,0.98847,0.64529,0.90499,0,0.0008581,0.0008581,0.0008581
45,780.902,0.72062,0.99244,0.63507,0.88318,0,0.87895,0.73374,0.80966,0.66119,0.87774,0.73229,0.80687,0.63747,0.65579,0.97634,0.71586,0.91223,0,0.0008548,0.0008548,0.0008548
46,798.649,0.7219,0.95608,0.62187,0.88112,0,0.90405,0.7365,0.81177,0.66295,0.90288,0.73554,0.80936,0.63348,0.64073,0.97,0.6528,0.90413,0,0.0008515,0.0008515,0.0008515
47,817.216,0.72907,0.99922,0.62724,0.88266,0,0.86873,0.70162,0.7804,0.64132,0.86991,0.70257,0.78007,0.60768,0.66194,0.99422,0.68394,0.90482,0,0.0008482,0.0008482,0.0008482
