epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4627,1.06809,2.13555,1.76688,0.99857,0,0.11111,0.00095,0.005,0.004,0,0,0,0,3.33015,54.3891,4.14732,2.22355,0,0.000325581,0.000325581,0.0677674
2,45.2933,0.96863,1.52041,1.14778,0.94528,0,0.21325,0.64442,0.49833,0.37243,0.20568,0.62154,0.49467,0.30784,0.99033,3.47747,2.85367,0.97319,0,0.00065674,0.00065674,0.0347653
3,64.4879,0.94118,1.48655,1.01923,0.93258,0,0.85197,0.58155,0.68682,0.53007,0.85437,0.58055,0.68506,0.50098,0.86356,1.49361,1.49403,0.92609,0,0.000985699,0.000985699,0.00176089
4,85.6405,0.93512,1.39104,0.96687,0.9248,0,0.89443,0.59765,0.70843,0.55397,0.88631,0.58723,0.69124,0.50093,0.83133,1.93474,0.93693,0.93009,0,0.0009901,0.0009901,0.0009901
5,105.512,0.88617,1.29311,0.89822,0.91516,0,0.87204,0.63584,0.73381,0.57356,0.87725,0.63357,0.73455,0.5613,0.75919,1.27072,0.85594,0.91138,0,0.0009868,0.0009868,0.0009868
6,123.691,0.88473,1.29759,0.88304,0.91756,0,0.88086,0.65548,0.73657,0.58427,0.88342,0.65738,0.73646,0.56241,0.76575,1.28813,0.84877,0.91216,0,0.0009835,0.0009835,0.0009835
7,143.406,0.86162,1.23137,0.84644,0.91267,0,0.81195,0.60724,0.69103,0.56041,0.8161,0.60343,0.6878,0.53808,0.74927,1.26863,1.20105,0.90889,0,0.0009802,0.0009802,0.0009802
8,161.746,0.83947,1.20012,0.80606,0.89802,0,0.90903,0.653,0.75431,0.6087,0.90372,0.64919,0.7475,0.57769,0.70844,1.17017,0.75729,0.89296,0,0.0009769,0.0009769,0.0009769
9,181.668,0.81299,1.14992,0.78519,0.89755,0,0.86575,0.66444,0.76656,0.62025,0.86433,0.66349,0.76371,0.58902,0.68569,1.16035,0.78296,0.89121,0,0.0009736,0.0009736,0.0009736
10,201.662,0.80338,1.14276,0.76381,0.89614,0,0.8958,0.6802,0.77427,0.61709,0.88786,0.68351,0.77005,0.59134,0.71017,1.21107,0.74925,0.89864,0,0.0009703,0.0009703,0.0009703
11,222.088,0.8136,1.2033,0.77854,0.89601,0,0.82733,0.69884,0.77074,0.61042,0.8324,0.69125,0.76658,0.57496,0.71679,1.2691,0.795,0.90166,0,0.000967,0.000967,0.000967
12,241.875,0.82033,1.19622,0.77014,0.89324,0,0.90259,0.67112,0.7602,0.61607,0.8976,0.67398,0.76022,0.59095,0.69331,1.25066,0.76252,0.89622,0,0.0009637,0.0009637,0.0009637
13,260.031,0.778,1.10065,0.73253,0.88721,0,0.88821,0.70829,0.79167,0.63617,0.87971,0.71109,0.79079,0.6088,0.68572,1.13709,0.67962,0.88376,0,0.0009604,0.0009604,0.0009604
14,280.688,0.79293,1.13729,0.74322,0.88851,0,0.91034,0.69876,0.79354,0.64443,0.90512,0.69781,0.79295,0.62193,0.68075,1.11624,0.66732,0.89047,0,0.0009571,0.0009571,0.0009571
15,299.346,0.78905,1.13209,0.72141,0.88409,0,0.85133,0.69871,0.77247,0.63154,0.85778,0.68637,0.76173,0.58115,0.68625,1.39683,0.69617,0.88495,0,0.0009538,0.0009538,0.0009538
