epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3279,1.3052,2.44688,2.22281,1.13036,0,0.00306,0.16873,0.00052,0.00017,0.00266,0.14681,0.00039,0.0001,3.32432,9.54061,4.17777,1.72097,0,0.000325581,0.000325581,0.0677674
2,46.8224,1.04593,1.68284,1.29678,0.98126,0,0.43429,0.54814,0.48083,0.32452,0.39048,0.49285,0.42895,0.27624,1.30957,4.9802,3.20974,1.14289,0,0.00065674,0.00065674,0.0347653
3,68.1996,1.01258,1.6395,1.13801,0.96117,0,0.83441,0.56149,0.66625,0.48827,0.83441,0.56149,0.66435,0.47132,0.97739,1.88478,1.39358,0.97543,0,0.000985699,0.000985699,0.00176089
4,88.57,0.98831,1.53146,1.05244,0.94758,0,0.86614,0.61392,0.7028,0.53358,0.85942,0.60915,0.69428,0.51833,0.90799,1.55109,1.02547,0.96451,0,0.0009901,0.0009901,0.0009901
5,108.629,0.95912,1.41847,0.99477,0.93807,0,0.84223,0.59676,0.69529,0.54413,0.84492,0.59867,0.69578,0.5154,0.80284,1.43504,1.01894,0.92378,0,0.0009868,0.0009868,0.0009868
6,128.791,0.9301,1.39432,0.94398,0.93079,0,0.85449,0.57661,0.67066,0.52929,0.84236,0.58437,0.6718,0.49988,0.81062,1.45313,1.17918,0.92994,0,0.0009835,0.0009835,0.0009835
7,149.004,0.90689,1.3362,0.92177,0.92625,0,0.87909,0.63108,0.73416,0.57347,0.87382,0.63377,0.73391,0.54038,0.79875,1.40883,0.89653,0.9341,0,0.0009802,0.0009802,0.0009802
8,168.3,0.88555,1.2812,0.87691,0.91614,0,0.87887,0.62536,0.73193,0.57859,0.87619,0.62345,0.72684,0.55566,0.7791,1.42542,0.82002,0.92981,0,0.0009769,0.0009769,0.0009769
9,188.213,0.8499,1.23789,0.85484,0.91214,0,0.87725,0.63361,0.74375,0.58763,0.87725,0.63361,0.7411,0.56088,0.75873,1.42239,0.83313,0.92066,0,0.0009736,0.0009736,0.0009736
10,207.487,0.84778,1.22885,0.82955,0.91241,0,0.88088,0.62917,0.737,0.59234,0.88355,0.63108,0.73654,0.56545,0.74502,1.24576,0.80678,0.90903,0,0.0009703,0.0009703,0.0009703
11,227.059,0.8565,1.27056,0.84385,0.91213,0,0.84695,0.61964,0.73397,0.58898,0.85295,0.6225,0.73315,0.55841,0.74109,1.17499,0.87505,0.91166,0,0.000967,0.000967,0.000967
12,246.612,0.84847,1.25802,0.81482,0.90543,0,0.86414,0.64877,0.74195,0.59073,0.86706,0.64824,0.74315,0.56656,0.74559,1.26927,0.84534,0.91446,0,0.0009637,0.0009637,0.0009637
13,267.056,0.81248,1.15642,0.79461,0.89836,0,0.86972,0.68094,0.77135,0.6184,0.87409,0.68165,0.76921,0.59716,0.73127,1.1334,0.73219,0.90278,0,0.0009604,0.0009604,0.0009604
14,288.191,0.83784,1.17188,0.79089,0.90247,0,0.87644,0.66254,0.75382,0.59483,0.88159,0.65298,0.7538,0.57832,0.74232,1.19243,0.84005,0.90934,0,0.0009571,0.0009571,0.0009571
15,310.101,0.83919,1.17395,0.78422,0.9001,0,0.87549,0.65688,0.75752,0.60806,0.87554,0.65723,0.74868,0.57506,0.73302,1.34991,0.74756,0.89973,0,0.0009538,0.0009538,0.0009538
16,328.643,0.82968,1.1261,0.7635,0.90163,0,0.85377,0.67901,0.7651,0.60396,0.85257,0.67805,0.76236,0.59144,0.74256,1.14401,0.77348,0.90222,0,0.0009505,0.0009505,0.0009505
17,347.432,0.82123,1.14679,0.75598,0.89987,0,0.85585,0.67969,0.76961,0.62049,0.85034,0.68065,0.76695,0.59166,0.7003,1.09732,0.72274,0.89687,0,0.0009472,0.0009472,0.0009472
18,368.503,0.80004,1.13834,0.73668,0.88923,0,0.88674,0.68923,0.77498,0.62206,0.88529,0.68923,0.77814,0.58645,0.688,1.23566,0.71277,0.89416,0,0.0009439,0.0009439,0.0009439
19,386.97,0.81269,1.15761,0.74835,0.89531,0,0.85968,0.68541,0.76716,0.6094,0.85848,0.68446,0.76832,0.58534,0.70912,1.14846,0.74235,0.90186,0,0.0009406,0.0009406,0.0009406
