epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5899,3.96011,5.40289,3.76985,3.03846,0,0.0028,0.15443,0.00046,0.00012,0.00199,0.10963,0.00024,5e-05,3.39909,4.57585,3.86722,2.54534,0,0.000325581,0.000325581,0.0677674
2,47.9068,3.31813,4.41009,3.4861,2.33358,0,0,0,0,0,0,0,0,0,3.51811,5.50741,4.00286,2.37586,0,0.00065674,0.00065674,0.0347653
3,69.0021,2.88016,4.10401,2.82055,1.99935,0,0.02753,0.38704,0.10919,0.03483,0.02462,0.34604,0.10579,0.03087,2.99727,4.40685,3.5954,2.07712,0,0.000985699,0.000985699,0.00176089
4,91.8503,2.55056,3.79393,2.37768,1.80032,0,0.57025,0.347,0.35424,0.15647,0.55207,0.31723,0.32333,0.11903,2.25679,3.92094,2.16251,1.7915,0,0.0009901,0.0009901,0.0009901
5,114.83,2.32775,3.53492,2.12061,1.68441,0,0.60269,0.34604,0.36709,0.1591,0.63834,0.34986,0.3759,0.17478,2.18269,3.64609,2.22762,1.76831,0,0.0009868,0.0009868,0.0009868
6,134.012,2.16886,3.37244,1.97037,1.58804,0,0.70095,0.41277,0.4586,0.25531,0.69971,0.41659,0.46112,0.25167,1.79682,3.29575,1.97726,1.54747,0,0.0009835,0.0009835,0.0009835
7,155.803,2.01247,3.19707,1.80899,1.51602,0,0.70596,0.44042,0.48084,0.27342,0.71803,0.44709,0.48744,0.26565,1.80165,3.03069,1.82246,1.51438,0,0.0009802,0.0009802,0.0009802
8,176.622,1.89431,3.02451,1.69572,1.44152,0,0.78929,0.44992,0.52384,0.31006,0.78929,0.44992,0.52047,0.30621,1.64251,2.85549,1.61135,1.43691,0,0.0009769,0.0009769,0.0009769
9,196.951,1.78817,2.87765,1.59488,1.40305,0,0.74661,0.4795,0.53282,0.32065,0.75771,0.47092,0.52905,0.32227,1.60028,2.81834,1.52722,1.40557,0,0.0009736,0.0009736,0.0009736
10,219.463,1.74554,2.81459,1.54759,1.37327,0,0.78359,0.47855,0.55309,0.33909,0.7895,0.48141,0.55459,0.3379,1.55311,2.67247,1.43441,1.35772,0,0.0009703,0.0009703,0.0009703
11,240.596,1.67764,2.72112,1.48275,1.33048,0,0.79742,0.51287,0.57093,0.34636,0.80282,0.5081,0.5677,0.34617,1.50516,2.55399,1.39062,1.34378,0,0.000967,0.000967,0.000967
12,262.278,1.63411,2.69013,1.42216,1.28993,0,0.82032,0.48522,0.56768,0.36633,0.81741,0.48141,0.55824,0.3528,1.40203,2.52384,1.3412,1.2857,0,0.0009637,0.0009637,0.0009637
13,283.421,1.57189,2.53793,1.37857,1.27007,0,0.84434,0.50156,0.58693,0.38011,0.84231,0.50334,0.58291,0.37432,1.36585,2.47383,1.28543,1.26106,0,0.0009604,0.0009604,0.0009604
14,303.767,1.54375,2.52637,1.35765,1.24865,0,0.80195,0.51668,0.58185,0.37856,0.81392,0.51478,0.57894,0.36491,1.3315,2.44106,1.26722,1.23575,0,0.0009571,0.0009571,0.0009571
15,325.876,1.52829,2.47068,1.34699,1.23467,0,0.81886,0.52812,0.59955,0.37944,0.8231,0.52622,0.59568,0.38563,1.38556,2.3489,1.26505,1.2514,0,0.0009538,0.0009538,0.0009538
16,346.283,1.49883,2.39761,1.30197,1.22953,0,0.82696,0.53003,0.60657,0.39292,0.81645,0.53289,0.60376,0.40044,1.31789,2.26797,1.26971,1.2257,0,0.0009505,0.0009505,0.0009505
17,366.762,1.47183,2.36427,1.29235,1.20582,0,0.8129,0.54242,0.61812,0.41518,0.81292,0.54051,0.61429,0.40355,1.23037,2.22518,1.20905,1.18963,0,0.0009472,0.0009472,0.0009472
18,388.915,1.40993,2.34164,1.23344,1.17675,0,0.77837,0.54573,0.59993,0.39823,0.77947,0.53912,0.60276,0.39851,1.25385,2.33814,1.21991,1.19795,0,0.0009439,0.0009439,0.0009439
19,408.913,1.42047,2.34023,1.23147,1.18364,0,0.80512,0.55195,0.62344,0.42265,0.8079,0.55386,0.62235,0.41507,1.22065,2.19636,1.18426,1.17316,0,0.0009406,0.0009406,0.0009406
20,429.166,1.434,2.28581,1.24463,1.19562,0,0.78974,0.55142,0.61322,0.3981,0.79195,0.5443,0.60751,0.38276,1.25918,2.25181,1.22248,1.18378,0,0.0009373,0.0009373,0.0009373
