epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0361,3.96473,5.72633,3.77343,3.03864,0,0.00321,0.17731,0.00058,0.00013,0.00207,0.11439,0.00026,6e-05,3.38173,4.64465,3.90661,2.52591,0,0.000325581,0.000325581,0.0677674
2,50.7957,3.47846,4.51818,3.58581,2.36629,0,0,0,0,0,0,0,0,0,3.54091,4.58424,3.97563,2.32728,0,0.00065674,0.00065674,0.0347653
3,73.1535,3.00123,4.27076,2.98195,2.04574,0,0.00803,0.42803,0.03407,0.00925,0.00817,0.43565,0.03704,0.01199,3.25321,4.34966,3.70964,2.13448,0,0.000985699,0.000985699,0.00176089
4,95.7818,2.57566,3.89476,2.39039,1.80315,0,0.50982,0.30601,0.30446,0.13585,0.53165,0.30315,0.30701,0.12188,2.26265,3.85108,2.37011,1.80407,0,0.0009901,0.0009901,0.0009901
5,119.4,2.2948,3.57857,2.09053,1.63982,0,0.54818,0.33365,0.36033,0.17208,0.55934,0.33397,0.36084,0.17858,2.08835,3.74503,2.31957,1.69063,0,0.0009868,0.0009868,0.0009868
6,140.581,2.08792,3.34689,1.86727,1.52566,0,0.69587,0.41373,0.45133,0.24961,0.69266,0.41182,0.44744,0.23892,1.79477,3.31205,1.78953,1.5053,0,0.0009835,0.0009835,0.0009835
7,163.256,1.98367,3.14205,1.74661,1.47765,0,0.76934,0.42803,0.49951,0.28115,0.7625,0.43184,0.49782,0.27961,1.71329,2.96006,1.68161,1.4661,0,0.0009802,0.0009802,0.0009802
8,184.829,1.89218,2.99067,1.64666,1.42666,0,0.80863,0.43906,0.52496,0.32293,0.80336,0.4362,0.52179,0.30741,1.56016,2.82605,1.57157,1.35732,0,0.0009769,0.0009769,0.0009769
9,208,1.7912,2.86364,1.56494,1.38196,0,0.78992,0.48032,0.55212,0.34409,0.78835,0.47936,0.55282,0.33722,1.55694,2.69609,1.47663,1.34442,0,0.0009736,0.0009736,0.0009736
10,230.222,1.72014,2.77829,1.49262,1.33812,0,0.80614,0.48999,0.56428,0.34772,0.82208,0.48332,0.55841,0.34456,1.54371,2.58651,1.38111,1.33558,0,0.0009703,0.0009703,0.0009703
11,253.922,1.70197,2.72714,1.46781,1.31808,0,0.7941,0.47059,0.54993,0.35522,0.80375,0.47631,0.55236,0.35543,1.50323,2.59577,1.44529,1.31719,0,0.000967,0.000967,0.000967
12,276.664,1.63803,2.69881,1.39762,1.27448,0,0.83966,0.49571,0.58608,0.37672,0.83042,0.49476,0.57604,0.36255,1.40705,2.54423,1.24869,1.25369,0,0.0009637,0.0009637,0.0009637
13,297.392,1.57275,2.53943,1.35778,1.25169,0,0.85845,0.50429,0.59906,0.39659,0.86529,0.49857,0.5965,0.3888,1.37984,2.40069,1.21669,1.25575,0,0.0009604,0.0009604,0.0009604
14,320.611,1.54187,2.51958,1.31713,1.22995,0,0.81991,0.52082,0.60725,0.39361,0.80541,0.52812,0.59984,0.39906,1.34733,2.31437,1.20357,1.2274,0,0.0009571,0.0009571,0.0009571
15,342.457,1.50677,2.46104,1.29711,1.21436,0,0.83193,0.5224,0.60521,0.39638,0.83418,0.5205,0.60314,0.38087,1.37657,2.36357,1.23774,1.23395,0,0.0009538,0.0009538,0.0009538
16,365.52,1.50443,2.40724,1.28074,1.20841,0,0.79238,0.52336,0.60968,0.40274,0.80916,0.52431,0.60608,0.39974,1.31471,2.296,1.20223,1.1936,0,0.0009505,0.0009505,0.0009505
17,387.409,1.45855,2.34561,1.2478,1.1839,0,0.81686,0.54851,0.63039,0.42758,0.85159,0.52511,0.6297,0.41476,1.26261,2.24056,1.15899,1.17393,0,0.0009472,0.0009472,0.0009472
18,410.436,1.42822,2.32182,1.22507,1.17082,0,0.86596,0.5367,0.63842,0.43157,0.86596,0.5367,0.63621,0.42978,1.24332,2.18225,1.09176,1.16599,0,0.0009439,0.0009439,0.0009439
