epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9663,3.70607,4.30138,3.06017,3.03259,0,0,0,0,0,0,0,0,0,3.90585,5.17632,4.01907,2.83862,0,0.000325581,0.000325581,0.0677674
2,25.2591,2.47852,3.28799,1.81737,2.25452,0,0.01686,0.12202,0.00211,0.0008,0.00145,0.01049,2e-05,0,3.18077,5.4565,4.0747,2.49844,0,0.00065674,0.00065674,0.0347653
3,36.6743,2.15333,2.91469,1.46595,1.90865,0,0.89926,0.46997,0.5656,0.33063,0.91074,0.46806,0.55148,0.28483,1.74489,6.63887,1.76852,1.89563,0,0.000985699,0.000985699,0.00176089
4,48.0885,1.99445,2.66161,1.34645,1.72939,0,0.82912,0.49094,0.57511,0.35199,0.8323,0.4938,0.57298,0.36005,1.66239,3.06448,1.50745,1.67169,0,0.0009901,0.0009901,0.0009901
5,60.0111,1.79054,2.44806,1.24066,1.57765,0,0.85346,0.57388,0.65353,0.40222,0.83102,0.58132,0.65016,0.41869,1.47275,2.336,1.1789,1.51343,0,0.0009868,0.0009868,0.0009868
6,71.5278,1.60254,2.34252,1.15766,1.45662,0,0.84066,0.56149,0.64676,0.43247,0.82583,0.56911,0.64797,0.43056,1.29867,2.23088,1.16572,1.41157,0,0.0009835,0.0009835,0.0009835
7,83.5721,1.51307,2.16016,1.09727,1.38042,0,0.86174,0.59414,0.68129,0.43669,0.86766,0.58749,0.67485,0.46391,1.35492,2.08182,1.1749,1.38716,0,0.0009802,0.0009802,0.0009802
8,95.3278,1.42603,2.04387,1.05848,1.31595,0,0.89363,0.58913,0.70033,0.49178,0.89115,0.58723,0.69306,0.47474,1.16327,2.07305,0.98738,1.2849,0,0.0009769,0.0009769,0.0009769
9,107.274,1.36925,1.93278,1.0221,1.26327,0,0.86896,0.60057,0.70733,0.48651,0.85798,0.60629,0.70151,0.49235,1.17761,1.97525,0.96323,1.25756,0,0.0009736,0.0009736,0.0009736
10,119.063,1.28782,1.88961,0.98262,1.21409,0,0.87691,0.58818,0.69654,0.48979,0.82581,0.61392,0.69441,0.48245,1.12031,1.85901,0.98016,1.22595,0,0.0009703,0.0009703,0.0009703
11,130.75,1.25193,1.90434,0.97856,1.19386,0,0.83885,0.62026,0.70987,0.50096,0.85586,0.60565,0.70634,0.49179,1.10167,1.76594,0.97217,1.20288,0,0.000967,0.000967,0.000967
12,142.764,1.23615,1.87098,0.95245,1.15815,0,0.83553,0.60153,0.69634,0.50465,0.8353,0.59867,0.69415,0.49047,1.04556,1.72928,0.9443,1.1775,0,0.0009637,0.0009637,0.0009637
13,154.363,1.20765,1.74128,0.92639,1.15582,0,0.89186,0.62917,0.72721,0.5255,0.89408,0.62726,0.72694,0.52536,1.04151,1.69777,0.87706,1.15889,0,0.0009604,0.0009604,0.0009604
14,166.118,1.16833,1.7332,0.91539,1.12858,0,0.89166,0.61868,0.73588,0.53757,0.89355,0.61615,0.73423,0.53119,0.95637,1.66907,0.95018,1.11452,0,0.0009571,0.0009571,0.0009571
15,177.992,1.14318,1.68988,0.89724,1.11227,0,0.87727,0.63012,0.74344,0.54185,0.90453,0.62324,0.74288,0.52903,0.98571,1.62779,0.87788,1.11605,0,0.0009538,0.0009538,0.0009538
