epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5853,1.29605,2.4505,2.11612,1.09014,0,0.00219,0.00763,0.00011,9e-05,0,0,0,0,2.16097,42.8803,3.85521,1.52624,0,0.000325581,0.000325581,0.0677674
2,49.0436,1.03744,1.65024,1.25277,0.97365,0,0.77198,0.4938,0.48009,0.35148,0.71982,0.46044,0.4405,0.26111,1.08729,5.16592,3.39516,1.02584,0,0.00065674,0.00065674,0.0347653
3,71.029,1.00571,1.59287,1.09275,0.95317,0,0.85023,0.56149,0.67055,0.5013,0.85303,0.56435,0.67091,0.50114,0.95482,1.61288,1.48841,0.95681,0,0.000985699,0.000985699,0.00176089
4,95.408,0.98034,1.48767,1.02059,0.94214,0,0.87106,0.57314,0.66733,0.51031,0.86621,0.57579,0.65827,0.50254,0.86031,1.61739,1.04828,0.94474,0,0.0009901,0.0009901,0.0009901
5,117.843,0.95088,1.40073,0.97384,0.93543,0,0.83758,0.6145,0.69769,0.54648,0.83878,0.6101,0.6987,0.5269,0.82015,1.45403,1.09562,0.92797,0,0.0009868,0.0009868,0.0009868
6,141.674,0.92331,1.38087,0.92987,0.92672,0,0.84764,0.62053,0.71175,0.56252,0.84634,0.61958,0.71183,0.53304,0.77496,1.37481,1.30884,0.92291,0,0.0009835,0.0009835,0.0009835
7,163.224,0.89776,1.31847,0.90581,0.92182,0,0.82376,0.60153,0.70244,0.55373,0.82773,0.59962,0.69822,0.52469,0.78742,1.47746,1.45738,0.91883,0,0.0009802,0.0009802,0.0009802
8,185.689,0.89805,1.2912,0.86883,0.91525,0,0.61445,0.61964,0.49199,0.3828,0.61039,0.62345,0.49133,0.36564,0.75912,1.30904,0.9339,0.91943,0,0.0009769,0.0009769,0.0009769
9,208.298,0.85077,1.23285,0.8599,0.91078,0,0.85899,0.65621,0.74998,0.58497,0.85878,0.65396,0.74841,0.57315,0.75094,1.31372,0.84379,0.91182,0,0.0009736,0.0009736,0.0009736
10,229.527,0.83693,1.21532,0.81652,0.90529,0,0.85975,0.65586,0.74802,0.59031,0.85108,0.66826,0.74998,0.56912,0.75627,1.3111,0.8104,0.91547,0,0.0009703,0.0009703,0.0009703
