epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1763,1.22363,2.30927,2.09866,1.03509,0,0.01668,0.12583,0.06338,0.03581,0.00834,0.06292,0.02935,0.00846,2.05181,27.4571,3.81183,1.5203,0,0.000325581,0.000325581,0.0677674
2,51.2587,1.0199,1.61703,1.23823,0.9614,0,0.49106,0.49762,0.43852,0.30495,0.44591,0.45186,0.39592,0.25292,1.25291,4.40354,3.49098,1.09308,0,0.00065674,0.00065674,0.0347653
3,72.7341,0.99522,1.55436,1.08657,0.9432,0,0.8123,0.54909,0.64994,0.48868,0.81512,0.551,0.6484,0.46797,0.90081,1.95176,1.17473,0.94111,0,0.000985699,0.000985699,0.00176089
4,96.3944,0.96994,1.4566,1.01404,0.93406,0,0.81427,0.53914,0.64617,0.50246,0.80773,0.53575,0.6388,0.48721,0.85958,1.70167,1.01053,0.94669,0,0.0009901,0.0009901,0.0009901
5,118.777,0.93231,1.37488,0.94498,0.9244,0,0.84091,0.6387,0.72007,0.56657,0.83573,0.63536,0.71377,0.547,0.79018,1.40653,0.98536,0.92956,0,0.0009868,0.0009868,0.0009868
6,142.735,0.92066,1.34912,0.91921,0.92144,0,0.84522,0.64553,0.72347,0.56725,0.84508,0.64728,0.72247,0.54831,0.79092,1.45418,0.97699,0.9261,0,0.0009835,0.0009835,0.0009835
7,164.455,0.89474,1.28635,0.88848,0.91698,0,0.8636,0.60629,0.71194,0.56546,0.86292,0.60008,0.70249,0.5253,0.78386,1.70698,1.05867,0.92031,0,0.0009802,0.0009802,0.0009802
8,186.972,0.88362,1.2614,0.85122,0.91092,0,0.89702,0.60618,0.72513,0.58069,0.89702,0.60618,0.72218,0.5553,0.76066,1.33244,0.86469,0.92038,0,0.0009769,0.0009769,0.0009769
9,207.637,0.84047,1.21198,0.82237,0.90664,0,0.86403,0.64213,0.73595,0.58808,0.86403,0.64213,0.73609,0.5536,0.74886,1.43408,1.01404,0.91356,0,0.0009736,0.0009736,0.0009736
10,230.721,0.82987,1.19776,0.79545,0.90178,0,0.8752,0.66185,0.75803,0.59682,0.85235,0.6654,0.75842,0.57864,0.75785,1.34474,0.86805,0.91176,0,0.0009703,0.0009703,0.0009703
