epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2232,1.14219,2.34535,2.03676,1.05197,0,0,0,0,0,0,0,0,0,3.15355,23.8856,3.97099,1.88921,0,0.000325581,0.000325581,0.0677674
2,45.2783,0.99496,1.59232,1.24258,0.96022,0,0.54483,0.52717,0.48278,0.3629,0.46995,0.45472,0.40881,0.23042,1.07281,4.0863,3.29483,0.99635,0,0.00065674,0.00065674,0.0347653
3,67.66,0.95553,1.51606,1.07816,0.93918,0,0.89144,0.57865,0.68874,0.52531,0.88288,0.57483,0.68146,0.47801,0.89938,1.80667,1.28809,0.93408,0,0.000985699,0.000985699,0.00176089
4,88.4962,0.93917,1.40702,0.99148,0.92989,0,0.86384,0.6244,0.72041,0.56337,0.86159,0.61715,0.70538,0.48389,0.8206,2.00407,0.94936,0.92156,0,0.0009901,0.0009901,0.0009901
5,109.858,0.89798,1.33428,0.92756,0.92131,0,0.87248,0.63203,0.73484,0.57931,0.86379,0.62873,0.72247,0.51397,0.77303,1.64734,0.89665,0.91471,0,0.0009868,0.0009868,0.0009868
6,131.419,0.8878,1.31836,0.90093,0.91993,0,0.89028,0.63428,0.72895,0.57385,0.88767,0.63277,0.72454,0.55284,0.78536,1.35642,0.98851,0.91836,0,0.0009835,0.0009835,0.0009835
7,151.543,0.8616,1.25253,0.86661,0.91409,0,0.84409,0.61417,0.71066,0.56924,0.84671,0.61608,0.71275,0.54862,0.76298,1.26546,0.97678,0.92267,0,0.0009802,0.0009802,0.0009802
8,172.711,0.84205,1.21401,0.83231,0.90339,0,0.88225,0.67138,0.75469,0.59986,0.88225,0.67138,0.75309,0.57607,0.72625,1.2009,0.77467,0.90789,0,0.0009769,0.0009769,0.0009769
9,194.014,0.80875,1.16468,0.79709,0.89836,0,0.87274,0.62917,0.74274,0.60253,0.87034,0.6271,0.74345,0.58397,0.70688,1.15906,0.99777,0.89966,0,0.0009736,0.0009736,0.0009736
10,214.523,0.80612,1.16608,0.79386,0.89993,0,0.91317,0.6368,0.75404,0.61255,0.90353,0.64061,0.7535,0.58841,0.70089,1.22807,0.77536,0.90455,0,0.0009703,0.0009703,0.0009703
11,235.398,0.81613,1.22668,0.80107,0.90004,0,0.89882,0.67207,0.76731,0.6215,0.89335,0.67074,0.75955,0.58301,0.704,1.18959,0.73873,0.90142,0,0.000967,0.000967,0.000967
12,256.714,0.81239,1.21048,0.78051,0.89481,0,0.88498,0.67588,0.7758,0.62924,0.88498,0.67588,0.77229,0.59454,0.70141,1.22211,0.69956,0.89875,0,0.0009637,0.0009637,0.0009637
13,276.259,0.77764,1.11241,0.75177,0.88883,0,0.90676,0.67493,0.77412,0.62926,0.90804,0.67588,0.77317,0.60613,0.70316,1.08178,0.70426,0.90115,0,0.0009604,0.0009604,0.0009604
14,297.545,0.80483,1.15187,0.75888,0.89535,0,0.85939,0.68065,0.76559,0.61699,0.86059,0.6816,0.7615,0.59703,0.6974,1.09073,0.9667,0.89629,0,0.0009571,0.0009571,0.0009571
15,318.503,0.79477,1.12642,0.74459,0.89056,0,0.84635,0.64919,0.74013,0.60774,0.84625,0.65061,0.73867,0.57076,0.70216,1.247,0.78753,0.89654,0,0.0009538,0.0009538,0.0009538
16,338.39,0.78641,1.07657,0.72329,0.89185,0,0.9243,0.66342,0.77365,0.63416,0.87328,0.69636,0.77452,0.60878,0.68289,1.08586,0.68229,0.88202,0,0.0009505,0.0009505,0.0009505
17,359.382,0.79048,1.11082,0.71309,0.89229,0,0.88776,0.67863,0.76068,0.62182,0.8863,0.6816,0.76098,0.59344,0.69816,1.12117,0.69569,0.89046,0,0.0009472,0.0009472,0.0009472
18,379.878,0.76887,1.09615,0.70734,0.88249,0,0.88357,0.70925,0.78779,0.64272,0.87865,0.71093,0.78883,0.61615,0.6707,1.11834,0.78911,0.88712,0,0.0009439,0.0009439,0.0009439
19,400.924,0.78069,1.12175,0.70896,0.88653,0,0.87262,0.68255,0.77395,0.62952,0.87454,0.68255,0.77124,0.58883,0.67085,1.16998,0.82955,0.88834,0,0.0009406,0.0009406,0.0009406
20,419.994,0.7906,1.08884,0.724,0.89521,0,0.8455,0.67819,0.75936,0.61996,0.8455,0.67819,0.75939,0.5869,0.67961,1.15719,0.81867,0.90152,0,0.0009373,0.0009373,0.0009373
21,440.651,0.75956,1.07399,0.69888,0.88347,0,0.90184,0.67398,0.78304,0.64179,0.9044,0.67588,0.78098,0.60767,0.64922,1.0666,0.75783,0.88873,0,0.000934,0.000934,0.000934
22,461.906,0.76187,1.08012,0.68906,0.88615,0,0.91767,0.68351,0.79213,0.64494,0.91803,0.68351,0.78899,0.60956,0.67528,1.18745,0.65788,0.89271,0,0.0009307,0.0009307,0.0009307
23,482.134,0.7511,1.04454,0.66636,0.87881,0,0.91171,0.69893,0.79418,0.649,0.90944,0.69685,0.78948,0.62167,0.64402,1.04543,0.65037,0.87479,0,0.0009274,0.0009274,0.0009274
24,502.662,0.7635,1.07121,0.69509,0.88181,0,0.87115,0.71211,0.79066,0.64984,0.87942,0.70257,0.78829,0.62508,0.6556,1.06671,0.80223,0.88005,0,0.0009241,0.0009241,0.0009241
25,523.488,0.76841,1.1032,0.66793,0.87601,0,0.88301,0.71949,0.80241,0.66521,0.89308,0.71687,0.80205,0.63339,0.61936,1.02117,0.60447,0.86917,0,0.0009208,0.0009208,0.0009208
26,542.91,0.74055,1.01226,0.67306,0.88735,0,0.90809,0.70734,0.8033,0.65452,0.90638,0.70639,0.79585,0.6116,0.66906,1.16145,0.62467,0.87815,0,0.0009175,0.0009175,0.0009175
27,564.195,0.74609,1.02496,0.66651,0.88409,0,0.91394,0.69304,0.79854,0.65013,0.91083,0.69135,0.79512,0.64152,0.66224,1.03166,0.62064,0.88299,0,0.0009142,0.0009142,0.0009142
28,584.963,0.76189,1.06209,0.65708,0.87608,0,0.88407,0.72694,0.79847,0.65031,0.89095,0.71497,0.79471,0.61327,0.66723,1.02867,0.64488,0.88492,0,0.0009109,0.0009109,0.0009109
29,603.829,0.74855,1.01972,0.65593,0.87781,0,0.88112,0.70653,0.78826,0.64798,0.88284,0.70162,0.78705,0.62418,0.66205,0.9704,0.66892,0.88036,0,0.0009076,0.0009076,0.0009076
30,625.251,0.747,1.02195,0.65843,0.8752,0,0.91671,0.70639,0.80802,0.66658,0.91794,0.70734,0.80447,0.63531,0.64935,1.01057,0.63574,0.883,0,0.0009043,0.0009043,0.0009043
31,645.545,0.76056,1.03152,0.65042,0.87585,0,0.88131,0.68923,0.78095,0.64096,0.87717,0.70119,0.77914,0.60765,0.65987,1.01959,0.73235,0.8862,0,0.000901,0.000901,0.000901
32,665.134,0.73223,1.00623,0.64479,0.87532,0,0.8794,0.72259,0.80246,0.65686,0.87532,0.72355,0.79938,0.62505,0.64705,0.97774,0.67639,0.88212,0,0.0008977,0.0008977,0.0008977
33,685.351,0.74505,1.03887,0.64639,0.87603,0,0.88303,0.71401,0.80309,0.65983,0.90953,0.70448,0.79905,0.62663,0.65472,1.06983,0.60643,0.8811,0,0.0008944,0.0008944,0.0008944
34,705.696,0.73779,1.01992,0.6391,0.87076,0,0.85718,0.73308,0.80115,0.66294,0.85219,0.73648,0.80173,0.63767,0.64369,1.00147,0.62574,0.87853,0,0.0008911,0.0008911,0.0008911
35,725.949,0.72823,1.00025,0.63215,0.87428,0,0.88691,0.72641,0.80489,0.66092,0.88924,0.72831,0.7998,0.63482,0.64664,1.09289,0.62823,0.87881,0,0.0008878,0.0008878,0.0008878
36,747.018,0.71954,0.97422,0.62321,0.86747,0,0.91871,0.68947,0.80124,0.67068,0.91627,0.68923,0.79731,0.63708,0.61605,0.99782,0.6397,0.86542,0,0.0008845,0.0008845,0.0008845
