epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5974,3.94254,5.01211,3.71675,2.98826,0,0.00337,0.18589,0.0008,0.00017,0.00221,0.12202,0.00035,6e-05,3.42812,4.65926,3.83859,2.50665,0,0.000325581,0.000325581,0.0677674
2,33.0456,3.17126,4.26339,3.17028,2.31441,0,0,0,0,0,0,0,0,0,3.64495,4.84078,4.17203,2.39949,0,0.00065674,0.00065674,0.0347653
3,47.6654,2.78485,3.99006,2.6043,2.05738,0,0.03674,0.40515,0.11263,0.04375,0.03415,0.37655,0.10592,0.03794,2.76658,4.29893,3.69864,2.06937,0,0.000985699,0.000985699,0.00176089
4,62.7875,2.55151,3.78178,2.28991,1.88022,0,0.45729,0.34795,0.31203,0.1279,0.43631,0.3409,0.2906,0.09789,2.29521,3.93503,2.49225,1.95141,0,0.0009901,0.0009901,0.0009901
5,77.6212,2.35088,3.58109,2.10644,1.74383,0,0.67141,0.37788,0.41532,0.20749,0.6731,0.37883,0.4163,0.19287,2.05444,3.53973,1.96738,1.70862,0,0.0009868,0.0009868,0.0009868
6,92.2752,2.16043,3.40096,1.93244,1.61618,0,0.66047,0.39466,0.42333,0.23001,0.65401,0.39847,0.42534,0.22156,1.91462,3.26067,2.03687,1.62478,0,0.0009835,0.0009835,0.0009835
7,107.035,2.05697,3.22653,1.84523,1.57156,0,0.67439,0.4324,0.47386,0.26329,0.68139,0.42803,0.47875,0.24731,1.83385,3.09082,1.82395,1.55707,0,0.0009802,0.0009802,0.0009802
8,121.617,1.91883,3.07107,1.71508,1.49036,0,0.70708,0.39847,0.44774,0.25853,0.65334,0.41143,0.44809,0.24006,1.74721,3.06175,1.914,1.47015,0,0.0009769,0.0009769,0.0009769
9,136.395,1.82686,2.90327,1.63417,1.4443,0,0.7568,0.44328,0.50764,0.31127,0.74867,0.43851,0.50103,0.24374,1.6555,3.35371,1.65384,1.42221,0,0.0009736,0.0009736,0.0009736
10,151.536,1.77318,2.84712,1.57753,1.40174,0,0.80286,0.4581,0.53807,0.33691,0.80453,0.45905,0.5366,0.32966,1.53341,2.70754,1.52758,1.37182,0,0.0009703,0.0009703,0.0009703
