epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9438,3.96953,30.4585,3.76973,3.00116,0,0.00174,0.09628,0.00021,4e-05,0,0,0,0,3.35873,19.2522,3.93214,2.55651,0,0.000325581,0.000325581,0.0677674
2,74.4257,3.48552,14.5804,3.67377,2.39715,0,0.00307,0.16969,0.00071,0.0002,0,0,0,0,3.18142,22.8136,3.81471,2.39219,0,0.00065674,0.00065674,0.0347653
3,97.6656,3.13692,10.7141,3.34797,2.18149,0,0.00824,0.45472,0.02949,0.00828,0.00174,0.09628,0.00311,0.00079,2.76728,11.2629,3.41874,2.34781,0,0.000985699,0.000985699,0.00176089
4,119.553,2.78045,8.22935,2.76922,2.00156,0,0.2779,0.2307,0.13825,0.0385,0.34482,0.22498,0.17866,0.05231,2.65733,8.17436,2.896,2.28243,0,0.0009901,0.0009901,0.0009901
5,139.632,2.54408,6.5649,2.28624,1.84942,0,0.56756,0.30601,0.32203,0.11801,0.60323,0.29838,0.32677,0.12731,2.37281,7.63701,2.4267,1.92898,0,0.0009868,0.0009868,0.0009868
6,161.76,2.319,5.61605,2.02384,1.69582,0,0.65117,0.35272,0.39421,0.18954,0.64223,0.3346,0.3642,0.14545,2.08472,6.20051,2.18593,1.7198,0,0.0009835,0.0009835,0.0009835
7,182.019,2.22631,4.9759,1.89564,1.63857,0,0.70386,0.41237,0.46644,0.22844,0.66611,0.41182,0.44437,0.19153,2.00328,5.02484,1.89231,1.62016,0,0.0009802,0.0009802,0.0009802
8,202.452,2.07319,4.5902,1.76135,1.55994,0,0.71285,0.44328,0.49501,0.26337,0.71592,0.44519,0.49622,0.25965,1.82569,4.28691,1.73676,1.54725,0,0.0009769,0.0009769,0.0009769
9,223.689,1.98014,4.23816,1.66288,1.49714,0,0.74451,0.46997,0.53761,0.28385,0.75451,0.46806,0.53665,0.2894,1.83668,3.95857,1.69987,1.51683,0,0.0009736,0.0009736,0.0009736
10,244.86,1.90683,4.03688,1.60268,1.45735,0,0.77767,0.48236,0.55168,0.28921,0.77767,0.48236,0.55188,0.30755,1.77581,3.70587,1.58375,1.4836,0,0.0009703,0.0009703,0.0009703
11,265.41,1.86666,3.88901,1.53576,1.41955,0,0.78232,0.48999,0.56235,0.3222,0.79216,0.48323,0.55511,0.32079,1.63649,3.58415,1.51628,1.41526,0,0.000967,0.000967,0.000967
12,287.221,1.79257,3.72112,1.44932,1.36448,0,0.76989,0.5081,0.58173,0.33307,0.76591,0.51001,0.57205,0.33731,1.58852,3.41778,1.40337,1.38409,0,0.0009637,0.0009637,0.0009637
13,306.677,1.74015,3.50974,1.43021,1.34702,0,0.82712,0.52905,0.61345,0.36468,0.81993,0.5339,0.61077,0.37199,1.53524,3.14318,1.34781,1.34925,0,0.0009604,0.0009604,0.0009604
14,328.152,1.69839,3.46022,1.37003,1.32129,0,0.8076,0.54419,0.61417,0.3619,0.79467,0.54814,0.60702,0.37539,1.61203,3.26788,1.37951,1.35296,0,0.0009571,0.0009571,0.0009571
15,349.689,1.72138,3.4494,1.38438,1.31602,0,0.84127,0.54051,0.62837,0.38089,0.84986,0.53384,0.61981,0.38473,1.47917,3.00812,1.28098,1.31444,0,0.0009538,0.0009538,0.0009538
16,370.767,1.6614,3.24416,1.32624,1.30458,0,0.8367,0.5348,0.6308,0.38667,0.82417,0.53619,0.62982,0.3896,1.46205,2.86926,1.25188,1.30394,0,0.0009505,0.0009505,0.0009505
17,392.086,1.58489,3.1541,1.28622,1.26627,0,0.82587,0.54719,0.62863,0.38653,0.81509,0.54242,0.6164,0.38815,1.44612,2.99996,1.28657,1.30852,0,0.0009472,0.0009472,0.0009472
18,412.394,1.58188,3.07367,1.26938,1.2473,0,0.84145,0.54719,0.64626,0.39951,0.83502,0.55006,0.64158,0.4104,1.42247,2.77006,1.17357,1.28828,0,0.0009439,0.0009439,0.0009439
19,433.796,1.57178,3.04276,1.25134,1.25791,0,0.84088,0.55417,0.64869,0.40312,0.84077,0.55195,0.63538,0.40791,1.40203,2.76226,1.17772,1.27715,0,0.0009406,0.0009406,0.0009406
20,454.534,1.5681,2.92927,1.24873,1.25142,0,0.82717,0.57943,0.66485,0.42072,0.83223,0.58055,0.65978,0.43399,1.35049,2.53784,1.13415,1.24642,0,0.0009373,0.0009373,0.0009373
21,477.606,1.51973,2.89398,1.21133,1.23318,0,0.81929,0.55672,0.64892,0.41355,0.83677,0.54732,0.63512,0.41393,1.32628,2.76897,1.15418,1.241,0,0.000934,0.000934,0.000934
22,498.8,1.51325,2.84766,1.22609,1.23,0,0.85354,0.57102,0.66774,0.42903,0.8561,0.56721,0.66146,0.43891,1.34096,2.49995,1.11922,1.24255,0,0.0009307,0.0009307,0.0009307
23,519.608,1.44435,2.70642,1.14928,1.19363,0,0.86593,0.551,0.65922,0.43158,0.86294,0.54909,0.64858,0.44128,1.28414,2.45051,1.12193,1.21504,0,0.0009274,0.0009274,0.0009274
24,540.872,1.45541,2.74034,1.17322,1.19786,0,0.85051,0.58723,0.67502,0.43464,0.85105,0.59104,0.67044,0.45285,1.28674,2.33142,1.06238,1.22341,0,0.0009241,0.0009241,0.0009241
25,562.317,1.45076,2.76829,1.13244,1.16982,0,0.82523,0.57102,0.66516,0.44091,0.81617,0.57579,0.65732,0.43681,1.26476,2.55105,1.10026,1.20607,0,0.0009208,0.0009208,0.0009208
26,583.188,1.41883,2.58935,1.1437,1.19934,0,0.84776,0.57769,0.67885,0.45404,0.88386,0.56244,0.67491,0.46748,1.2216,2.26218,1.03788,1.17377,0,0.0009175,0.0009175,0.0009175
27,604.63,1.39389,2.58924,1.12189,1.18633,0,0.84989,0.58913,0.67408,0.44811,0.85633,0.58524,0.66343,0.45643,1.20578,2.27768,1.06018,1.17743,0,0.0009142,0.0009142,0.0009142
28,625.169,1.38278,2.59491,1.0995,1.14906,0,0.85958,0.5939,0.68888,0.45805,0.86601,0.58534,0.6852,0.46501,1.20947,2.25724,1.03229,1.16845,0,0.0009109,0.0009109,0.0009109
29,645.361,1.33774,2.51346,1.08333,1.14839,0,0.8097,0.61652,0.68798,0.46682,0.87337,0.57483,0.68009,0.47228,1.19306,2.24448,0.99245,1.15373,0,0.0009076,0.0009076,0.0009076
30,667.005,1.33954,2.49771,1.07269,1.13171,0,0.86727,0.59104,0.68883,0.459,0.87046,0.59104,0.6897,0.47582,1.21769,2.17286,1.01935,1.15729,0,0.0009043,0.0009043,0.0009043
31,687.719,1.36124,2.44954,1.08024,1.13264,0,0.86409,0.56911,0.68041,0.45575,0.86781,0.56625,0.67324,0.46047,1.23204,2.21315,1.0537,1.16941,0,0.000901,0.000901,0.000901
32,709.636,1.32573,2.44223,1.07557,1.13897,0,0.87321,0.58341,0.68662,0.46829,0.86119,0.58151,0.68049,0.47325,1.17698,2.20913,1.07125,1.15182,0,0.0008977,0.0008977,0.0008977
33,729.578,1.3313,2.41638,1.07355,1.14188,0,0.86292,0.59009,0.69678,0.47643,0.86271,0.58913,0.69674,0.47739,1.16656,2.11485,0.99834,1.14289,0,0.0008944,0.0008944,0.0008944
34,751.707,1.32398,2.411,1.05843,1.12718,0,0.87148,0.59009,0.69174,0.4715,0.85154,0.59771,0.68709,0.48118,1.1607,2.06902,0.97212,1.14233,0,0.0008911,0.0008911,0.0008911
35,772.454,1.27525,2.33654,1.04553,1.11202,0,0.86105,0.62059,0.71182,0.49232,0.85159,0.61773,0.70628,0.50144,1.12815,2.0531,0.95385,1.11828,0,0.0008878,0.0008878,0.0008878
36,794.511,1.25762,2.28803,1.00449,1.10211,0,0.85007,0.61678,0.71259,0.49343,0.85206,0.61201,0.70609,0.5024,1.11515,1.95363,0.95682,1.11163,0,0.0008845,0.0008845,0.0008845
37,815.052,1.2424,2.31637,1.016,1.10165,0,0.9019,0.59676,0.71357,0.49767,0.89175,0.59771,0.71007,0.49881,1.09791,2.01427,0.93305,1.11034,0,0.0008812,0.0008812,0.0008812
38,835.89,1.23859,2.23581,0.98794,1.09767,0,0.8488,0.63681,0.71872,0.50218,0.84175,0.6389,0.7142,0.5069,1.08832,1.97511,0.9314,1.09717,0,0.0008779,0.0008779,0.0008779
39,858.183,1.24124,2.21676,1.01019,1.10347,0,0.86953,0.60356,0.70612,0.49243,0.87391,0.60123,0.70637,0.49709,1.09895,1.99127,0.95968,1.11532,0,0.0008746,0.0008746,0.0008746
40,878.622,1.25155,2.21212,1.02799,1.10287,0,0.83855,0.63873,0.71741,0.4957,0.83482,0.63489,0.71633,0.52155,1.09926,1.96534,0.97835,1.10069,0,0.0008713,0.0008713,0.0008713
41,899.697,1.23169,2.18979,1.01032,1.0971,0,0.85707,0.64023,0.72794,0.50501,0.85351,0.6332,0.7207,0.51368,1.08972,1.91072,0.89859,1.10567,0,0.000868,0.000868,0.000868
42,920.334,1.2289,2.18183,0.9838,1.07844,0,0.87702,0.61868,0.71517,0.50895,0.86929,0.61499,0.70939,0.51257,1.06061,1.91834,0.92563,1.08622,0,0.0008647,0.0008647,0.0008647
43,942.48,1.23486,2.22213,0.97876,1.09015,0,0.88193,0.60526,0.71128,0.50748,0.8925,0.59199,0.70752,0.51234,1.06114,1.90999,0.93535,1.08834,0,0.0008614,0.0008614,0.0008614
44,962.645,1.22613,2.18983,0.99001,1.08431,0,0.88373,0.62154,0.72054,0.50991,0.88238,0.62059,0.71847,0.51185,1.05989,1.86882,0.91775,1.08015,0,0.0008581,0.0008581,0.0008581
45,983.261,1.21154,2.15643,0.98929,1.08915,0,0.86183,0.63203,0.72333,0.51163,0.85718,0.62726,0.71937,0.50816,1.07084,1.88539,0.93942,1.09053,0,0.0008548,0.0008548,0.0008548
