epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9885,3.86989,4.85273,3.70499,2.97749,0,0.00271,0.14967,0.00046,0.0001,0.00325,0.17922,0.00073,0.00016,3.40313,4.79613,3.94571,2.5548,0,0.000325581,0.000325581,0.0677674
2,49.7534,2.95083,3.99133,2.66717,2.29902,0,0.10099,0.24214,0.09919,0.03865,0.10258,0.24595,0.10167,0.04084,2.65577,4.32222,3.86585,2.27106,0,0.00065674,0.00065674,0.0347653
3,71.904,2.45483,3.46702,1.91702,1.95054,0,0.8624,0.31173,0.42583,0.22761,0.85185,0.30791,0.41563,0.17622,2.15193,3.8385,2.43706,1.90257,0,0.000985699,0.000985699,0.00176089
4,93.5937,2.16953,3.08024,1.64191,1.75928,0,0.72354,0.4652,0.52482,0.27899,0.71414,0.47154,0.52815,0.29271,1.86584,2.83066,1.54604,1.6957,0,0.0009901,0.0009901,0.0009901
5,115.427,1.98204,2.86221,1.50977,1.62151,0,0.80817,0.498,0.57496,0.32362,0.82371,0.51096,0.58851,0.3497,1.72393,2.61602,1.48486,1.60576,0,0.0009868,0.0009868,0.0009868
6,136.907,1.80962,2.69143,1.38674,1.50834,0,0.81112,0.5348,0.60115,0.36759,0.82097,0.53331,0.60144,0.37439,1.52409,2.46321,1.34597,1.48602,0,0.0009835,0.0009835,0.0009835
7,161.088,1.69912,2.55077,1.31296,1.4278,0,0.8064,0.53289,0.61441,0.37208,0.80137,0.53003,0.60452,0.35503,1.53372,2.6768,1.59188,1.47263,0,0.0009802,0.0009802,0.0009802
8,183.353,1.61315,2.39547,1.26547,1.36024,0,0.84281,0.54337,0.62986,0.40918,0.85245,0.54525,0.62677,0.41851,1.39279,2.25313,1.1978,1.3687,0,0.0009769,0.0009769,0.0009769
9,206.938,1.51267,2.26704,1.19308,1.30831,0,0.81919,0.55958,0.64338,0.42972,0.81052,0.56339,0.63584,0.42064,1.29284,2.17883,1.17781,1.30792,0,0.0009736,0.0009736,0.0009736
10,228.432,1.45132,2.2098,1.16028,1.26918,0,0.81791,0.56149,0.64557,0.43006,0.81678,0.55863,0.63917,0.42205,1.24883,2.07205,1.26174,1.2815,0,0.0009703,0.0009703,0.0009703
11,251.038,1.42196,2.18627,1.13259,1.24238,0,0.86197,0.55363,0.66026,0.44124,0.88643,0.54623,0.65504,0.43685,1.25638,2.02755,1.15422,1.27573,0,0.000967,0.000967,0.000967
12,273.582,1.37805,2.1611,1.0892,1.2044,0,0.83179,0.57982,0.67355,0.4646,0.83179,0.57982,0.67008,0.46722,1.16302,1.96051,1.10271,1.22297,0,0.0009637,0.0009637,0.0009637
13,295.823,1.35911,2.02858,1.072,1.20585,0,0.85838,0.58358,0.68726,0.47077,0.85609,0.58341,0.68447,0.45903,1.2035,1.93167,1.12989,1.20868,0,0.0009604,0.0009604,0.0009604
14,318.802,1.30495,2.0059,1.05182,1.17317,0,0.85023,0.59295,0.68366,0.48491,0.84887,0.59199,0.68419,0.48496,1.10263,1.85219,1.06735,1.16839,0,0.0009571,0.0009571,0.0009571
15,340.663,1.27955,1.95331,1.03725,1.16155,0,0.84397,0.60343,0.69238,0.4898,0.86058,0.60057,0.69129,0.4755,1.13746,1.84556,1.00116,1.18818,0,0.0009538,0.0009538,0.0009538
16,363.631,1.24609,1.91872,1.00887,1.14969,0,0.88392,0.59867,0.70123,0.49972,0.88332,0.59898,0.70011,0.4874,1.06053,1.86511,0.96919,1.15137,0,0.0009505,0.0009505,0.0009505
17,384.779,1.23849,1.86344,1.00551,1.13137,0,0.84362,0.6225,0.71419,0.50989,0.84316,0.62345,0.71333,0.49626,1.06512,1.7467,0.91845,1.14883,0,0.0009472,0.0009472,0.0009472
18,406.596,1.20939,1.86353,0.97725,1.11539,0,0.87979,0.57208,0.68848,0.49466,0.88125,0.57303,0.6866,0.48983,1.0396,1.77041,0.93795,1.1323,0,0.0009439,0.0009439,0.0009439
19,429.95,1.20099,1.86114,0.9741,1.1161,0,0.85485,0.61759,0.71794,0.5155,0.86041,0.61296,0.71477,0.51158,1.0531,1.7543,0.90248,1.12759,0,0.0009406,0.0009406,0.0009406
20,452.554,1.20701,1.82214,0.99089,1.12563,0,0.8495,0.58437,0.68601,0.49345,0.85275,0.57967,0.6794,0.48474,1.03727,1.85518,1.03676,1.13697,0,0.0009373,0.0009373,0.0009373
21,474.779,1.18946,1.80228,0.95231,1.11743,0,0.8425,0.61964,0.71453,0.51998,0.84685,0.62154,0.71767,0.50716,1.03363,1.68411,0.90362,1.13263,0,0.000934,0.000934,0.000934
22,495.608,1.17185,1.7628,0.95763,1.11161,0,0.90227,0.60153,0.72138,0.52957,0.90149,0.60343,0.71924,0.5144,0.97822,1.69381,0.89152,1.10661,0,0.0009307,0.0009307,0.0009307
23,518.807,1.11309,1.69628,0.90453,1.07685,0,0.86489,0.6244,0.7216,0.53056,0.87365,0.61958,0.72139,0.51872,0.99107,1.62097,0.88782,1.1075,0,0.0009274,0.0009274,0.0009274
