epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,92.9939,2.67388,4.72688,3.62837,1.93915,0,0.00679,0.37464,0.00396,0.00123,0,0,0,0,2.64927,74.2412,3.97009,2.14524,0,0.000325581,0.000325581,0.0677674
2,112.189,1.81265,3.39133,2.43136,1.42153,0,0.91667,0.06292,0.06353,0.03593,0,0,0,0,1.91648,58.4163,4.29246,1.46691,0,0.00065674,0.00065674,0.0347653
3,132.848,1.60027,2.78452,1.68489,1.26741,0,0.69606,0.41468,0.45581,0.28638,0.06059,0.03432,0.004,0.00067,1.46565,55.6282,1.89434,1.31619,0,0.000985699,0.000985699,0.00176089
4,153.905,1.45646,2.48577,1.49734,1.18478,0,0.78006,0.45663,0.54827,0.36348,0.73574,0.37157,0.40676,0.19471,1.2713,6.58012,1.4837,1.18996,0,0.0009901,0.0009901,0.0009901
5,174.181,1.37251,2.31939,1.38991,1.14384,0,0.55875,0.48904,0.37018,0.24792,0.54491,0.46616,0.33137,0.17107,1.21872,3.67558,1.83603,1.16292,0,0.0009868,0.0009868,0.0009868
6,195.704,1.28122,2.17288,1.28006,1.09975,0,0.82546,0.54719,0.63435,0.44661,0.82221,0.54433,0.6212,0.41435,1.13522,2.33784,1.20189,1.11923,0,0.0009835,0.0009835,0.0009835
7,215.695,1.22354,2.04346,1.21936,1.0856,0,0.80736,0.56334,0.64988,0.46707,0.8019,0.55952,0.63414,0.42013,1.06985,2.34701,1.15402,1.0909,0,0.0009802,0.0009802,0.0009802
8,235.507,1.183,1.93015,1.15895,1.05893,0,0.82892,0.57737,0.66648,0.48346,0.84353,0.56911,0.66102,0.43765,1.01948,2.28232,1.12411,1.05827,0,0.0009769,0.0009769,0.0009769
9,257.114,1.12027,1.82534,1.10671,1.04087,0,0.85124,0.58366,0.6854,0.49692,0.84902,0.57579,0.67292,0.45637,0.99581,2.08734,1.08256,1.04217,0,0.0009736,0.0009736,0.0009736
10,277.673,1.10226,1.77564,1.07894,1.0292,0,0.86943,0.59669,0.7041,0.51862,0.86406,0.59485,0.6936,0.46734,0.96127,2.13,1.01201,1.0285,0,0.0009703,0.0009703,0.0009703
