epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8124,3.85279,4.48642,3.3875,2.94029,0,0.00294,0.16206,0.00134,0.00035,0,0,0,0,3.63957,5.02835,4.03553,2.60277,0,0.000325581,0.000325581,0.0677674
2,40.1695,2.78044,3.62952,2.22999,2.18378,0,0.01875,0.24023,0.10838,0.04329,0.01868,0.23928,0.0881,0.01898,2.69809,4.99535,4.38443,2.18986,0,0.00065674,0.00065674,0.0347653
3,59.0348,2.36844,3.19102,1.72277,1.85872,0,0.52918,0.28408,0.31767,0.16438,0.52582,0.27836,0.31086,0.14086,1.9708,3.6079,2.17909,1.77258,0,0.000985699,0.000985699,0.00176089
4,78.4956,2.13219,2.90686,1.5796,1.6842,0,0.7001,0.44995,0.51657,0.25825,0.73149,0.43375,0.51312,0.28644,1.92413,2.76663,1.67359,1.65249,0,0.0009901,0.0009901,0.0009901
5,97.7722,1.97612,2.73242,1.46724,1.5477,0,0.77696,0.48713,0.55386,0.31711,0.78736,0.48808,0.55252,0.32426,1.66816,2.61797,1.58284,1.5027,0,0.0009868,0.0009868,0.0009868
6,116.161,1.81219,2.54046,1.36286,1.44281,0,0.82354,0.53832,0.6001,0.34605,0.81733,0.54337,0.5981,0.36713,1.59998,2.32396,1.29956,1.43534,0,0.0009835,0.0009835,0.0009835
7,135.195,1.73854,2.41478,1.29142,1.39685,0,0.84803,0.54814,0.63099,0.39124,0.85036,0.55258,0.62324,0.39157,1.49984,2.4535,1.187,1.3754,0,0.0009802,0.0009802,0.0009802
8,152.688,1.65728,2.27878,1.23909,1.34661,0,0.84124,0.56911,0.64333,0.39305,0.85073,0.5653,0.63791,0.39914,1.49112,2.23527,1.21368,1.33961,0,0.0009769,0.0009769,0.0009769
9,170.816,1.61292,2.1561,1.22105,1.3257,0,0.82672,0.56339,0.64402,0.39037,0.82584,0.55602,0.63908,0.4222,1.53152,2.10475,1.22784,1.33666,0,0.0009736,0.0009736,0.0009736
10,189.233,1.54506,2.13403,1.16926,1.27709,0,0.84687,0.54528,0.64604,0.41326,0.84835,0.54623,0.64299,0.43933,1.34231,2.03049,1.13992,1.27369,0,0.0009703,0.0009703,0.0009703
11,209.068,1.48892,2.06704,1.14943,1.2542,0,0.85278,0.58818,0.67195,0.44634,0.85331,0.58913,0.67026,0.45688,1.27231,1.92533,1.0777,1.25024,0,0.000967,0.000967,0.000967
12,225.971,1.45803,2.0318,1.11073,1.21948,0,0.88435,0.58627,0.67977,0.44265,0.88295,0.58965,0.67591,0.45728,1.29085,1.92047,1.02774,1.25124,0,0.0009637,0.0009637,0.0009637
13,239.364,1.40441,1.93263,1.08794,1.20773,0,0.74565,0.53289,0.61121,0.40973,0.73652,0.52763,0.60086,0.41133,1.26674,1.94142,1.1943,1.21589,0,0.0009604,0.0009604,0.0009604
14,253.75,1.35757,1.90812,1.07225,1.17221,0,0.84571,0.5748,0.66932,0.45862,0.85245,0.56911,0.66792,0.46553,1.1679,1.85422,1.02254,1.17532,0,0.0009571,0.0009571,0.0009571
15,266.632,1.33784,1.85264,1.05928,1.16665,0,0.88992,0.58055,0.6961,0.4724,0.89024,0.57992,0.69037,0.47052,1.17296,1.95781,1.01563,1.16593,0,0.0009538,0.0009538,0.0009538
16,280.133,1.32657,1.82767,1.0396,1.16519,0,0.86458,0.60439,0.6891,0.47312,0.87402,0.60153,0.68806,0.48578,1.17395,1.96861,0.9832,1.177,0,0.0009505,0.0009505,0.0009505
17,293.68,1.30354,1.76886,1.02251,1.14418,0,0.88864,0.61615,0.70987,0.49247,0.88864,0.61615,0.705,0.48557,1.1188,1.74995,0.96812,1.14328,0,0.0009472,0.0009472,0.0009472
18,307.197,1.27212,1.76374,0.99455,1.11692,0,0.87242,0.62059,0.71901,0.49911,0.8704,0.62102,0.71263,0.50293,1.09041,1.74314,0.96602,1.12303,0,0.0009439,0.0009439,0.0009439
19,320.792,1.27662,1.78113,0.99292,1.13206,0,0.86003,0.6225,0.71826,0.49033,0.85477,0.61868,0.71521,0.49639,1.15363,1.70658,0.9789,1.14478,0,0.0009406,0.0009406,0.0009406
20,333.157,1.28375,1.72902,1.00683,1.13272,0,0.88894,0.61964,0.71336,0.49505,0.88347,0.61582,0.7095,0.50294,1.13292,1.68042,0.9786,1.13337,0,0.0009373,0.0009373,0.0009373
21,346.75,1.22812,1.71429,0.96456,1.10957,0,0.86854,0.63614,0.72409,0.51016,0.86464,0.63328,0.72034,0.50691,1.06892,1.6284,1.02487,1.1005,0,0.000934,0.000934,0.000934
22,360.332,1.21478,1.68533,0.97367,1.10631,0,0.9029,0.63825,0.74527,0.53374,0.89721,0.63298,0.74031,0.52405,1.03097,1.59493,0.86682,1.08253,0,0.0009307,0.0009307,0.0009307
23,373.504,1.16956,1.59881,0.92217,1.07886,0,0.8901,0.64857,0.73644,0.52004,0.88452,0.64538,0.73409,0.52216,1.04446,1.6203,0.85771,1.09029,0,0.0009274,0.0009274,0.0009274
