epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4414,3.94545,5.13371,3.78727,3.04752,0,0.00339,0.18684,0.00087,0.00019,0.00237,0.1306,0.00045,9e-05,3.40841,4.57785,3.88753,2.54389,0,0.000325581,0.000325581,0.0677674
2,55.5483,3.23177,4.3216,3.51601,2.3278,0,0.00306,0.16873,0.00081,0.00024,0.00288,0.1592,0.0009,0.00023,3.16147,4.70025,3.90147,2.29319,0,0.00065674,0.00065674,0.0347653
3,79.7271,2.75817,3.96116,2.76855,2.03647,0,0.60295,0.11436,0.17793,0.06664,0.55788,0.10582,0.15288,0.04161,2.49632,4.37644,3.37125,2.06323,0,0.000985699,0.000985699,0.00176089
4,102.206,2.41265,3.62476,2.25085,1.83667,0,0.55236,0.35994,0.36603,0.18393,0.54556,0.36225,0.36022,0.16541,2.07837,3.59762,2.12406,1.85102,0,0.0009901,0.0009901,0.0009901
5,127.05,2.20393,3.35703,1.97031,1.70409,0,0.43503,0.31649,0.25595,0.1238,0.4386,0.3184,0.25854,0.12431,2.00245,3.43151,2.27298,1.75972,0,0.0009868,0.0009868,0.0009868
6,150.474,1.99949,3.20839,1.79623,1.57811,0,0.6849,0.39577,0.45769,0.26359,0.68861,0.40038,0.45655,0.24595,1.70295,3.18397,1.81756,1.53335,0,0.0009835,0.0009835,0.0009835
7,175.478,1.89038,3.0395,1.66977,1.50231,0,0.72048,0.41563,0.47696,0.2737,0.72023,0.41468,0.4674,0.24292,1.70681,3.2179,1.70441,1.52865,0,0.0009802,0.0009802,0.0009802
8,198.186,1.78955,2.90052,1.57805,1.43613,0,0.72152,0.45281,0.51239,0.30637,0.71921,0.45567,0.50791,0.28066,1.58734,2.93592,1.59059,1.42674,0,0.0009769,0.0009769,0.0009769
9,221.488,1.7098,2.74936,1.50534,1.39123,0,0.73788,0.4795,0.53807,0.32513,0.7229,0.48141,0.53166,0.31157,1.50691,2.75275,1.45837,1.37886,0,0.0009736,0.0009736,0.0009736
10,247.556,1.65447,2.6792,1.44383,1.35012,0,0.82075,0.47474,0.55944,0.35296,0.80168,0.48046,0.55737,0.34612,1.43375,2.61486,1.41772,1.33855,0,0.0009703,0.0009703,0.0009703
11,270.874,1.6047,2.63667,1.41977,1.31159,0,0.83265,0.49803,0.58002,0.37873,0.8402,0.49621,0.5774,0.36797,1.37208,2.53176,1.3498,1.30202,0,0.000967,0.000967,0.000967
12,296.21,1.56156,2.6156,1.34786,1.27272,0,0.83744,0.50906,0.58985,0.37403,0.84316,0.50737,0.58898,0.37004,1.39098,2.41673,1.29009,1.29819,0,0.0009637,0.0009637,0.0009637
13,319.678,1.52059,2.49493,1.33541,1.25977,0,0.82263,0.50403,0.59218,0.38598,0.80228,0.50429,0.58562,0.37305,1.35317,2.36918,1.3002,1.28018,0,0.0009604,0.0009604,0.0009604
14,342.678,1.48853,2.42408,1.29912,1.23889,0,0.79032,0.52526,0.59185,0.38025,0.78889,0.52431,0.58981,0.37938,1.3573,2.35514,1.33451,1.25819,0,0.0009571,0.0009571,0.0009571
15,368.414,1.48669,2.39849,1.29951,1.23124,0,0.83206,0.50429,0.59943,0.39464,0.83049,0.50334,0.59721,0.3897,1.34846,2.30515,1.29062,1.26152,0,0.0009538,0.0009538,0.0009538
16,392.724,1.4534,2.31543,1.25656,1.22306,0,0.80534,0.53861,0.62292,0.41759,0.80249,0.5367,0.6166,0.41351,1.27971,2.20783,1.20362,1.2268,0,0.0009505,0.0009505,0.0009505
17,417.882,1.40668,2.25914,1.24271,1.19084,0,0.81155,0.54601,0.63144,0.42016,0.80752,0.54242,0.62473,0.40699,1.25907,2.22855,1.18136,1.21489,0,0.0009472,0.0009472,0.0009472
18,441.475,1.38335,2.24299,1.21291,1.17764,0,0.84698,0.54719,0.63162,0.42968,0.85216,0.54814,0.63207,0.42158,1.23168,2.19821,1.13515,1.1957,0,0.0009439,0.0009439,0.0009439
19,464.099,1.37859,2.23589,1.18911,1.17907,0,0.87249,0.54051,0.64763,0.43799,0.86644,0.54242,0.6449,0.42981,1.22924,2.18759,1.13222,1.19701,0,0.0009406,0.0009406,0.0009406
20,488.713,1.38922,2.17951,1.19559,1.18501,0,0.84889,0.54624,0.64857,0.44103,0.85467,0.54939,0.64596,0.42795,1.22235,2.09559,1.13155,1.17772,0,0.0009373,0.0009373,0.0009373
21,512.244,1.35102,2.1871,1.16572,1.16354,0,0.83278,0.56721,0.65767,0.45816,0.83127,0.57102,0.65854,0.43938,1.1612,2.0954,1.13776,1.16276,0,0.000934,0.000934,0.000934
22,537.608,1.32402,2.14339,1.15831,1.16201,0,0.81694,0.56149,0.66361,0.45744,0.78898,0.5796,0.66454,0.44708,1.16945,2.01503,1.13244,1.15921,0,0.0009307,0.0009307,0.0009307
23,560.454,1.2698,2.03329,1.10528,1.12311,0,0.87607,0.57955,0.68193,0.46743,0.86732,0.58341,0.68156,0.46207,1.17045,1.98069,1.03003,1.15904,0,0.0009274,0.0009274,0.0009274
24,583.103,1.30798,2.08581,1.1338,1.14164,0,0.8645,0.55957,0.66851,0.46867,0.86745,0.56148,0.66669,0.45889,1.13918,2.00463,1.11559,1.1399,0,0.0009241,0.0009241,0.0009241
25,608.25,1.29506,2.09645,1.09305,1.1195,0,0.86071,0.59199,0.68383,0.47679,0.86101,0.59052,0.68304,0.46574,1.12975,1.99785,1.04237,1.13891,0,0.0009208,0.0009208,0.0009208
26,632.687,1.27424,1.9894,1.1046,1.13669,0,0.87019,0.58154,0.68532,0.46842,0.87566,0.5796,0.68138,0.46902,1.14295,1.93178,1.03708,1.13342,0,0.0009175,0.0009175,0.0009175
27,657.139,1.24701,1.99102,1.07881,1.12537,0,0.84261,0.59485,0.69062,0.48567,0.84979,0.59325,0.6879,0.47314,1.08838,1.86203,1.0358,1.1204,0,0.0009142,0.0009142,0.0009142
28,679.627,1.24628,1.98508,1.04855,1.09711,0,0.82499,0.62917,0.70475,0.49845,0.86766,0.59374,0.69324,0.48054,1.07353,1.86024,0.98144,1.09984,0,0.0009109,0.0009109,0.0009109
29,702.84,1.21937,1.91382,1.03811,1.09712,0,0.84561,0.60343,0.69496,0.49697,0.84394,0.59867,0.68976,0.4761,1.06617,1.84967,1.00199,1.0925,0,0.0009076,0.0009076,0.0009076
30,725.654,1.2161,1.9231,1.03495,1.08696,0,0.8699,0.61189,0.70573,0.49524,0.87123,0.6063,0.7011,0.48179,1.06869,1.86912,1.01534,1.09864,0,0.0009043,0.0009043,0.0009043
31,750.414,1.21536,1.90026,1.02683,1.08256,0,0.86589,0.60248,0.70016,0.50139,0.85444,0.60434,0.69314,0.47933,1.04482,1.82366,1.00601,1.0891,0,0.000901,0.000901,0.000901
32,777.349,1.19644,1.87967,1.03234,1.0858,0,0.8875,0.60343,0.71116,0.50406,0.88591,0.5996,0.70587,0.49024,1.03943,1.74323,0.98804,1.08355,0,0.0008977,0.0008977,0.0008977
