epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1204,3.97967,4.99827,3.69923,3.01485,0,0.00326,0.18017,0.00078,0.00018,0.00223,0.12297,0.00037,7e-05,3.43653,4.71431,3.8477,2.57358,0,0.000325581,0.000325581,0.0677674
2,59.0174,3.36717,4.36549,3.33635,2.36665,0,0,0,0,0,0,0,0,0,3.47156,4.89866,4.29583,2.42082,0,0.00065674,0.00065674,0.0347653
3,85.5773,2.87335,4.09034,2.68239,2.08303,0,0.23883,0.11725,0.05381,0.01776,0.20194,0.09914,0.03712,0.00897,3.19073,4.78679,4.16777,2.2693,0,0.000985699,0.000985699,0.00176089
4,112.251,2.54578,3.81578,2.2795,1.89044,0,0.53276,0.32283,0.31076,0.13223,0.5074,0.32316,0.29281,0.10513,2.33001,3.75303,2.22037,1.96753,0,0.0009901,0.0009901,0.0009901
5,138.363,2.34483,3.58727,2.06162,1.76591,0,0.55168,0.36225,0.37318,0.18042,0.53135,0.3489,0.35157,0.15697,2.04307,3.49562,2.08703,1.78327,0,0.0009868,0.0009868,0.0009868
6,165.28,2.14258,3.40877,1.88258,1.64843,0,0.61099,0.41182,0.43269,0.23271,0.61806,0.41659,0.43449,0.22169,1.84702,3.26479,1.90749,1.64644,0,0.0009835,0.0009835,0.0009835
7,191.883,2.04919,3.27791,1.7695,1.5811,0,0.72712,0.40134,0.45666,0.25894,0.7049,0.40533,0.44731,0.22681,1.78575,3.345,1.72258,1.59613,0,0.0009802,0.0009802,0.0009802
8,216.38,1.93271,3.14873,1.6794,1.51109,0,0.75642,0.43812,0.5096,0.30306,0.74259,0.44805,0.51118,0.292,1.66059,2.98422,1.56255,1.47885,0,0.0009769,0.0009769,0.0009769
9,243.803,1.79689,2.96833,1.5764,1.43705,0,0.70987,0.48332,0.53958,0.33556,0.78598,0.45377,0.53115,0.30828,1.53237,2.96395,1.43988,1.39184,0,0.0009736,0.0009736,0.0009736
10,269.701,1.77101,2.90565,1.52989,1.40305,0,0.79614,0.4776,0.56236,0.35278,0.80995,0.47474,0.55961,0.33323,1.50969,2.80083,1.38812,1.37647,0,0.0009703,0.0009703,0.0009703
