epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5706,2.37332,49.8723,4.75992,3.00269,0,0,0,0,0,0,0,0,0,2.50162,34.8469,4.27063,2.7439,0,0.000325581,0.000325581,0.0677674
2,52.1048,2.05052,16.9789,3.86099,2.41934,0,0,0,0,0,0,0,0,0,1.93367,105.135,4.25463,2.56167,0,0.00065674,0.00065674,0.0347653
3,76.0633,1.66517,14.7668,3.61395,2.12938,0,0.00532,0.29361,0.00387,0.00116,0,0,0,0,1.54415,16.0482,3.98281,2.12021,0,0.000985699,0.000985699,0.00176089
4,99.2295,1.43795,12.7094,3.40551,1.91845,0,0.11201,0.06482,0.02593,0.0096,0.08311,0.04099,0.01057,0.00288,1.41985,14.9292,3.83208,2.01291,0,0.0009901,0.0009901,0.0009901
5,123.168,1.35934,10.6299,3.13999,1.80756,0,0.18356,0.15348,0.05394,0.02031,0.16891,0.11058,0.02974,0.00948,1.39966,12.6328,4.31601,1.97159,0,0.0009868,0.0009868,0.0009868
6,147.689,1.22241,9.06152,2.77552,1.68049,0,0.23893,0.1897,0.10596,0.04284,0.25198,0.16873,0.09134,0.03193,1.24681,10.7692,3.27397,1.84961,0,0.0009835,0.0009835,0.0009835
7,170.481,1.18448,7.93061,2.56551,1.60978,0,0.28158,0.22306,0.16893,0.06947,0.27958,0.20782,0.14668,0.05429,1.14971,8.83277,3.11006,1.70461,0,0.0009802,0.0009802,0.0009802
8,193.431,1.13694,7.16475,2.38955,1.55387,0,0.40852,0.30791,0.28627,0.12989,0.40044,0.30696,0.27194,0.10879,1.02528,6.84998,2.78038,1.64204,0,0.0009769,0.0009769,0.0009769
9,217.433,1.0713,6.31402,2.22408,1.48669,0,0.48544,0.32602,0.32069,0.15057,0.44082,0.28599,0.26075,0.09444,0.98233,6.85607,2.61789,1.55952,0,0.0009736,0.0009736,0.0009736
10,241.363,1.02523,5.83406,2.09813,1.44323,0,0.42416,0.32221,0.30276,0.15179,0.41286,0.31363,0.28266,0.13541,0.92747,5.90955,2.38875,1.50641,0,0.0009703,0.0009703,0.0009703
11,265.075,1.00081,5.55167,2.0291,1.40595,0,0.59499,0.36034,0.38362,0.19973,0.57331,0.34414,0.34,0.15524,0.87182,6.081,2.29151,1.46567,0,0.000967,0.000967,0.000967
12,288.343,0.93109,5.26877,1.89381,1.36074,0,0.57934,0.36511,0.38713,0.19911,0.57875,0.35558,0.3733,0.19395,0.85345,5.19791,2.24433,1.44563,0,0.0009637,0.0009637,0.0009637
13,310.908,0.92878,4.88186,1.87088,1.33952,0,0.59411,0.38894,0.41652,0.2296,0.5932,0.37941,0.39627,0.20925,0.77695,4.645,2.08328,1.37413,0,0.0009604,0.0009604,0.0009604
14,334.756,0.88391,4.76672,1.77618,1.30584,0,0.58013,0.40041,0.41872,0.2266,0.56619,0.39752,0.40692,0.22685,0.80657,4.55076,2.11386,1.38939,0,0.0009571,0.0009571,0.0009571
15,357.737,0.87047,4.70227,1.76006,1.29315,0,0.43545,0.3899,0.2636,0.14601,0.4376,0.3756,0.25033,0.13717,0.83184,5.42265,2.30708,1.39318,0,0.0009538,0.0009538,0.0009538
16,380.459,0.82719,4.37828,1.70102,1.26755,0,0.63252,0.39847,0.43927,0.26866,0.65828,0.38132,0.41568,0.24352,0.74107,4.6383,1.96812,1.31042,0,0.0009505,0.0009505,0.0009505
17,404.741,0.80475,4.31222,1.67442,1.24589,0,0.62279,0.41563,0.44861,0.27515,0.62055,0.40801,0.42903,0.24446,0.76292,4.71501,1.9659,1.31992,0,0.0009472,0.0009472,0.0009472
