epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8396,4.11478,6.07102,3.90336,3.40958,0,9e-05,0.00477,0,0,0.0001,0.00572,0,0,3.41449,4.61484,3.73437,2.65355,0,0.000325581,0.000325581,0.0677674
2,21.6196,3.45624,4.40611,3.26044,2.39845,0,0.00986,0.07626,0.00174,0.00066,0.00801,0.06196,0.00157,0.00042,3.48778,4.76882,4.17281,2.39159,0,0.00065674,0.00065674,0.0347653
3,31.7809,2.95817,4.09107,2.66084,2.04807,0,0.49986,0.14585,0.15242,0.06397,0.44174,0.13201,0.11342,0.02817,2.74092,4.60303,2.97029,2.03896,0,0.000985699,0.000985699,0.00176089
4,41.5115,2.59598,3.78241,2.28118,1.82849,0,0.61403,0.27904,0.31121,0.13898,0.60983,0.27714,0.3014,0.12085,2.30281,3.95013,2.20638,1.79507,0,0.0009901,0.0009901,0.0009901
5,52.1368,2.37296,3.55452,2.07234,1.69348,0,0.60423,0.39296,0.41145,0.20476,0.63405,0.34986,0.37441,0.16517,2.04174,3.99389,1.9337,1.6009,0,0.0009868,0.0009868,0.0009868
6,62.3706,2.19079,3.38072,1.9123,1.58673,0,0.71845,0.40801,0.46239,0.2582,0.71833,0.40229,0.45176,0.24385,1.87394,3.35533,1.71359,1.51652,0,0.0009835,0.0009835,0.0009835
7,73.0788,2.05481,3.21977,1.77983,1.52926,0,0.7483,0.42421,0.48234,0.26636,0.7298,0.41373,0.46109,0.21552,1.82469,3.45763,1.59797,1.48314,0,0.0009802,0.0009802,0.0009802
8,83.7081,1.97349,3.08224,1.6819,1.46423,0,0.87646,0.42606,0.51589,0.30902,0.86538,0.42707,0.51552,0.30299,1.64414,2.96277,1.47924,1.3862,0,0.0009769,0.0009769,0.0009769
9,94.5311,1.83936,2.94666,1.59329,1.4134,0,0.84401,0.45377,0.53595,0.324,0.84141,0.45521,0.53273,0.32888,1.57723,2.84769,1.43134,1.353,0,0.0009736,0.0009736,0.0009736
10,105.163,1.79376,2.91339,1.52765,1.3849,0,0.84311,0.45758,0.53855,0.33153,0.83353,0.45824,0.53761,0.33099,1.57419,2.73485,1.40107,1.35473,0,0.0009703,0.0009703,0.0009703
11,115.782,1.75367,2.85399,1.5034,1.34501,0,0.83292,0.48474,0.56267,0.34951,0.81708,0.48971,0.56245,0.35257,1.48309,2.62548,1.33203,1.31797,0,0.000967,0.000967,0.000967
12,126.284,1.71038,2.83492,1.44192,1.31055,0,0.79977,0.49952,0.5665,0.35657,0.80282,0.50143,0.57195,0.35948,1.44866,2.61713,1.26268,1.29132,0,0.0009637,0.0009637,0.0009637
13,137.189,1.66107,2.71362,1.42297,1.29647,0,0.83697,0.48939,0.56619,0.36625,0.83223,0.48709,0.5621,0.35634,1.40183,2.55013,1.2843,1.25272,0,0.0009604,0.0009604,0.0009604
14,148.014,1.61632,2.68686,1.37537,1.26862,0,0.8306,0.48808,0.57136,0.3752,0.85134,0.48042,0.56518,0.37387,1.34561,2.5589,1.22982,1.23139,0,0.0009571,0.0009571,0.0009571
15,158.453,1.57779,2.61898,1.37116,1.24525,0,0.80646,0.51478,0.58549,0.38437,0.82242,0.50715,0.58599,0.37934,1.3868,2.47457,1.21856,1.23528,0,0.0009538,0.0009538,0.0009538
16,168.743,1.549,2.53761,1.33193,1.23677,0,0.808,0.5224,0.5926,0.3824,0.80061,0.51676,0.58906,0.38693,1.36623,2.41199,1.32789,1.21675,0,0.0009505,0.0009505,0.0009505
17,178.992,1.51554,2.49233,1.29295,1.2102,0,0.81751,0.51478,0.6005,0.39935,0.82205,0.51764,0.60765,0.39134,1.32186,2.40478,1.20523,1.20116,0,0.0009472,0.0009472,0.0009472
18,189.455,1.49633,2.46573,1.27686,1.20283,0,0.79271,0.51764,0.5873,0.39565,0.79138,0.51382,0.58419,0.38406,1.2795,2.32057,1.17478,1.1883,0,0.0009439,0.0009439,0.0009439
19,202.222,1.4782,2.46126,1.24079,1.19505,0,0.84418,0.51096,0.60264,0.40755,0.8426,0.51001,0.60273,0.39996,1.27864,2.32476,1.14161,1.18341,0,0.0009406,0.0009406,0.0009406
20,214.452,1.50203,2.3935,1.25856,1.20404,0,0.83258,0.5262,0.61997,0.42281,0.82503,0.52144,0.61365,0.40944,1.23082,2.29316,1.15198,1.15746,0,0.0009373,0.0009373,0.0009373
21,228.184,1.45234,2.37339,1.19935,1.18328,0,0.83148,0.51382,0.6026,0.41337,0.83133,0.51215,0.59699,0.40402,1.22501,2.28246,1.1249,1.15272,0,0.000934,0.000934,0.000934
22,240.131,1.43385,2.34382,1.22325,1.17999,0,0.85571,0.52526,0.62577,0.42695,0.84752,0.53289,0.62877,0.41906,1.27641,2.24051,1.0948,1.18077,0,0.0009307,0.0009307,0.0009307
23,253.546,1.35602,2.2337,1.14339,1.13894,0,0.86665,0.53898,0.63348,0.42945,0.86689,0.53861,0.63214,0.42608,1.19252,2.19278,1.05958,1.13904,0,0.0009274,0.0009274,0.0009274
24,267.262,1.39033,2.28139,1.16861,1.14955,0,0.8454,0.53765,0.62962,0.43411,0.8584,0.53744,0.63094,0.42123,1.19657,2.19726,1.02765,1.13699,0,0.0009241,0.0009241,0.0009241
25,281.047,1.36904,2.30279,1.12948,1.1232,0,0.82892,0.5635,0.64182,0.43935,0.82471,0.56065,0.63757,0.4303,1.18076,2.18362,1.09747,1.13577,0,0.0009208,0.0009208,0.0009208
26,293.683,1.3613,2.19501,1.1562,1.15069,0,0.84163,0.55005,0.63835,0.43791,0.84308,0.551,0.63385,0.43576,1.20992,2.18735,1.04088,1.12988,0,0.0009175,0.0009175,0.0009175
27,311.983,1.35303,2.21084,1.15006,1.14306,0,0.82028,0.55256,0.63772,0.43453,0.79803,0.55672,0.63054,0.42485,1.20522,2.22381,1.05668,1.13494,0,0.0009142,0.0009142,0.0009142
28,329.196,1.34439,2.18644,1.10364,1.11616,0,0.81197,0.56339,0.6391,0.43842,0.81859,0.55386,0.63424,0.41808,1.1394,2.19704,1.04494,1.11389,0,0.0009109,0.0009109,0.0009109
29,343.693,1.30489,2.13369,1.07884,1.11268,0,0.83872,0.53861,0.61628,0.41238,0.8381,0.5367,0.61306,0.41465,1.26132,2.18074,1.1151,1.15218,0,0.0009076,0.0009076,0.0009076
30,359.995,1.32985,2.1238,1.10359,1.11776,0,0.853,0.55577,0.65805,0.45128,0.85473,0.54966,0.64883,0.44241,1.1638,2.17171,1.02267,1.10848,0,0.0009043,0.0009043,0.0009043
31,378.018,1.30607,2.10124,1.08707,1.09877,0,0.8255,0.55017,0.64386,0.44941,0.82264,0.54826,0.63717,0.43488,1.14019,2.10377,1.00676,1.10368,0,0.000901,0.000901,0.000901
32,395.176,1.27272,2.08844,1.06055,1.09912,0,0.88012,0.57389,0.66794,0.45828,0.88012,0.57389,0.66554,0.45037,1.15776,1.92916,0.98269,1.11201,0,0.0008977,0.0008977,0.0008977
33,409.402,1.28681,2.03881,1.06059,1.09856,0,0.83363,0.56149,0.64562,0.4559,0.83363,0.56149,0.64512,0.45446,1.14404,1.94016,1.00682,1.10743,0,0.0008944,0.0008944,0.0008944
34,427.315,1.25997,2.01979,1.05165,1.08655,0,0.84418,0.55958,0.66701,0.47666,0.8368,0.56701,0.66564,0.46297,1.06809,1.97172,0.93247,1.07846,0,0.0008911,0.0008911,0.0008911
35,444.131,1.24293,1.95468,1.01032,1.07996,0,0.86295,0.58225,0.67991,0.47751,0.87418,0.5762,0.67457,0.47619,1.08159,1.91551,0.95194,1.07607,0,0.0008878,0.0008878,0.0008878
36,461.211,1.22892,1.97087,0.99875,1.07683,0,0.82902,0.56339,0.65636,0.4661,0.82115,0.56339,0.65181,0.45516,1.0788,1.93572,1.02844,1.07042,0,0.0008845,0.0008845,0.0008845
37,477.775,1.24407,1.96415,1.01191,1.08339,0,0.86038,0.5939,0.68007,0.49144,0.86321,0.59199,0.67869,0.47812,1.04373,1.86504,0.94552,1.05755,0,0.0008812,0.0008812,0.0008812
38,493.984,1.21956,1.92654,0.99179,1.07156,0,0.8213,0.59962,0.67431,0.47779,0.82159,0.59702,0.67122,0.47549,1.11059,1.83932,0.96243,1.08399,0,0.0008779,0.0008779,0.0008779
39,510.813,1.20606,1.86568,0.98054,1.07351,0,0.87156,0.59295,0.6825,0.49821,0.87814,0.59295,0.67879,0.48017,1.02433,1.78835,0.93413,1.06153,0,0.0008746,0.0008746,0.0008746
40,526.74,1.19627,1.90818,0.9814,1.06474,0,0.84638,0.59676,0.68061,0.49074,0.84247,0.59647,0.68023,0.48685,1.04674,1.78979,0.89488,1.06051,0,0.0008713,0.0008713,0.0008713
41,543.167,1.18241,1.86038,0.97656,1.05715,0,0.86807,0.58818,0.69602,0.50266,0.88316,0.58364,0.69515,0.49459,1.0323,1.73735,0.92476,1.05056,0,0.000868,0.000868,0.000868
42,560.078,1.19132,1.86188,0.96056,1.0451,0,0.86982,0.58723,0.68354,0.50128,0.89511,0.57769,0.68125,0.4867,1.0098,1.76883,0.89768,1.04294,0,0.0008647,0.0008647,0.0008647
43,575.512,1.18215,1.85402,0.96352,1.04943,0,0.84342,0.57674,0.67238,0.49202,0.83599,0.57336,0.66676,0.47459,1.03587,1.83391,0.93448,1.05183,0,0.0008614,0.0008614,0.0008614
44,592.354,1.20213,1.89539,0.98428,1.06146,0,0.84688,0.57769,0.68525,0.50502,0.85251,0.57857,0.68413,0.49216,0.99856,1.7479,0.90187,1.03501,0,0.0008581,0.0008581,0.0008581
45,608.893,1.15053,1.84374,0.94359,1.0519,0,0.85887,0.58596,0.68944,0.49994,0.86327,0.58437,0.68704,0.48704,1.01819,1.80353,0.94421,1.03837,0,0.0008548,0.0008548,0.0008548
46,625.812,1.13742,1.79872,0.94385,1.03899,0,0.84842,0.62154,0.70455,0.50826,0.84712,0.62059,0.70243,0.50451,1.02353,1.70946,0.88002,1.04257,0,0.0008515,0.0008515,0.0008515
47,642.925,1.16072,1.8274,0.93132,1.04261,0,0.88257,0.61106,0.70635,0.51686,0.87581,0.61964,0.70672,0.49921,0.98546,1.67372,0.83966,1.03289,0,0.0008482,0.0008482,0.0008482
