epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.438,4.18283,7.62311,3.87305,3.57401,0,0.00168,0.09247,0.00036,0.00021,0.00107,0.0591,0.00048,0.0001,3.42893,4.64655,3.76183,2.80484,0,0.000325581,0.000325581,0.0677674
2,47.6941,3.08588,4.02672,2.73363,2.34447,0,0.00216,0.03718,0.0009,0.00014,0,0,0,0,3.60344,7.65884,4.47922,2.48006,0,0.00065674,0.00065674,0.0347653
3,73.8021,2.4968,3.4529,2.02683,1.88886,0,0.31274,0.14681,0.12319,0.0522,0.32229,0.12583,0.10564,0.03805,2.66859,5.48462,3.65279,2.06334,0,0.000985699,0.000985699,0.00176089
4,104.116,2.20614,3.11949,1.78454,1.6876,0,0.57759,0.38418,0.39507,0.20435,0.57745,0.38894,0.39783,0.23031,1.86248,3.31829,3.46653,1.65398,0,0.0009901,0.0009901,0.0009901
5,135.595,2.02814,2.93787,1.63189,1.55647,0,0.7444,0.45186,0.51895,0.30003,0.74841,0.45472,0.52104,0.33207,1.68922,2.74897,2.45211,1.54521,0,0.0009868,0.0009868,0.0009868
6,166.171,1.82689,2.78476,1.46426,1.44658,0,0.82218,0.48522,0.5709,0.35844,0.80618,0.48904,0.57197,0.37284,1.51275,2.63519,1.63192,1.40175,0,0.0009835,0.0009835,0.0009835
7,194.777,1.71436,2.61377,1.38213,1.38185,0,0.81987,0.48808,0.58863,0.36388,0.82582,0.4938,0.58803,0.3783,1.49794,2.49599,1.48042,1.40408,0,0.0009802,0.0009802,0.0009802
8,222.311,1.60324,2.44458,1.30043,1.32558,0,0.74333,0.50334,0.55278,0.34424,0.74333,0.50334,0.5538,0.36126,1.53819,2.4259,1.34299,1.42925,0,0.0009769,0.0009769,0.0009769
9,248.673,1.53057,2.33436,1.23448,1.29416,0,0.84748,0.55005,0.63988,0.42465,0.84748,0.55005,0.63592,0.41476,1.29269,2.27218,1.1512,1.2799,0,0.0009736,0.0009736,0.0009736
10,277.505,1.43826,2.26451,1.17897,1.24363,0,0.78028,0.53487,0.61093,0.42136,0.78167,0.53583,0.60929,0.41105,1.2219,2.10291,1.11971,1.23535,0,0.0009703,0.0009703,0.0009703
