epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6842,3.24131,7.72963,4.70551,0.01436,4.89915,0.00434,0.23928,0.00121,0.00025,0,0,0,0,2.93332,4.96849,3.98392,0.01595,0,0.000325581,0.000325581,0.0677674
2,37.9347,3.11866,4.63156,4.19035,0.01368,4.0561,0.00278,0.15348,0.00047,0.00011,0.00156,0.0858,0.00015,3e-05,2.7937,4.92436,4.15432,0.01559,0,0.00065674,0.00065674,0.0347653
3,56.6095,2.96477,4.41565,3.81092,0.01207,3.63442,0.02049,0.23642,0.01699,0.00603,0.0195,0.22498,0.01724,0.00544,2.67466,4.52575,3.86683,0.01433,0,0.000985699,0.000985699,0.00176089
4,75.5299,2.79979,4.18918,3.36175,0.01083,2.963,0.22325,0.19638,0.0934,0.02527,0.21836,0.18684,0.08956,0.023,2.63296,4.25233,3.6977,0.01495,0,0.0009901,0.0009901,0.0009901
5,94.1188,2.67624,3.90874,3.03714,0.01013,2.46003,0.42535,0.28027,0.24775,0.09495,0.46598,0.26978,0.25975,0.10432,2.45151,3.89398,3.14678,0.01267,0,0.0009868,0.0009868,0.0009868
6,111.847,2.58509,3.74254,2.80096,0.00971,2.226,0.45088,0.32602,0.304,0.12292,0.48128,0.3346,0.32163,0.13692,2.31293,3.53796,2.72592,0.01174,0,0.0009835,0.0009835,0.0009835
7,129.903,2.51866,3.56672,2.73946,0.00949,2.01161,0.49998,0.33648,0.32913,0.13247,0.49799,0.35367,0.33495,0.13414,2.38104,3.62574,2.53601,0.01166,0,0.0009802,0.0009802,0.0009802
8,148.184,2.4866,3.50776,2.6225,0.00929,1.8967,0.60276,0.35295,0.36637,0.16652,0.60925,0.35367,0.37236,0.18615,2.18247,3.22078,2.3521,0.01045,0,0.0009769,0.0009769,0.0009769
9,166.516,2.36988,3.31295,2.48782,0.00878,1.72189,0.60481,0.38799,0.41384,0.21541,0.60629,0.38894,0.41187,0.23017,2.12596,3.12261,2.16481,0.01004,0,0.0009736,0.0009736,0.0009736
10,185.249,2.36509,3.32642,2.43702,0.00857,1.71554,0.54938,0.37846,0.4019,0.20183,0.54477,0.39561,0.40347,0.22843,2.12269,3.05955,2.19539,0.01013,0,0.0009703,0.0009703,0.0009703
11,204.335,2.3276,3.27154,2.39044,0.00827,1.66258,0.60663,0.41373,0.43815,0.2292,0.61582,0.41563,0.43987,0.24352,1.96159,2.89451,2.10796,0.00902,0,0.000967,0.000967,0.000967
12,222.451,2.28512,3.23349,2.29446,0.00778,1.59846,0.64709,0.42649,0.4738,0.25183,0.65435,0.43313,0.47554,0.27415,1.96121,2.83003,2.00134,0.00889,0,0.0009637,0.0009637,0.0009637
13,240.62,2.25324,3.08465,2.24468,0.00791,1.49369,0.68343,0.42602,0.47463,0.26513,0.68649,0.42792,0.47534,0.28669,1.91795,2.77123,1.91396,0.00879,0,0.0009604,0.0009604,0.0009604
14,259.3,2.23328,3.02729,2.20031,0.00771,1.38847,0.6536,0.44805,0.4843,0.25015,0.66764,0.45766,0.49648,0.29261,1.99666,2.69101,2.02492,0.00946,0,0.0009571,0.0009571,0.0009571
15,277.463,2.24177,3.00659,2.22622,0.00773,1.55804,0.6434,0.46044,0.4922,0.26782,0.66304,0.46144,0.49819,0.29569,1.96986,2.70096,1.83338,0.00907,0,0.0009538,0.0009538,0.0009538
16,295.177,2.20578,2.9503,2.13586,0.00748,1.49815,0.70156,0.4652,0.51218,0.29132,0.69725,0.46235,0.50655,0.31732,1.84585,2.6656,1.8603,0.00823,0,0.0009505,0.0009505,0.0009505
17,313.945,2.17887,2.87772,2.09761,0.00731,1.37693,0.66509,0.44233,0.49306,0.26532,0.66766,0.44623,0.49727,0.29772,1.95331,2.69031,1.89558,0.00889,0,0.0009472,0.0009472,0.0009472
18,332.138,2.16025,2.89488,2.05216,0.0071,1.42696,0.70467,0.44328,0.503,0.28264,0.6957,0.44678,0.50361,0.30512,1.87281,2.63715,1.94481,0.00857,0,0.0009439,0.0009439,0.0009439
19,350.289,2.13143,2.84476,2.02715,0.00709,1.29021,0.70723,0.45365,0.52304,0.30662,0.7102,0.45555,0.52152,0.3428,1.85704,2.5817,1.71656,0.0083,0,0.0009406,0.0009406,0.0009406
20,368.248,2.15322,2.79448,2.04613,0.00721,1.37449,0.65375,0.47517,0.50679,0.29001,0.65288,0.47873,0.51117,0.31235,1.84547,2.59273,1.91681,0.00822,0,0.0009373,0.0009373,0.0009373
21,386.177,2.07019,2.81005,1.95356,0.00702,1.35868,0.72164,0.49923,0.5498,0.3242,0.72062,0.50238,0.55255,0.34542,1.79011,2.47853,1.78377,0.0079,0,0.000934,0.000934,0.000934
22,403.955,2.11283,2.77515,1.98097,0.00703,1.22962,0.72212,0.4795,0.54677,0.3214,0.71925,0.4776,0.5441,0.34876,1.8082,2.49279,1.6685,0.00805,0,0.0009307,0.0009307,0.0009307
23,421.196,2.05092,2.642,1.89502,0.00678,1.24129,0.72219,0.50143,0.55899,0.3284,0.72004,0.49772,0.55872,0.35523,1.77609,2.43602,1.65788,0.00771,0,0.0009274,0.0009274,0.0009274
24,439.545,2.06464,2.67316,1.92526,0.00684,1.2236,0.7306,0.50334,0.55825,0.32089,0.73218,0.50524,0.56222,0.35362,1.82228,2.48152,1.8051,0.00807,0,0.0009241,0.0009241,0.0009241
25,457.899,2.05222,2.72195,1.88121,0.00629,1.24334,0.72971,0.49285,0.55552,0.32634,0.73899,0.49952,0.56123,0.36292,1.79138,2.37053,1.75928,0.00801,0,0.0009208,0.0009208,0.0009208
26,475.549,2.03808,2.59796,1.91194,0.00712,1.34271,0.70431,0.48046,0.54552,0.31393,0.76216,0.46711,0.5452,0.34469,1.79894,2.57108,1.9218,0.00791,0,0.0009175,0.0009175,0.0009175
27,493.116,2.01287,2.58452,1.87459,0.00688,1.175,0.74152,0.48999,0.56605,0.34473,0.74008,0.48904,0.56412,0.37094,1.7139,2.33374,1.675,0.00751,0,0.0009142,0.0009142,0.0009142
28,511.145,2.01387,2.60958,1.85365,0.00635,1.16727,0.72011,0.51192,0.56947,0.34402,0.72456,0.51658,0.57276,0.36744,1.74586,2.33083,1.61817,0.00774,0,0.0009109,0.0009109,0.0009109
29,528.819,1.98453,2.5382,1.83252,0.0065,1.05485,0.75668,0.48236,0.5604,0.34236,0.74584,0.48618,0.56235,0.36646,1.75104,2.34807,1.70107,0.00785,0,0.0009076,0.0009076,0.0009076
30,546.651,1.98861,2.58477,1.83553,0.00629,1.11449,0.73214,0.52622,0.57738,0.35672,0.73471,0.52622,0.58,0.38443,1.66996,2.27561,1.59736,0.00717,0,0.0009043,0.0009043,0.0009043
31,564.328,1.9559,2.54766,1.79851,0.00607,1.08918,0.77751,0.51478,0.58812,0.3612,0.78157,0.52189,0.59348,0.38069,1.67546,2.28269,1.61753,0.00735,0,0.000901,0.000901,0.000901
32,583.024,1.95202,2.52209,1.78907,0.0064,1.13429,0.75775,0.5081,0.57306,0.35254,0.75589,0.51362,0.57887,0.37509,1.66237,2.22053,1.61162,0.00713,0,0.0008977,0.0008977,0.0008977
33,600.415,1.98516,2.51469,1.81349,0.00636,1.15386,0.78799,0.48904,0.56729,0.35729,0.7599,0.50334,0.5705,0.38242,1.67511,2.24136,1.64134,0.00725,0,0.0008944,0.0008944,0.0008944
34,618.197,1.96253,2.44571,1.76199,0.0063,1.07484,0.78757,0.51953,0.58821,0.36885,0.78247,0.5205,0.59023,0.38896,1.59559,2.24737,1.62407,0.00669,0,0.0008911,0.0008911,0.0008911
35,635.079,1.90401,2.40189,1.72207,0.00621,1.01824,0.77054,0.51382,0.59538,0.36706,0.7688,0.51192,0.6001,0.39375,1.66905,2.20322,1.53108,0.007,0,0.0008878,0.0008878,0.0008878
36,653.908,1.92263,2.44809,1.74629,0.00603,1.03264,0.78862,0.51192,0.58931,0.36964,0.78862,0.51192,0.59075,0.39284,1.6204,2.18269,1.63249,0.00673,0,0.0008845,0.0008845,0.0008845
37,672.075,1.8951,2.37565,1.72876,0.00606,1.05033,0.76171,0.52108,0.59838,0.37087,0.76463,0.52646,0.6037,0.40225,1.66317,2.18979,1.60564,0.00717,0,0.0008812,0.0008812,0.0008812
38,689.934,1.88409,2.3783,1.71078,0.006,1.06907,0.74124,0.51954,0.58205,0.36871,0.75271,0.52431,0.58453,0.3963,1.61549,2.18717,1.67881,0.00694,0,0.0008779,0.0008779,0.0008779
39,708.53,1.8602,2.29631,1.70487,0.00612,1.09603,0.76499,0.50715,0.58953,0.38823,0.76931,0.51001,0.59466,0.40541,1.56417,2.16244,1.48368,0.00654,0,0.0008746,0.0008746,0.0008746
40,726.445,1.88786,2.36279,1.72688,0.006,1.12866,0.77991,0.52336,0.5953,0.38005,0.77423,0.51954,0.59383,0.39467,1.63511,2.1731,1.50919,0.00687,0,0.0008713,0.0008713,0.0008713
41,744.186,1.86723,2.32793,1.71285,0.00604,1.01587,0.75189,0.5205,0.59057,0.38173,0.75327,0.52145,0.59516,0.40005,1.59722,2.11485,1.56814,0.00674,0,0.000868,0.000868,0.000868
42,761.804,1.89293,2.36148,1.7043,0.0058,1.06422,0.73017,0.51478,0.58881,0.36395,0.72986,0.52145,0.59794,0.39044,1.6202,2.09949,1.64712,0.00699,0,0.0008647,0.0008647,0.0008647
43,779.484,1.87856,2.33986,1.68108,0.00599,1.06942,0.73481,0.52431,0.58626,0.3783,0.74091,0.53159,0.59538,0.39464,1.5697,2.1046,1.7678,0.00659,0,0.0008614,0.0008614,0.0008614
44,797.19,1.87456,2.38381,1.6985,0.00584,1.04666,0.73576,0.5367,0.60494,0.39198,0.72439,0.5462,0.61314,0.41407,1.56644,2.03871,1.60938,0.00655,0,0.0008581,0.0008581,0.0008581
45,814.583,1.83739,2.34231,1.6929,0.00601,1.01965,0.7517,0.53103,0.60176,0.39024,0.7571,0.53484,0.60653,0.41063,1.5798,2.13255,1.48446,0.00651,0,0.0008548,0.0008548,0.0008548
46,832.799,1.84775,2.29342,1.65339,0.006,1.08717,0.7752,0.51287,0.59542,0.38514,0.7752,0.51287,0.59668,0.41169,1.55388,2.12249,1.68519,0.00646,0,0.0008515,0.0008515,0.0008515
