epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0838,4.12345,5.42198,3.83668,3.34284,0,0,0,0,0,0,0,0,0,3.46711,4.75011,3.99847,2.73865,0,0.000325581,0.000325581,0.0677674
2,28.2904,3.41093,4.32838,3.28614,2.40885,0,0.00264,0.14585,0.00043,0.00013,0.002,0.11058,0.00029,6e-05,3.52676,4.60081,3.88944,2.49243,0,0.00065674,0.00065674,0.0347653
3,42.6356,2.99242,4.13977,2.79857,2.14561,0,0.00131,0.07245,0.00033,6e-05,0.00081,0.0448,0.00047,0.0001,3.4322,4.56223,4.30965,2.73055,0,0.000985699,0.000985699,0.00176089
4,59.2969,2.82572,3.99951,2.62352,2.04339,0,0.14046,0.05624,0.02346,0.00737,0.10475,0.04194,0.01464,0.00411,2.88322,4.37486,3.79375,2.28785,0,0.0009901,0.0009901,0.0009901
5,77.6449,2.6689,3.85197,2.45234,1.93175,0,0.44667,0.20877,0.20365,0.08095,0.43583,0.19352,0.18177,0.0642,2.53142,4.00369,2.64504,1.99624,0,0.0009868,0.0009868,0.0009868
6,95.6974,2.53857,3.77195,2.31273,1.84957,0,0.50738,0.26883,0.27552,0.12407,0.48078,0.26216,0.24698,0.09312,2.30407,3.85249,2.37651,1.87363,0,0.0009835,0.0009835,0.0009835
7,115.268,2.45199,3.65383,2.18491,1.81736,0,0.53371,0.33825,0.34386,0.17584,0.5308,0.33864,0.33372,0.15058,2.11089,3.70767,2.14553,1.76078,0,0.0009802,0.0009802,0.0009802
8,136.228,2.31872,3.56991,2.05367,1.73416,0,0.56954,0.29266,0.3177,0.16529,0.55784,0.28744,0.31487,0.14311,2.2181,3.65271,2.21488,1.72807,0,0.0009769,0.0009769,0.0009769
9,157.154,2.20516,3.42338,1.94208,1.66682,0,0.61458,0.32529,0.37182,0.19801,0.62538,0.33101,0.37851,0.18152,2.05105,3.50095,1.97487,1.64272,0,0.0009736,0.0009736,0.0009736
10,179.97,2.15988,3.36949,1.92864,1.62794,0,0.65887,0.38608,0.42161,0.22405,0.65236,0.38227,0.40788,0.19079,1.94469,3.55544,1.80834,1.56892,0,0.0009703,0.0009703,0.0009703
11,202.266,2.12895,3.33628,1.86063,1.59684,0,0.62649,0.35272,0.3737,0.18573,0.62324,0.35367,0.37581,0.18488,2.13372,3.49755,1.95038,1.64586,0,0.000967,0.000967,0.000967
12,225.002,2.02258,3.24952,1.75365,1.51211,0,0.39641,0.25262,0.23198,0.1037,0.41252,0.25929,0.23884,0.09361,2.33636,3.65575,2.2235,1.698,0,0.0009637,0.0009637,0.0009637
13,246.817,1.94764,3.16048,1.72008,1.49814,0,0.67394,0.35653,0.4007,0.22358,0.66854,0.35367,0.39552,0.20426,1.88141,3.41143,1.96276,1.5434,0,0.0009604,0.0009604,0.0009604
14,270.856,1.91315,3.10402,1.68903,1.46108,0,0.71399,0.3918,0.46134,0.26543,0.70819,0.39371,0.45763,0.23564,1.7153,3.19804,1.6751,1.43922,0,0.0009571,0.0009571,0.0009571
